Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTurnoverDifferential,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentRushingAttempts,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
SF,24.2,387,1081,6199,5.7,356,82,210,39,32,54,59.3,112,920,5,2020,4,63,12.5,4.9,77,13.3,504,20,128,375,549,68.3,4179,7.6,11.1,21,9,199,28,196,97
CHI,24.8,397,980,5527,5.6,307,89,201,44.3,27,45,60,98,895,4,1934,4.5,56,12.9,6.4,92,16.8,433,9,103,322,512,62.9,3593,7,11.2,31,8,182,35,237,97
CIN,17.4,279,1032,5453,5.3,307,86,218,39.4,18,38,47.4,116,1063,-11,1477,4.3,68,19.8,6.1,109,15.8,344,8,74,415,646,64.2,3976,6.2,9.6,18,21,202,42,288,77
BUF,22.4,359,1017,5702,5.6,321,85,210,40.5,27,45,60,113,906,-6,1730,4.4,43,10.9,3.4,73,11.7,394,10,87,347,602,57.6,3972,6.6,11.4,30,17,197,21,125,82
DEN,18.5,296,1033,4530,4.4,289,80,227,35.2,22,37,59.5,104,773,4,1337,3.3,75,18.4,8.3,121,19.4,408,10,81,344,573,60,3193,5.6,9.3,19,14,162,52,351,76
CLE,27,432,998,6067,6.1,321,81,203,39.9,36,62,58.1,108,833,9,2055,4.5,54,11.8,5.4,71,13.1,458,11,104,322,511,63,4012,7.9,12.5,34,11,186,29,157,101
TB,26.1,417,1044,5446,5.2,351,97,211,46,36,56,64.3,104,859,5,1606,3.4,73,15.7,6.6,84,14.5,466,14,104,378,540,70,3840,7.1,10.2,31,11,208,38,232,101
ARI,19.6,313,982,5147,5.2,284,75,210,35.7,26,47,55.3,130,1202,-9,1460,3.9,81,21.7,5.9,104,17.1,373,9,79,343,573,59.9,3687,6.4,10.7,24,19,177,36,270,79
LAC,24.9,398,959,5791,6,299,74,195,37.9,23,46,50,120,976,4,2005,4.8,69,16.5,5.9,75,13.8,417,17,101,328,510,64.3,3786,7.4,11.5,22,11,170,32,222,92
KC,17.9,287,1037,5269,5.1,313,72,217,33.2,24,40,60,110,941,-14,1571,4.1,74,19.3,7.2,86,13.1,383,7,86,349,607,57.5,3698,6.1,10.6,25,22,193,47,290,74
IND,25.5,408,1072,6066,5.7,331,89,227,39.2,33,53,62.3,133,1168,5,1952,4.3,73,16.2,5.6,85,13.7,452,14,89,354,585,60.5,4114,7,11.6,29,17,210,35,251,86
DAL,23.4,374,998,5566,5.6,317,81,208,38.9,25,49,51,113,898,22,1934,4.2,75,16.3,5.8,72,13.4,461,16,113,330,506,65.2,3632,7.2,11,19,8,172,31,229,92
MIA,24.3,389,1075,6019,5.6,351,96,221,43.4,30,50,60,121,1005,3,2019,4,80,15.9,5.4,76,13.3,502,13,112,350,542,64.6,4000,7.4,11.4,31,13,203,31,225,96
PHI,26.9,430,1148,6426,5.6,365,99,231,42.9,40,61,65.6,123,1051,5,2153,4.5,76,15.9,5.5,81,12.1,478,10,100,394,633,62.2,4273,6.8,10.8,36,15,239,37,243,91
ATL,21.6,345,996,5562,5.6,335,82,191,42.9,33,53,62.3,95,728,7,1680,4,45,10.8,3.3,71,12.2,416,20,107,370,561,66,3882,6.9,10.5,19,15,197,19,117,86
NYG,27.6,442,1105,6725,6.1,367,108,230,47,28,52,53.8,120,1077,-7,1942,4.4,45,10.1,3.5,83,12.6,444,15,104,423,638,66.3,4783,7.5,11.3,31,15,236,23,137,95
JAX,28,448,1102,6000,5.4,362,105,227,46.3,35,57,61.4,114,989,10,1709,3.7,78,16.8,5.6,76,11.9,464,15,102,390,602,64.8,4291,7.1,11,29,9,222,36,237,96
NYJ,19.6,314,1013,5098,5,271,77,232,33.2,14,40,35,90,767,-6,1335,3.6,58,15.5,6.1,116,18.1,373,4,62,343,601,57.1,3763,6.3,11,25,18,185,39,278,77
DET,25,400,999,5594,5.6,319,82,200,41,37,59,62.7,96,785,6,1808,4.2,83,19.4,7.5,104,18.2,428,19,96,360,528,68.2,3786,7.2,10.5,27,9,191,43,279,99
GB,20.2,323,1014,5547,5.5,300,79,220,35.9,28,49,57.1,120,1107,-5,1905,4.5,85,20.2,7.2,94,15.8,420,13,96,321,551,58.3,3642,6.6,11.3,20,16,183,43,256,78
CAR,19.2,308,1058,5167,4.9,298,86,227,37.9,21,40,52.5,99,822,-20,1415,3.9,77,21.2,6.3,106,15.3,364,11,74,390,650,60,3752,5.8,9.6,21,24,198,44,302,72
NE,19.7,315,1042,5431,5.2,303,84,225,37.3,24,42,57.1,112,1013,-7,1580,4,59,14.9,7.6,84,13,397,8,77,361,596,60.6,3851,6.5,10.7,24,12,204,49,358,85
OAK,24.9,399,1085,5818,5.4,344,84,224,37.5,30,58,51.7,104,943,-1,1678,4.1,77,19,5.6,77,11.3,406,12,94,404,641,63,4140,6.5,10.2,25,14,206,38,211,85
LAR,20.6,330,1091,5885,5.4,320,78,225,34.7,20,48,41.7,109,992,-5,1820,4,98,21.6,6.4,113,17.7,453,7,98,399,597,66.8,4065,6.8,10.2,21,13,192,41,236,89
BAL,25.1,401,1000,5398,5.4,311,86,216,39.8,25,47,53.2,103,748,14,1661,4,73,17.5,6.4,94,16.2,418,10,80,350,545,64.2,3737,6.9,10.7,30,6,189,37,220,98
