Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Jordan Reed,WAS,TE,16,PHI,11,9,81.8,129,2,28,11.7,14.3,0,0,0,0,0,0,36.9,36.9
2,Greg Olsen,CAR,TE,3,NO,11,8,72.7,134,2,52,12.2,16.8,0,0,0,0,0,0,36.4,36.4
3,Tyler Eifert,CIN,TE,1,OAK,12,9,75,104,2,31,8.7,11.6,0,0,0,0,0,0,34.4,34.4
4,Benjamin Watson,NO,TE,8,NYG,10,9,90,147,1,46,14.7,16.3,0,0,0,0,0,0,32.7,32.7
5,Rob Gronkowski,NE,TE,1,PIT,8,5,62.5,94,3,52,11.8,18.8,0,0,0,0,0,0,32.4,32.4
6,Benjamin Watson,NO,TE,6,ATL,12,10,83.3,127,1,28,10.6,12.7,0,0,0,0,0,0,31.7,31.7
7,Travis Kelce,KC,TE,1,HOU,6,6,100,106,2,42,17.7,17.7,0,0,0,0,0,0,31.6,31.6
7,Richard Rodgers,GB,TE,13,DET,8,8,100,146,1,61,18.2,18.2,0,0,0,0,0,0,31.6,31.6
9,Austin Seferian-Jenkins,TB,TE,1,TEN,7,5,71.4,110,2,41,15.7,22,0,0,0,0,0,0,31,31
10,Gary Barnidge,CLE,TE,5,BAL,10,8,80,139,1,35,13.9,17.4,0,0,0,0,0,0,30.9,30.9
11,Rob Gronkowski,NE,TE,7,NYJ,16,11,68.8,108,1,26,6.8,9.8,0,0,0,0,0,0,30.8,30.8
12,Zach Miller,CHI,TE,10,LAR,5,5,100,107,2,87,21.4,21.4,0,0,0,0,0,0,30.7,30.7
13,Delanie Walker,TEN,TE,9,NO,8,7,87.5,95,2,61,11.9,13.6,0,0,0,0,0,0,30.5,30.5
14,Antonio Gates,LAC,TE,5,PIT,11,9,81.8,92,2,12,8.4,10.2,0,0,0,0,0,0,30.2,30.2
14,Jordan Reed,WAS,TE,7,TB,13,11,84.6,72,2,13,5.5,6.5,0,0,0,0,0,0,30.2,30.2
16,Jordan Reed,WAS,TE,14,CHI,9,9,100,120,1,32,13.3,13.3,0,0,0,0,0,0,30,30
17,Julius Thomas,JAX,TE,12,LAC,10,9,90,116,1,34,11.6,12.9,0,0,0,0,0,0,29.6,29.6
18,Jacob Tamme,ATL,TE,8,TB,12,10,83.3,103,1,19,8.6,10.3,0,0,0,0,0,0,29.3,29.3
19,Greg Olsen,CAR,TE,6,SEA,11,7,63.6,131,1,32,11.9,18.7,0,0,0,0,0,0,29.1,29.1
20,Tyler Eifert,CIN,TE,5,SEA,12,8,66.7,90,2,25,7.5,11.2,0,0,0,0,0,0,29,29
21,Tyler Eifert,CIN,TE,9,CLE,6,5,83.3,53,3,19,8.8,10.6,0,0,0,0,0,0,28.3,28.3
22,Jordan Reed,WAS,TE,15,BUF,7,7,100,84,2,24,12,12,0,0,0,0,0,0,27.4,27.4
23,Rob Gronkowski,NE,TE,2,BUF,13,7,53.8,113,1,36,8.7,16.1,0,0,0,0,0,0,27.3,27.3
24,Zach Ertz,PHI,TE,16,WAS,17,13,76.5,122,0,17,7.2,9.4,0,0,0,0,1,1,27.2,27.2
25,Rob Gronkowski,NE,TE,8,MIA,9,6,66.7,113,1,47,12.6,18.8,0,0,0,0,0,0,26.3,26.3
26,Jason Witten,DAL,TE,1,NYG,9,8,88.9,60,2,15,6.7,7.5,0,0,0,0,0,0,26,26
27,Crockett Gillmore,BAL,TE,2,OAK,6,5,83.3,88,2,38,14.7,17.6,0,0,0,0,0,0,25.8,25.8
28,Kyle Rudolph,MIN,TE,11,GB,9,6,66.7,106,1,47,11.8,17.7,0,0,0,0,0,0,25.6,25.6
29,Gary Barnidge,CLE,TE,3,OAK,10,6,60,105,1,40,10.5,17.5,0,0,0,0,0,0,25.5,25.5
30,Rob Gronkowski,NE,TE,10,NYG,7,5,71.4,113,1,76,16.1,22.6,0,0,0,0,0,0,25.3,25.3
30,Martellus Bennett,CHI,TE,4,OAK,13,11,84.6,83,1,24,6.4,7.5,0,0,0,0,1,0,25.3,25.3
32,Owen Daniels,DEN,TE,9,IND,9,6,66.7,102,1,37,11.3,17,0,0,0,0,0,0,25.2,25.2
33,Jimmy Graham,SEA,TE,6,CAR,12,8,66.7,140,0,45,11.7,17.5,0,0,0,0,0,0,25,25
34,Greg Olsen,CAR,TE,13,NO,12,9,75,129,0,32,10.8,14.3,0,0,0,0,1,1,23.9,23.9
35,Heath Miller,PIT,TE,8,CIN,13,10,76.9,105,0,25,8.1,10.5,0,0,0,0,0,0,23.5,23.5
36,Coby Fleener,IND,TE,4,JAX,12,9,75,83,1,28,6.9,9.2,0,0,0,0,0,0,23.3,23.3
