Week,Team,Home,PointSpread,OverUnder
2,KC,TRUE,-3,42
2,MIN,TRUE,-2,44
2,NO,TRUE,-10,47
2,NYG,TRUE,-2,50
2,BUF,TRUE,-2,45
2,CAR,TRUE,-3,41
2,ARI,FALSE,-2,46
2,CIN,TRUE,-4,48
2,TEN,FALSE,-1,41
2,PIT,TRUE,-6,46
2,LAR,FALSE,-3,41
2,MIA,FALSE,-6,42
2,BAL,FALSE,-6,42
2,PHI,TRUE,-6,54
2,GB,TRUE,-4,49
2,IND,TRUE,-6,46
2,DEN,FALSE,3,42
2,DET,FALSE,2,44
2,TB,FALSE,10,47
2,ATL,FALSE,2,50
2,NE,FALSE,2,45
2,HOU,FALSE,3,41
2,CHI,TRUE,2,46
2,LAC,FALSE,4,48
2,CLE,TRUE,1,41
2,SF,FALSE,6,46
2,WAS,TRUE,3,41
2,JAX,TRUE,6,42
2,OAK,TRUE,6,42
2,DAL,FALSE,6,54
2,SEA,FALSE,4,49
2,NYJ,FALSE,6,46
3,NYG,TRUE,-3,45
3,NYJ,TRUE,-3,47
3,IND,FALSE,-3,46
3,BAL,TRUE,-2,46
3,CAR,TRUE,-10,43
3,CLE,TRUE,-4,44
3,DAL,TRUE,-1,43
3,HOU,TRUE,-6,41
3,LAR,TRUE,-1,48
3,MIN,TRUE,-2,46
3,NE,TRUE,-14,49
3,ARI,TRUE,-6,45
3,SEA,TRUE,-16,44
3,MIA,TRUE,-2,44
3,DEN,FALSE,-3,44
3,GB,TRUE,-6,48
3,WAS,FALSE,3,45
3,PHI,FALSE,3,47
3,TEN,TRUE,3,46
3,CIN,FALSE,2,46
3,NO,FALSE,10,43
3,OAK,FALSE,4,44
3,ATL,FALSE,1,43
3,TB,FALSE,6,41
3,PIT,FALSE,1,48
3,LAC,FALSE,2,46
3,JAX,FALSE,14,49
3,SF,FALSE,6,45
3,CHI,FALSE,16,44
3,BUF,FALSE,2,44
3,DET,TRUE,3,44
3,KC,FALSE,6,48
4,BAL,FALSE,-3,44
4,NYJ,FALSE,-2,42
4,IND,TRUE,-4,43
4,ATL,TRUE,-4,48
4,BUF,TRUE,-6,46
4,OAK,FALSE,-3,44
4,CIN,TRUE,-4,45
4,CAR,FALSE,-3,40
4,PHI,FALSE,-3,46
4,LAC,TRUE,-5,44
4,DEN,TRUE,-6,43
4,ARI,TRUE,-7,44
4,GB,FALSE,-8,48
4,NO,TRUE,-3,49
4,SEA,TRUE,-10,43
4,PIT,TRUE,3,44
4,MIA,TRUE,2,42
4,JAX,FALSE,4,43
4,HOU,FALSE,4,48
4,NYG,FALSE,6,46
4,CHI,TRUE,3,44
4,KC,FALSE,4,45
4,TB,TRUE,3,40
4,WAS,TRUE,3,46
4,CLE,FALSE,5,44
4,MIN,FALSE,6,43
4,LAR,FALSE,7,44
4,SF,TRUE,8,48
4,DAL,FALSE,3,49
4,DET,FALSE,10,43
5,HOU,TRUE,-5,40
5,KC,TRUE,-9,44
5,GB,TRUE,-9,45
5,ATL,TRUE,-7,48
5,BAL,TRUE,-6,43
5,CIN,TRUE,-3,44
5,PHI,TRUE,-6,50
5,TB,TRUE,-1,42
5,BUF,FALSE,-1,43
5,ARI,FALSE,-4,46
5,NE,FALSE,-8,50
5,DEN,FALSE,-4,44
5,NYG,TRUE,-8,44
5,LAC,TRUE,-4,46
5,IND,FALSE,5,40
5,CHI,FALSE,9,44
5,LAR,FALSE,9,45
5,WAS,FALSE,7,48
5,CLE,FALSE,6,43
5,SEA,FALSE,3,44
5,NO,FALSE,6,50
5,JAX,FALSE,1,42
5,TEN,TRUE,1,43
5,DET,TRUE,4,46
5,DAL,TRUE,8,50
5,OAK,TRUE,4,44
5,SF,FALSE,8,44
5,PIT,FALSE,4,46
6,ATL,FALSE,-3,52
6,NYJ,TRUE,-8,40
6,JAX,TRUE,-2,43
6,MIN,TRUE,-4,43
6,CIN,FALSE,-3,42
6,DEN,FALSE,-3,42
6,DET,TRUE,-4,46
6,ARI,FALSE,-6,46
6,TEN,TRUE,-2,44
6,SEA,TRUE,-7,41
6,BAL,FALSE,-2,44
6,GB,TRUE,-10,50
6,NE,FALSE,-10,54
6,PHI,TRUE,-4,50
6,NO,TRUE,3,52
6,WAS,FALSE,8,40
6,HOU,FALSE,2,43
6,KC,FALSE,4,43
6,BUF,TRUE,3,42
6,CLE,TRUE,3,42
6,CHI,FALSE,4,46
6,PIT,TRUE,6,46
6,MIA,FALSE,2,44
6,CAR,FALSE,7,41
6,SF,TRUE,2,44
6,LAC,FALSE,10,50
6,IND,TRUE,10,54
6,NYG,FALSE,4,50
7,SEA,FALSE,-6,42
7,BUF,FALSE,-4,42
