Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Allen Robinson,JAX,WR,13,TEN,5,4,80,24,3,8,4.8,6,0,0,0,0,0,0,24.4,24.4
2,Randall Cobb,GB,WR,3,KC,4,3,75,11,3,4,2.8,3.7,0,0,0,0,0,0,22.1,22.1
3,Doug Baldwin,SEA,WR,14,BAL,4,3,75,44,2,16,11,14.7,0,0,0,0,0,0,19.4,19.4
4,Julian Edelman,NE,WR,8,MIA,3,3,100,31,2,16,10.3,10.3,0,0,0,0,0,0,18.1,18.1
5,Emmanuel Sanders,DEN,WR,2,KC,2,2,100,35,2,19,17.5,17.5,0,0,0,0,0,0,17.5,17.5
6,Dwayne Harris,NYG,WR,8,NO,2,2,100,29,2,20,14.5,14.5,0,0,0,0,0,0,16.9,16.9
7,AJ Green,CIN,WR,12,LAR,2,2,100,28,2,18,14,14,0,0,0,0,0,0,16.8,16.8
8,DeAndre Hopkins,HOU,WR,1,KC,4,3,75,17,2,8,4.2,5.7,0,0,0,0,0,0,16.7,16.7
9,Allen Hurns,JAX,WR,16,NO,2,2,100,26,2,20,13,13,0,0,0,0,0,0,16.6,16.6
10,Tavon Austin,LAR,WR,4,ARI,2,2,100,24,2,12,12,12,0,0,0,0,0,0,16.4,16.4
10,Demaryius Thomas,DEN,WR,15,PIT,2,2,100,24,2,18,12,12,0,0,0,0,0,0,16.4,16.4
12,Cole Beasley,DAL,WR,9,PHI,2,2,100,22,2,17,11,11,0,0,0,0,0,0,16.2,16.2
12,Seth Roberts,OAK,WR,12,TEN,2,2,100,22,2,12,11,11,0,0,0,0,0,0,16.2,16.2
12,T.Y. Hilton,IND,WR,12,TB,3,2,66.7,22,2,19,7.3,11,0,0,0,0,0,0,16.2,16.2
15,Jermaine Kearse,SEA,WR,12,PIT,2,2,100,21,2,12,10.5,10.5,0,0,0,0,0,0,16.1,16.1
16,Brandon Marshall,NYJ,WR,12,MIA,3,2,66.7,20,2,17,6.7,10,0,0,0,0,0,0,16,16
17,Ted Ginn,CAR,WR,4,TB,2,2,100,19,2,12,9.5,9.5,0,0,0,0,0,0,15.9,15.9
18,Allen Robinson,JAX,WR,5,TB,2,2,100,18,2,13,9,9,0,0,0,0,0,0,15.8,15.8
19,Larry Fitzgerald,ARI,WR,2,CHI,2,2,100,17,2,9,8.5,8.5,0,0,0,0,0,0,15.7,15.7
19,Ted Ginn,CAR,WR,15,NYG,3,2,66.7,17,2,14,5.7,8.5,0,0,0,0,0,0,15.7,15.7
21,James Jones,GB,WR,1,CHI,2,2,100,14,2,13,7,7,0,0,0,0,0,0,15.4,15.4
21,Jeremy Maclin,KC,WR,13,OAK,2,2,100,14,2,13,7,7,0,0,0,0,0,0,15.4,15.4
23,Larry Fitzgerald,ARI,WR,3,SF,3,2,66.7,12,2,8,4,6,0,0,0,0,0,0,15.2,15.2
23,Brian Hartline,CLE,WR,8,ARI,3,2,66.7,12,2,10,4,6,0,0,0,0,0,0,15.2,15.2
23,Antonio Brown,PIT,WR,13,IND,3,2,66.7,12,2,7,4,6,0,0,0,0,0,0,15.2,15.2
26,Golden Tate,DET,WR,14,LAR,3,2,66.7,11,2,9,3.7,5.5,0,0,0,0,0,0,15.1,15.1
27,Doug Baldwin,SEA,WR,15,CLE,4,2,50,9,2,6,2.2,4.5,0,0,0,0,0,0,14.9,14.9
28,Calvin Johnson,DET,WR,12,PHI,4,2,50,7,2,4,1.8,3.5,0,0,0,0,0,0,14.7,14.7
29,Andre Johnson,IND,WR,5,HOU,3,2,66.7,6,2,4,2,3,0,0,0,0,0,0,14.6,14.6
29,Golden Tate,DET,WR,15,NO,2,2,100,6,2,5,3,3,0,0,0,0,0,0,14.6,14.6
31,Marques Colston,NO,WR,14,TB,3,2,66.7,4,2,3,1.3,2,0,0,0,0,0,0,14.4,14.4
32,Odell Beckham Jr,NYG,WR,8,NO,3,2,66.7,3,2,2,1,1.5,0,0,0,0,0,0,14.3,14.3
33,Julio Jones,ATL,WR,3,DAL,6,4,66.7,28,1,10,4.7,7,0,0,0,0,0,0,12.8,12.8
34,Odell Beckham Jr,NYG,WR,5,SF,3,3,100,28,1,17,9.3,9.3,0,0,0,0,0,0,11.8,11.8
35,Pierre Garcon,WAS,WR,4,PHI,3,3,100,27,1,12,9,9,0,0,0,0,0,0,11.7,11.7
36,Corey Brown,CAR,WR,15,NYG,2,2,100,36,1,20,18,18,0,0,0,0,0,0,11.6,11.6
37,Vincent Jackson,TB,WR,4,CAR,3,3,100,25,1,11,8.3,8.3,0,0,0,0,0,0,11.5,11.5
38,Julian Edelman,NE,WR,2,BUF,4,3,75,22,1,8,5.5,7.3,0,0,0,0,0,0,11.2,11.2
39,Chris Conley,KC,WR,7,PIT,3,3,100,20,1,10,6.7,6.7,0,0,0,0,0,0,11,11
40,DeAndre Hopkins,HOU,WR,16,TEN,4,2,50,27,1,15,6.8,13.5,0,0,0,0,0,0,10.7,10.7
