Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTurnoverDifferential,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentRushingAttempts,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSackedYards,OpponentPasserRating
SF,30,480,1103,6501,5.9,358,102,226,45.1,41,66,62.1,93,795,5,2653,4.8,70,12.8,33,5.9,78,14.1,548,25,140,323,522,61.9,3848,7.4,11.9,30,10,187,165,96
CHI,24.9,399,1012,5548,5.5,322,85,210,40.5,31,59,52.5,103,959,20,1950,4.4,68,15.3,37,6.5,71,12.5,445,18,99,342,530,64.5,3598,6.8,10.5,22,8,188,230,92
CIN,19.7,315,1038,5612,5.4,327,86,217,39.6,25,49,51,105,950,-3,1812,4.4,69,16.7,33,5.3,99,15.8,412,12,95,374,593,63.1,3800,6.4,10.2,22,17,196,185,82
BUF,23.6,378,1018,5712,5.6,338,82,205,40,30,57,52.6,106,884,-6,2130,4.6,78,16.7,39,7.1,78,14.2,468,21,122,306,511,59.9,3582,7,11.7,19,12,183,253,84
DEN,18.6,297,1076,5057,4.7,306,86,236,36.4,22,42,52.4,110,990,-2,2085,4.3,55,11.4,42,7.1,110,18.5,482,15,101,306,552,55.4,2972,5.4,9.7,13,14,169,228,68
CLE,28.2,452,1067,6279,5.9,364,93,206,45.1,40,60,66.7,104,930,12,2283,4.6,54,10.8,26,4.6,81,14.2,498,18,121,347,543,63.9,3996,7.4,11.5,36,10,220,177,100
TB,23.1,369,1013,5887,5.8,326,67,195,34.4,29,50,58,121,1061,-2,1875,4.4,78,18.3,38,6.5,80,13.7,427,15,102,347,548,63.3,4012,7.3,11.6,24,17,203,234,87
ARI,22.6,362,1019,4883,4.8,293,85,219,38.8,25,45,55.6,123,1010,0,1518,3.6,110,25.9,48,8.1,103,17.3,424,16,90,344,547,62.9,3365,6.2,9.8,21,14,175,374,82
LAC,26.4,423,1025,5554,5.4,329,83,208,39.9,36,66,54.5,118,837,7,1567,3.8,99,24.1,35,5.7,87,14.1,410,20,98,364,580,62.8,3987,6.9,11,21,18,204,230,82
KC,19.4,311,1063,5897,5.5,342,96,222,43.2,26,53,49.1,109,797,-16,1939,4.4,70,16,28,4.5,77,12.3,437,10,102,350,598,58.5,3958,6.6,11.3,23,18,209,162,79
IND,24.5,392,1023,6122,6,353,80,193,41.5,25,50,50,125,1155,5,1926,4.7,54,13.2,33,5.4,79,12.9,409,12,93,377,581,64.9,4196,7.2,11.1,27,8,225,211,96
DAL,19.1,306,1009,5503,5.5,330,77,197,39.1,29,54,53.7,90,784,-5,1336,3.9,87,25.6,36,5.4,89,13.3,340,9,79,425,633,67.1,4167,6.6,9.8,25,9,226,209,93
MIA,23.8,380,1088,6122,5.6,349,77,213,36.2,29,51,56.9,109,919,-2,2247,4.8,83,17.9,33,5.3,96,15.4,464,12,109,368,591,62.3,3875,6.6,10.5,30,16,199,226,87
PHI,20.7,331,978,5484,5.6,300,82,205,40,23,51,45.1,99,837,-6,1652,4.2,79,20.2,34,5.8,87,14.8,391,10,89,333,553,60.2,3832,6.9,11.5,25,16,177,207,84
ATL,25.4,406,1059,5939,5.6,358,89,213,41.8,40,55,72.7,113,974,-11,1675,4.5,70,19,35,5.1,78,11.3,369,15,95,422,655,64.4,4264,6.5,10.1,31,12,232,231,91
NYG,17.8,284,1062,5435,5.1,298,84,238,35.3,17,43,39.5,104,853,2,1417,3.6,85,21.4,35,5.3,86,12.9,397,10,82,369,630,58.6,4018,6.4,10.9,15,17,191,242,74
JAX,25,400,1030,5147,5,305,83,224,37.1,30,55,54.5,101,948,16,1703,3.8,86,19.3,33,5.7,77,13.2,446,17,93,345,551,62.6,3444,6.3,10,20,7,174,183,87
