Team,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TurnoverDifferential,RushingYards,TeamRushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,PasserRating,RushingAttempts,RushingTouchdowns,FirstDownsByRushing
SF,19.3,997,4930,4.9,287,78,222,35.1,30,44,68.2,99,831,-5,2019,4.4,88,19.2,47,8.7,85,15.8,287,492,58.3,2911,5.9,10.1,21,10,152,81,458,15,116
CHI,17.4,967,5704,5.9,324,70,185,37.8,25,49,51,110,967,-20,1735,4.6,59,15.5,28,4.8,75,12.8,347,559,62.1,3969,7.1,11.4,19,19,212,81,380,10,93
CIN,20.3,1050,5711,5.4,341,82,210,39,29,54,53.7,88,726,3,1769,4,74,16.6,41,6.8,75,12.4,364,563,64.7,3942,7,10.8,18,8,204,90,446,17,100
BUF,24.9,1013,5665,5.6,328,86,210,41,35,54,64.8,112,960,6,2629,5.3,99,20.1,46,8.8,87,16.7,287,475,60.4,3036,6.4,10.6,17,7,155,85,492,29,146
DEN,20.8,1020,5169,5.1,290,75,219,34.2,22,47,46.8,119,985,2,1484,3.6,77,18.8,40,6.6,102,16.7,339,570,59.5,3685,6.5,10.9,20,11,181,82,410,11,76
CLE,16.5,983,4976,5.1,296,77,212,36.3,24,44,54.5,95,736,-12,1712,4.9,122,34.9,66,10.4,136,21.5,338,567,59.6,3264,5.8,9.7,15,14,181,74,350,13,83
TB,22.1,1066,5542,5.2,340,94,214,43.9,28,54,51.9,109,926,2,1619,3.6,82,18.1,36,5.9,113,18.4,355,578,61.4,3923,6.8,11.1,29,18,220,85,452,8,80
ARI,26.1,1086,5868,5.4,368,87,214,40.7,35,54,64.8,104,889,0,1732,4.3,76,19,41,6,126,18.3,383,646,59.3,4136,6.4,10.8,28,17,229,82,399,20,97
LAC,25.6,1014,5708,5.6,340,85,200,42.5,32,62,51.6,107,780,-7,1510,3.8,85,21.4,36,5.8,98,15.9,349,580,60.2,4198,7.2,12,33,21,214,86,398,10,90
KC,24.3,990,5489,5.5,305,81,213,38,25,55,45.5,109,848,16,1749,4.2,80,19.4,32,5.5,73,12.6,365,546,66.8,3740,6.8,10.2,19,8,197,92,412,15,86
IND,25.7,1037,5831,5.6,351,87,202,43.1,35,53,66,102,883,-5,1629,4,64,15.6,44,7,133,21.2,370,584,63.4,4202,7.2,11.4,32,15,220,92,409,13,93
DAL,26.3,1010,6027,6,358,80,189,42.3,38,57,66.7,105,879,5,2396,4.8,60,12,28,5.5,66,12.9,325,483,67.3,3631,7.5,11.2,25,6,191,102,499,24,142
MIA,22.7,912,5324,5.8,278,69,188,36.7,26,47,55.3,125,1141,2,1824,4.5,79,19.5,30,5.9,92,18.1,316,477,66.2,3500,7.3,11.1,27,15,167,94,405,15,90
