Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Gavin Escobar,DAL,TE,9,CLE,2,2.7,0,50,50,50,7.2,360
2,Blake Bell,SF,TE,15,ATL,2,3.6,0,50,50,50,5.5,275
3,Seth DeValve,CLE,TE,10,BAL,5,10,0,20,20,20,9.5,190
4,Stephen Anderson,HOU,TE,10,JAX,6,9.5,0,16.7,16.7,16.7,7.7,128.3
5,Xavier Grimble,PIT,TE,16,BAL,9,15.5,0,22.2,11.1,22.2,9,100
6,Jordan Reed,WAS,TE,12,DAL,37,49.3,0,32.4,27,32.4,31.5,85.1
7,Dwayne Allen,IND,TE,13,NYJ,45,61.6,0,8.9,8.9,8.9,29.2,64.9
8,Dennis Pitta,BAL,TE,13,MIA,34,47.2,0,32.4,26.5,32.4,29,85.3
9,DJ Tialavea,ATL,TE,16,CAR,11,17.5,0,9.1,9.1,9.1,7.1,64.5
10,Luke Willson,SEA,TE,12,TB,2,3,0,50,50,50,2.1,105
11,Austin Hooper,ATL,TE,4,CAR,19,28.4,0,5.3,5.3,5.3,11.2,58.9
12,Jimmy Graham,SEA,TE,9,BUF,42,89.4,0,19,19,19,33.3,79.3
13,Jerell Adams,NYG,TE,10,CIN,15,20,0,20,20,20,10.8,72
14,Xavier Grimble,PIT,TE,2,CIN,17,23,0,23.5,11.8,23.5,10.6,62.4
15,Austin Seferian-Jenkins,TB,TE,1,ATL,18,28.1,0,5.6,5.6,5.6,10,55.6
16,Brandon Myers,TB,TE,1,ATL,13,20.3,0,7.7,7.7,7.7,7.4,56.9
17,Ladarius Green,PIT,TE,13,NYG,35,47.9,0,31.4,17.1,31.4,26,74.3
18,Connor Hamlett,CLE,TE,5,NE,16,25.4,0,6.2,6.2,6.2,8.7,54.4
19,Ladarius Green,PIT,TE,12,IND,14,25.9,0,21.4,14.3,21.4,8.7,62.1
20,Coby Fleener,NO,TE,6,CAR,41,56.2,2.4,17.1,17.1,19.5,25.6,62.4
21,Jacob Tamme,ATL,TE,8,GB,4,6.3,0,50,50,50,3.9,97.5
22,Stephen Anderson,HOU,TE,11,OAK,3,3.9,0,33.3,33.3,33.3,2.4,80
23,Mychal Rivera,OAK,TE,8,TB,21,22.3,0,14.3,14.3,14.3,12.6,60
24,Erik Swoope,IND,TE,16,OAK,10,18.2,0,10,10,10,5.5,55
25,Martellus Bennett,NE,TE,5,CLE,55,68.8,0,14.5,10.9,14.5,30.7,55.8
26,Ryan Griffin,HOU,TE,13,GB,17,25.8,0,35.3,23.5,35.3,12.5,73.5
27,Austin Seferian-Jenkins,NYJ,TE,16,NE,4,7.1,0,50,25,50,2.7,67.5
28,Erik Swoope,IND,TE,15,MIN,26,37.1,0,11.5,11.5,11.5,14,53.8
29,Austin Hooper,ATL,TE,2,OAK,20,31.2,0,15,15,15,11.4,57
30,Zach Miller,CHI,TE,11,NYG,29,45.3,0,10.3,10.3,10.3,15.1,52.1
31,Ben Koyack,JAX,TE,8,TEN,10,13.9,0,50,50,50,9.1,91
32,Jack Doyle,IND,TE,1,DET,39,55.7,0,10.3,7.7,10.3,18.5,47.4
33,Rob Gronkowski,NE,TE,6,CIN,57,89.1,0,15.8,12.3,15.8,32.2,56.5
33,Antonio Gates,LAC,TE,5,OAK,18,35.3,0,27.8,22.2,27.8,12,66.7
35,Delanie Walker,TEN,TE,10,GB,49,81.7,0,22.4,18.4,22.4,30.4,62
36,Vernon Davis,WAS,TE,10,MIN,34,54,0,8.8,8.8,8.8,15.6,45.9
37,Cameron Brate,TB,TE,13,LAC,40,61.5,0,22.5,15,22.5,20.6,51.5
38,Travis Kelce,KC,TE,13,ATL,39,79.6,0,20.5,20.5,20.5,25,64.1
39,Vance McDonald,SF,TE,2,CAR,38,58.5,0,5.3,2.6,5.3,14.5,38.2
40,Trey Burton,PHI,TE,2,CHI,31,43.1,0,22.6,16.1,22.6,15.9,51.3
41,Jordan Reed,WAS,TE,4,CLE,55,88.7,0,18.2,16.4,18.2,28.3,51.5
42,Marcedes Lewis,JAX,TE,2,LAC,22,33.3,0,13.6,9.1,13.6,9.7,44.1
42,Dominique Jones,MIA,TE,13,BAL,2,3.2,0,50,50,50,1.7,85
44,Joshua Perkins,ATL,TE,16,CAR,27,42.9,0,11.1,7.4,11.1,11.4,42.2
45,Vance McDonald,SF,TE,9,NO,42,70,0,14.3,7.1,14.3,17.4,41.4
46,Jared Cook,GB,TE,11,WAS,43,61.4,0,25.6,14,25.6,24.5,57
47,Dion Sims,MIA,TE,15,NYJ,45,93.8,0,8.9,8.9,8.9,19.1,42.4
48,Greg Olsen,CAR,TE,5,TB,54,100,0,24.1,16.7,24.1,30.1,55.7
49,Hunter Henry,LAC,TE,15,OAK,29,52.7,0,13.8,10.3,13.8,12.7,43.8
50,CJ Fiedorowicz,HOU,TE,6,IND,44,62,0,15.9,13.6,15.9,20.5,46.6
51,Dominique Jones,MIA,TE,9,NYJ,31,49.2,0,12.9,9.7,12.9,13.2,42.6
