Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Julio Jones,ATL,WR,4,CAR,15,12,80,300,1,75,20,25,0,0,0,0,0,0,51,51
2,Adam Thielen,MIN,WR,16,GB,15,12,80,202,2,71,13.5,16.8,1,4,4,0,0,0,47.6,47.6
3,Odell Beckham Jr,NYG,WR,6,BAL,10,8,80,222,2,75,22.2,27.8,0,0,0,0,1,1,44.2,44.2
4,Marvin Jones,DET,WR,3,GB,8,6,75,205,2,73,25.6,34.2,0,0,0,0,0,0,41.5,41.5
5,Davante Adams,GB,WR,7,CHI,16,13,81.2,132,2,24,8.2,10.2,0,0,0,0,0,0,41.2,41.2
6,Mike Evans,TB,WR,9,ATL,17,11,64.7,150,2,28,8.8,13.6,0,0,0,0,0,0,41,41
7,Brandin Cooks,NO,WR,15,ARI,8,7,87.5,186,2,65,23.2,26.6,0,0,0,0,0,0,40.6,40.6
8,Doug Baldwin,SEA,WR,16,ARI,19,13,68.4,171,1,42,9,13.2,2,6,3,0,0,0,39.7,39.7
9,Jordy Nelson,GB,WR,16,MIN,11,9,81.8,154,2,48,14,17.1,0,0,0,0,0,0,39.4,39.4
10,AJ Green,CIN,WR,1,NYJ,13,12,92.3,180,1,54,13.8,15,0,0,0,0,0,0,39,39
11,Amari Cooper,OAK,WR,8,TB,15,12,80,173,1,34,11.5,14.4,0,0,0,0,0,0,38.3,38.3
12,Antonio Brown,PIT,WR,10,DAL,18,14,77.8,154,1,44,8.6,11,1,-10,-10,0,0,0,37.4,37.4
13,Brandin Cooks,NO,WR,1,OAK,9,6,66.7,143,2,98,15.9,23.8,1,11,11,0,0,0,36.4,36.4
14,AJ Green,CIN,WR,4,MIA,12,10,83.3,173,1,51,14.4,17.3,0,0,0,0,0,0,36.3,36.3
15,Stefon Diggs,MIN,WR,2,GB,11,9,81.8,182,1,46,16.5,20.2,0,0,0,0,0,0,36.2,36.2
16,T.Y. Hilton,IND,WR,5,CHI,11,10,90.9,171,1,35,15.5,17.1,0,0,0,0,0,0,36.1,36.1
17,Emmanuel Sanders,DEN,WR,3,CIN,13,9,69.2,117,2,41,9,13,0,0,0,0,0,0,35.7,35.7
18,Kenny Britt,LAR,WR,6,DET,8,7,87.5,136,2,47,17,19.4,0,0,0,0,0,0,35.6,35.6
18,Antonio Brown,PIT,WR,1,WAS,11,8,72.7,126,2,29,11.5,15.8,0,0,0,0,0,0,35.6,35.6
20,Willie Snead,NO,WR,1,OAK,9,9,100,172,1,49,19.1,19.1,0,0,0,0,1,0,35.2,35.2
21,Sammie Coates,PIT,WR,5,NYJ,11,6,54.5,139,2,72,12.6,23.2,0,0,0,0,0,0,34.9,34.9
21,Terrelle Pryor,CLE,WR,3,MIA,14,8,57.1,144,0,40,10.3,18,4,21,5.2,1,0,0,34.9,34.9
23,Michael Thomas,NO,WR,12,LAR,10,9,90,108,2,35,10.8,12,0,0,0,0,0,0,34.8,34.8
24,T.Y. Hilton,IND,WR,3,LAC,11,8,72.7,174,1,63,15.8,21.8,0,0,0,0,0,0,34.4,34.4
25,AJ Green,CIN,WR,7,CLE,8,8,100,169,1,48,21.1,21.1,0,0,0,0,0,0,33.9,33.9
26,Michael Crabtree,OAK,WR,4,BAL,12,7,58.3,88,3,23,7.3,12.6,0,0,0,0,0,0,33.8,33.8
26,Golden Tate,DET,WR,6,LAR,10,8,80,165,1,61,16.5,20.6,1,3,3,0,0,0,33.8,33.8
28,Jordy Nelson,GB,WR,10,TEN,18,12,66.7,126,1,20,7,10.5,0,0,0,0,0,0,33.6,33.6
29,Brandin Cooks,NO,WR,6,CAR,9,7,77.8,173,1,87,19.2,24.7,1,2,2,0,0,0,33.5,33.5
30,Mike Evans,TB,WR,12,SEA,11,8,72.7,104,2,26,9.5,13,0,0,0,0,0,0,33.4,33.4
31,Doug Baldwin,SEA,WR,3,SF,10,8,80,164,1,59,16.4,20.5,1,-4,-4,0,0,0,33,33
32,Kelvin Benjamin,CAR,WR,2,SF,9,7,77.8,108,2,25,12,15.4,0,0,0,0,0,0,32.8,32.8
33,Tyreek Hill,KC,WR,12,DEN,10,9,90,52,1,11,5.2,5.8,1,3,3,1,0,0,32.5,32.5
34,Travis Benjamin,LAC,WR,2,JAX,6,6,100,115,2,45,19.2,19.2,1,-1,-1,0,0,0,32.4,32.4
34,Stefon Diggs,MIN,WR,10,WAS,15,13,86.7,164,0,36,10.9,12.6,0,0,0,0,0,0,32.4,32.4
36,Emmanuel Sanders,DEN,WR,12,KC,10,7,70,162,1,64,16.2,23.1,0,0,0,0,0,0,32.2,32.2
36,Mike Evans,TB,WR,3,LAR,14,10,71.4,132,1,19,9.4,13.2,0,0,0,0,0,0,32.2,32.2
38,Antonio Brown,PIT,WR,12,IND,6,5,83.3,91,3,33,15.2,18.2,0,0,0,0,0,0,32.1,32.1
39,Golden Tate,DET,WR,13,NO,10,8,80,145,1,66,14.5,18.1,0,0,0,0,0,0,31.5,31.5
39,Cameron Meredith,CHI,WR,16,WAS,12,9,75,135,1,32,11.2,15,0,0,0,0,0,0,31.5,31.5
41,Sammy Watkins,BUF,WR,16,MIA,10,7,70,154,1,53,15.4,22,0,0,0,0,0,0,31.4,31.4
42,Davante Adams,GB,WR,12,PHI,6,5,83.3,113,2,50,18.8,22.6,0,0,0,0,0,0,31.3,31.3
43,Jordy Nelson,GB,WR,3,DET,7,6,85.7,101,2,49,14.4,16.8,0,0,0,0,0,0,31.1,31.1
44,Amari Cooper,OAK,WR,5,LAC,12,6,50,138,1,64,11.5,23,0,0,0,0,0,0,30.8,30.8
45,Allen Robinson,JAX,WR,10,HOU,13,9,69.2,107,1,19,8.2,11.9,0,0,0,0,0,0,30.7,30.7
46,Cameron Meredith,CHI,WR,5,IND,12,9,75,130,1,30,10.8,14.4,1,6,6,0,2,1,30.6,30.6
47,Corey Coleman,CLE,WR,2,BAL,8,5,62.5,104,2,47,13,20.8,0,0,0,0,0,0,30.4,30.4
48,Kendall Wright,TEN,WR,6,CLE,9,8,88.9,133,1,48,14.8,16.6,0,0,0,0,0,0,30.3,30.3
