Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Arrelious Benn,JAX,WR,6,CHI,4,6.7,0,25,25,25,12.1,302.5
2,Jeff Janis,GB,WR,14,SEA,3,5.1,33.3,0,33.3,33.3,7.9,263.3
3,Brittan Golden,ARI,WR,14,MIA,3,4.3,0,33.3,33.3,33.3,7.9,263.3
4,Johnny Holton,OAK,WR,12,CAR,2,2.7,0,50,50,50,4,200
5,Tanner McEvoy,SEA,WR,4,NYJ,8,13.3,0,12.5,12.5,12.5,11.2,140
6,Dwayne Harris,NYG,WR,12,CLE,6,10.7,0,16.7,16.7,16.7,8.3,138.3
7,Greg Salas,BUF,WR,2,NYJ,15,28.3,0,33.3,26.7,33.3,18.9,126
8,Jeff Janis,GB,WR,13,HOU,2,3.4,50,0,50,50,1.9,95
9,Kendall Wright,TEN,WR,6,CLE,22,35.5,0,40.9,36.4,40.9,30.3,137.7
10,JJ Nelson,ARI,WR,14,MIA,22,31.4,4.5,9.1,9.1,13.6,19.4,88.2
11,Cobi Hamilton,PIT,WR,6,MIA,12,21.8,0,16.7,16.7,16.7,11.6,96.7
12,Tyreek Hill,KC,WR,8,IND,21,28.4,4.8,28.6,28.6,33.3,21.5,102.4
13,Danny Amendola,NE,WR,2,MIA,19,23.8,0,21.1,21.1,21.1,19.8,104.2
14,Julio Jones,ATL,WR,4,CAR,47,70.1,0,31.9,25.5,31.9,51,108.5
15,Jalin Marshall,NYJ,WR,9,MIA,17,29.3,0,23.5,17.6,23.5,14.9,87.6
15,Nick Williams,ATL,WR,14,LAR,7,12.1,0,71.4,57.1,71.4,8.9,127.1
17,Tyreek Hill,KC,WR,1,LAC,10,14.1,0,10,10,10,7.9,79
18,Leonte Carroo,MIA,WR,12,SF,11,18.6,0,9.1,9.1,9.1,8.5,77.3
19,Tyreek Hill,KC,WR,7,NO,18,34.6,11.1,5.6,16.7,16.7,13.1,72.8
20,Andre Roberts,DET,WR,6,LAR,11,17.7,0,18.2,18.2,18.2,9.3,84.5
21,Michael Campanaro,BAL,WR,15,PHI,6,10.3,16.7,16.7,16.7,33.3,3.9,65
22,Taylor Gabriel,ATL,WR,12,ARI,35,50,2.9,14.3,14.3,17.1,26.2,74.9
23,Tanner McEvoy,SEA,WR,14,GB,16,22.5,0,18.8,18.8,18.8,13.1,81.9
