Team,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTurnoverDifferential,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentRushingAttempts,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSackedYards,OpponentTimesSackedYards,OpponentPasserRating
SF,23.9,1065,5625,5.3,343,95,221,43,34,57,59.6,97,791,3,1861,3.8,90,18.3,30,5.2,102,17.8,491,13,108,344,544,63.2,3764,6.9,10.9,27,10,198,179,179,92
CHI,20,1003,5106,5.1,298,86,219,39.3,24,49,49,118,910,0,1730,4,78,18.1,42,7.4,97,17,432,11,85,343,529,64.8,3376,6.4,9.8,18,8,180,277,277,88
CIN,21.8,1091,5425,5,325,98,241,40.7,26,56,46.4,106,906,9,2046,4.2,99,20.2,41,6.8,98,16.3,489,13,111,336,561,59.9,3379,6,10.1,20,11,173,278,278,81
BUF,22.4,1066,5682,5.3,348,82,214,38.3,30,57,52.6,97,873,-9,1994,4.3,79,17,27,4.5,69,11.5,466,22,121,370,573,64.6,3688,6.4,10,14,18,199,156,156,78
DEN,23.9,952,4640,4.9,266,66,209,31.6,24,41,58.5,89,821,17,1430,3.3,81,18.9,33,6.3,78,14.9,428,9,68,294,491,59.9,3210,6.5,10.9,29,10,166,175,175,90
CLE,25.6,1026,5250,5.1,315,91,224,40.6,31,46,67.4,101,905,28,1566,3.4,108,23.1,34,6.1,74,13.2,467,14,95,360,525,68.6,3684,7,10.2,28,7,189,197,197,101
TB,23.9,1011,6049,6,327,104,216,48.1,29,53,54.7,109,937,1,1880,4.3,71,16.1,22,3.9,74,13,440,18,102,371,549,67.6,4169,7.6,11.2,22,13,202,137,137,94
ARI,22.6,1007,4975,4.9,283,80,224,35.7,27,46,58.7,129,1128,4,1434,3.5,94,23.2,37,6.2,100,16.6,406,12,68,343,564,60.8,3541,6.3,10.3,24,15,187,255,255,82
LAC,17,997,5254,5.3,282,86,221,38.9,13,36,36.1,109,995,-12,2098,4.9,95,22.1,43,7.6,84,14.8,430,11,99,329,524,62.8,3156,6,9.6,17,18,153,261,261,76
KC,21.2,1044,5842,5.6,352,83,207,40.1,28,51,54.9,107,864,-15,1890,4.3,87,19.6,31,5.2,70,11.6,443,15,112,325,570,57,3952,6.9,12.2,23,16,204,179,179,80
IND,25.2,1026,5873,5.7,324,97,217,44.7,27,51,52.9,102,822,-5,1929,4,79,16.2,26,4.8,75,13.9,487,15,99,320,513,62.4,3944,7.7,12.3,23,13,192,179,179,90
DAL,20.8,1000,5089,5.1,312,90,210,42.9,28,49,57.1,107,880,1,1664,4.1,100,24.8,38,6.4,98,16.4,403,7,96,371,559,66.4,3425,6.1,9.2,28,10,181,321,321,92
MIA,24.6,989,5371,5.4,319,75,203,36.9,32,51,62.7,122,1077,14,1768,4.1,78,18.1,30,5.4,90,16.1,431,14,88,339,528,64.2,3603,6.8,10.6,26,9,190,185,185,93
PHI,18.4,976,4904,5,272,66,205,32.2,21,38,55.3,101,917,-11,1267,3.8,99,29.4,38,5.9,115,18,337,7,62,363,601,60.4,3637,6.1,10,24,19,177,246,246,78
ATL,19.7,994,5094,5.1,323,75,196,38.3,22,48,45.8,103,880,2,1665,4.1,85,21.1,39,6.6,81,13.7,402,9,97,362,553,65.5,3429,6.2,9.5,22,8,197,296,296,90
NYG,24.2,1052,5971,5.7,313,88,222,39.6,29,53,54.7,115,923,3,1933,4.2,79,17,27,4.6,67,11.4,464,10,101,347,561,61.9,4038,7.2,11.6,32,13,189,161,161,93
JAX,16.8,993,4578,4.6,257,74,220,33.6,11,28,39.3,112,1050,-10,1860,4.3,105,24.5,55,9.8,113,20,429,9,91,289,509,56.8,2718,5.3,9.4,17,21,143,356,356,66
NYJ,23.9,1052,5636,5.4,329,82,221,37.1,29,52,55.8,114,981,4,1887,4,81,17.4,28,4.8,94,16,466,13,88,329,558,59,3749,6.7,11.4,30,11,191,155,155,89
DET,23.5,1037,5692,5.5,350,74,194,38.1,34,55,61.8,110,971,-10,1800,4.2,84,19.4,35,5.8,95,15.7,432,18,110,366,570,64.2,3892,6.8,10.6,21,19,205,228,228,82
GB,24,1014,5582,5.5,331,89,208,42.8,30,46,65.2,94,832,3,1793,3.9,101,21.8,37,6.7,83,15.1,464,10,95,348,513,67.8,3789,7.4,10.9,30,11,211,252,252,100
CAR,20.4,953,5074,5.3,282,78,206,37.9,21,44,47.7,101,867,1,1409,4,91,25.8,50,8.3,102,17,353,7,69,351,550,63.8,3665,6.7,10.4,25,10,187,304,304,91
NE,18.5,1022,5856,5.7,325,82,208,39.4,21,48,43.8,111,1035,-6,1836,4.7,73,18.7,42,6.6,93,14.7,390,6,98,367,590,62.2,4020,6.8,11,24,12,204,299,299,87
OAK,23.3,994,5601,5.6,304,88,215,40.9,23,48,47.9,102,944,14,1743,4,87,20.1,31,5.5,76,13.5,433,12,93,361,530,68.1,3858,7.3,10.7,24,5,187,188,188,100
LAR,20.6,1020,5434,5.3,300,86,227,37.9,27,46,58.7,102,808,-7,1959,4.7,82,19.7,48,8,100,16.6,417,15,86,324,555,58.4,3475,6.3,10.7,21,18,181,324,324,76
BAL,18.9,1045,5201,5,296,82,222,36.9,22,45,48.9,96,807,-17,1780,4.1,96,22.1,41,6.7,98,16.1,435,12,87,333,569,58.5,3421,6,10.3,18,22,179,280,280,70
WAS,24.2,1045,5566,5.3,307,83,226,36.7,29,57,50.9,100,887,4,2146,4.5,78,16.5,42,7.3,107,18.7,472,13,105,306,531,57.6,3420,6.4,11.2,23,16,171,272,272,79
NO,20.4,1002,5384,5.4,308,87,212,41,25,48,52.1,108,850,-7,1787,4.4,88,21.7,42,7,83,13.9,406,11,92,329,554,59.4,3597,6.5,10.9,22,20,172,287,287,77
SEA,20.8,1045,5171,4.9,316,85,222,38.3,20,42,47.6,102,878,-8,1824,4,92,20.4,39,6.6,112,18.9,452,14,90,325,554,58.7,3347,6,10.3,19,14,181,269,269,77
PIT,19.2,940,4910,5.2,270,72,199,36.2,24,39,61.5,110,1041,-2,1693,4.4,105,27.3,56,10.1,106,19.1,385,14,89,297,499,59.5,3217,6.4,10.8,20,16,157,393,393,79
HOU,27.2,973,5546,5.7,301,71,201,35.3,33,54,61.1,122,1128,12,1747,4,95,21.6,32,6,74,13.9,440,14,88,321,501,64.1,3799,7.6,11.8,30,11,176,200,200,98
TEN,22.2,1046,5248,5,323,78,214,36.4,27,56,48.2,119,942,4,1420,3.6,80,20.1,43,6.6,91,14,398,5,68,369,605,61,3828,6.3,10.4,27,12,231,272,272,86
MIN,15.8,956,4415,4.6,260,51,202,25.2,16,40,40,105,928,-5,1337,3.7,82,22.5,37,6.2,85,14.4,364,10,59,324,555,58.4,3078,5.5,9.5,13,14,168,251,251,71
