Team,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TurnoverDifferential,RushingYards,TeamRushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PassingCompletions,PassingAttempts,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,PasserRating,RushingAttempts,RushingTouchdowns,FirstDownsByRushing
SF,20.7,1058,5589,5.3,321,91,234,38.9,24,51,47.1,123,988,-3,1664,4.1,89,21.8,43,6.6,119,18.3,362,607,3925,6.5,10.8,15,15,206,77,408,15,88
CHI,16.5,934,4599,4.9,267,71,205,34.6,20,33,60.6,115,943,0,1788,4.2,113,26.8,39,7.6,82,16,291,473,2811,5.9,9.7,13,12,144,77,422,13,93
CIN,18.1,927,4488,4.8,267,67,199,33.7,24,43,55.8,110,1027,-9,1366,3.6,95,25.2,40,7.3,63,11.5,304,510,3122,6.1,10.3,25,12,165,84,377,6,72
BUF,18.9,1010,4842,4.8,278,101,241,41.9,23,44,52.3,98,872,9,2017,4.1,114,23.4,47,9,93,17.8,289,476,2825,5.9,9.8,16,10,149,80,487,12,105
DEN,18.1,1075,5185,4.8,297,94,241,39,19,48,39.6,113,885,-17,1854,4.1,89,19.5,53,8.6,105,17,332,566,3331,5.9,10,19,22,180,70,456,8,92
CLE,14.6,1008,4942,4.9,290,73,216,33.8,19,39,48.7,110,924,-28,1714,4.5,94,24.5,50,8,130,20.8,312,574,3228,5.6,10.3,15,28,157,59,384,11,97
TB,20.9,1034,5816,5.6,352,85,196,43.4,26,53,49.1,104,795,-1,1450,3.7,68,17.5,40,6.2,105,16.3,378,605,4366,7.2,11.6,26,14,243,89,389,8,76
ARI,18.4,1059,5026,4.7,310,82,233,35.2,20,48,41.7,110,880,-4,1386,3.4,99,24.2,52,8,120,18.5,339,598,3640,6.1,10.7,21,18,200,74,409,6,66
LAC,22.2,1020,6026,5.9,337,84,209,40.2,22,47,46.8,108,927,12,1595,3.8,78,18.6,18,3,74,12.3,366,583,4431,7.6,12.1,28,11,220,94,419,11,84
KC,25.9,985,6007,6.1,322,78,199,39.2,21,50,42,118,1044,15,1903,4.7,77,19,37,6.4,84,14.5,363,543,4104,7.6,11.3,26,8,198,99,405,12,95
