Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Le'Veon Bell,PIT,RB,14,BAL,2,12,6,2,3,2,25,1,0,0,23.7,23.7
2,Todd Gurley,LAR,RB,3,SF,8,12,1.5,2,2,2,10,1,0,0,22.2,22.2
3,Todd Gurley,LAR,RB,15,SEA,6,11,1.8,2,1,1,14,1,0,0,21.5,21.5
4,Corey Clement,PHI,RB,9,DEN,3,6,2,2,1,1,15,1,0,0,21.1,21.1
5,DeMarco Murray,TEN,RB,10,CIN,3,12,4,2,1,1,7,1,0,0,20.9,20.9
6,Mike Gillislee,NE,RB,1,KC,8,20,2.5,3,0,0,0,0,0,0,20,20
6,Mark Ingram,NO,RB,10,BUF,6,20,3.3,3,0,0,0,0,0,0,20,20
8,Melvin Gordon,LAC,RB,6,OAK,5,15,3,1,4,3,18,1,0,0,18.3,18.3
9,Dion Lewis,NE,RB,16,BUF,5,24,4.8,1,2,2,15,1,0,0,17.9,17.9
10,Melvin Gordon,LAC,RB,5,NYG,5,17,3.4,0,2,2,16,2,0,0,17.3,17.3
11,Jordan Howard,CHI,RB,3,PIT,5,44,8.8,2,0,0,0,0,0,0,16.4,16.4
12,Carlos Hyde,SF,RB,3,LAR,12,27,2.2,2,1,1,5,0,0,0,16.2,16.2
13,Kareem Hunt,KC,RB,15,LAC,7,26,3.7,1,2,1,3,1,0,0,15.9,15.9
14,Todd Gurley,LAR,RB,2,WAS,3,4,1.3,1,1,1,18,1,0,0,15.2,15.2
14,Charcandrick West,KC,RB,5,HOU,0,0,0,0,2,2,12,2,0,0,15.2,15.2
16,Lamar Miller,HOU,RB,4,TEN,5,13,2.6,1,1,1,8,1,0,0,15.1,15.1
16,LeSean McCoy,BUF,RB,15,MIA,3,5,1.7,1,1,1,16,1,0,0,15.1,15.1
18,Alvin Kamara,NO,RB,13,CAR,4,28,7,2,0,0,0,0,0,0,14.8,14.8
18,Jordan Howard,CHI,RB,16,CLE,5,28,5.6,2,0,0,0,0,0,0,14.8,14.8
18,Lamar Miller,HOU,RB,8,SEA,3,16,5.3,1,1,1,2,1,0,0,14.8,14.8
21,Ezekiel Elliott,DAL,RB,4,LAR,5,7,1.4,1,1,1,10,1,0,0,14.7,14.7
22,Tevin Coleman,ATL,RB,12,TB,3,26,8.7,2,0,0,0,0,0,0,14.6,14.6
22,LeSean McCoy,BUF,RB,7,TB,4,11,2.8,2,2,1,5,0,0,0,14.6,14.6
24,Alex Collins,BAL,RB,13,DET,4,23,5.8,2,0,0,0,0,0,0,14.3,14.3
24,Dion Lewis,NE,RB,10,DEN,4,23,5.8,1,0,0,0,0,0,0,14.3,14.3
26,Latavius Murray,MIN,RB,11,LAR,3,10,3.3,2,1,1,1,0,0,0,14.1,14.1
27,Ezekiel Elliott,DAL,RB,8,WAS,4,20,5,2,0,0,0,0,0,0,14,14
27,Theo Riddick,DET,RB,14,TB,2,20,10,2,0,0,0,0,0,0,14,14
29,Devonta Freeman,ATL,RB,2,GB,2,3,1.5,2,1,1,6,0,0,0,13.9,13.9
29,Kareem Hunt,KC,RB,1,NE,2,6,3,1,1,1,3,1,0,0,13.9,13.9
31,Rex Burkhead,NE,RB,13,BUF,4,17,4.2,2,1,0,0,0,0,0,13.7,13.7
32,Mark Ingram,NO,RB,6,DET,6,16,2.7,2,0,0,0,0,0,0,13.6,13.6
32,Christian McCaffrey,CAR,RB,10,MIA,1,4,4,1,1,1,2,1,0,0,13.6,13.6
34,Matt Forte,NYJ,RB,9,BUF,2,15,7.5,2,0,0,0,0,0,0,13.5,13.5
34,Todd Gurley,LAR,RB,14,PHI,4,15,3.8,2,1,0,0,0,0,0,13.5,13.5
36,Le'Veon Bell,PIT,RB,4,BAL,8,13,1.6,2,1,0,0,0,0,0,13.3,13.3
36,Jonathan Stewart,CAR,RB,14,MIN,5,13,2.6,2,0,0,0,0,0,0,13.3,13.3
36,Rex Burkhead,NE,RB,12,MIA,2,2,1,1,1,1,1,1,0,0,13.3,13.3
36,Alvin Kamara,NO,RB,4,MIA,2,14,7,0,4,4,19,1,0,0,13.3,13.3
40,Ty Montgomery,GB,RB,2,ATL,1,1,1,1,1,1,1,1,0,0,13.2,13.2
41,Todd Gurley,LAR,RB,9,NYG,8,11,1.4,2,0,0,0,0,0,0,13.1,13.1
42,Javorius Allen,BAL,RB,14,PIT,2,10,5,2,0,0,0,0,0,0,13,13
43,Giovani Bernard,CIN,RB,16,DET,3,16,5.3,1,3,3,19,0,0,0,12.5,12.5
44,Rob Kelley,WAS,RB,9,SEA,5,4,0.8,2,0,0,0,0,0,0,12.4,12.4
44,Peyton Barber,TB,RB,12,ATL,3,4,1.3,2,0,0,0,0,0,0,12.4,12.4
46,Carlos Hyde,SF,RB,6,WAS,2,2,1,2,0,0,0,0,0,0,12.2,12.2
46,Tommy Bohanon,JAX,FB,15,HOU,2,2,1,2,0,0,0,0,0,0,12.2,12.2
48,Devonta Freeman,ATL,RB,3,DET,6,13,2.2,1,2,2,22,0,0,0,11.5,11.5
49,Alvin Kamara,NO,RB,11,WAS,1,3,3,0,2,1,18,1,0,0,11.1,11.1
49,CJ Anderson,DEN,RB,2,DAL,5,7,1.4,0,2,2,24,1,0,0,11.1,11.1
51,Mark Ingram,NO,RB,7,GB,1,12,12,1,3,3,8,0,0,0,11,11
52,Alvin Kamara,NO,RB,10,BUF,4,19,4.8,1,2,2,10,0,0,0,10.9,10.9
53,Jamaal Williams,GB,RB,14,CLE,7,19,2.7,1,2,2,8,0,0,0,10.7,10.7
54,Doug Martin,TB,RB,6,ARI,2,3,1.5,1,2,1,11,0,0,0,10.4,10.4
55,Alex Collins,BAL,RB,14,PIT,3,43,14.3,1,0,0,0,0,0,0,10.3,10.3
56,Christian McCaffrey,CAR,RB,9,ATL,4,10,2.5,1,3,2,11,0,0,0,10.1,10.1
57,Aaron Jones,GB,RB,5,DAL,4,21,5.2,1,1,1,9,0,0,0,10,10
58,Corey Clement,PHI,RB,11,DAL,2,19,9.5,1,0,0,0,0,0,0,9.9,9.9
59,Derrick Henry,TEN,RB,2,JAX,5,38,7.6,1,0,0,0,0,0,0,9.8,9.8
59,Javorius Allen,BAL,RB,2,CLE,2,5,2.5,0,2,2,13,1,0,0,9.8,9.8
61,Todd Gurley,LAR,RB,7,ARI,5,36,7.2,1,1,0,0,0,0,0,9.6,9.6
61,Dion Lewis,NE,RB,4,CAR,3,17,5.7,1,1,1,9,0,0,0,9.6,9.6
61,Christian McCaffrey,CAR,RB,15,GB,0,0,0,0,2,2,16,1,0,0,9.6,9.6
64,Ezekiel Elliott,DAL,RB,7,SF,8,35,4.4,1,0,0,0,0,0,0,9.5,9.5
65,Tarik Cohen,CHI,RB,1,ATL,1,5,5,0,1,1,19,1,0,0,9.4,9.4
66,Matt Forte,NYJ,RB,13,KC,3,12,4,0,1,1,11,1,0,0,9.3,9.3
66,Dalvin Cook,MIN,RB,3,TB,6,7,1.2,1,1,1,16,0,0,0,9.3,9.3
68,Joe Mixon,CIN,RB,12,CLE,7,31,4.4,1,1,0,0,0,0,0,9.1,9.1
68,Leonard Fournette,JAX,RB,13,IND,6,10,1.7,1,1,1,11,0,0,0,9.1,9.1
70,Javorius Allen,BAL,RB,5,OAK,10,30,3,1,0,0,0,0,0,0,9,9
70,Le'Veon Bell,PIT,RB,6,KC,5,30,6,1,1,0,0,0,0,0,9,9
70,Jay Ajayi,PHI,RB,16,OAK,1,3,3,0,1,1,17,1,0,0,9,9
