Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Kenjon Barner,PHI,RB,11,DAL,2,3.1,50,50,100,100,9.6,480
2,Aaron Jones,GB,RB,13,TB,2,3.6,50,0,50,50,8,400
3,Austin Ekeler,LAC,RB,4,PHI,3,5.3,33.3,66.7,100,100,13.8,460
4,Alfred Morris,DAL,RB,4,LAR,3,4.2,66.7,0,66.7,66.7,7.6,253.3
5,Nick Bellore,DET,RB,13,BAL,3,4.8,0,33.3,33.3,33.3,7.1,236.7
6,JD McKissic,SEA,RB,4,IND,10,14.7,40,10,50,50,19.5,195
7,Jalen Richard,OAK,RB,12,DEN,5,7.4,40,40,80,80,11,220
8,Raheem Mostert,SF,RB,6,WAS,1,1.4,100,0,100,100,1.6,160
9,Fozzy Whittaker,CAR,RB,4,NE,6,9.5,0,50,50,50,12.4,206.7
10,Javorius Allen,BAL,RB,14,PIT,13,20.3,46.2,15.4,61.5,61.5,19.7,151.5
11,Rex Burkhead,NE,RB,2,NO,8,10.5,25,50,62.5,75,13.4,167.5
12,Elijhaa Penny,ARI,RB,13,LAR,5,7.8,40,0,40,40,6.4,128
13,Peyton Barber,TB,RB,12,ATL,10,14.1,50,0,50,50,12.7,127
14,Jamize Olawale,OAK,FB,8,BUF,5,7.7,40,0,40,40,6.3,126
15,CJ Ham,MIN,RB,2,PIT,5,7.6,20,0,20,20,6.1,122
16,James Conner,PIT,RB,10,IND,1,1.5,100,0,100,100,1.2,120
17,Corey Clement,PHI,RB,3,NYG,7,9.2,85.7,0,85.7,85.7,8.2,117.1
18,Patrick Ricard,BAL,FB,6,CHI,3,4.1,0,0,0,0,0,0
19,D'Onta Foreman,HOU,RB,11,ARI,18,25.7,55.6,16.7,72.2,72.2,23,127.8
20,Alfred Morris,DAL,RB,9,KC,1,1.5,100,0,100,100,1.1,110
21,Jonathan Stewart,CAR,RB,14,MIN,26,40.6,61.5,3.8,61.5,65.4,31.3,120.4
22,Corey Grant,JAX,RB,15,HOU,12,16.7,83.3,0,83.3,83.3,12.9,107.5
23,Cameron Artis-Payne,CAR,RB,10,MIA,12,15.6,58.3,0,58.3,58.3,12.8,106.7
24,Jamaal Williams,GB,RB,9,DET,9,15.3,11.1,22.2,33.3,33.3,11.2,124.4
25,Kareem Hunt,KC,RB,1,NE,40,58,42.5,12.5,55,55,49.6,124
26,Rex Burkhead,NE,RB,13,BUF,22,31.4,54.5,18.2,68.2,72.7,25.3,115
27,Alvin Kamara,NO,RB,9,TB,25,41.7,40,28,64,68,32.2,128.8
28,Elijah McGuire,NYJ,RB,4,JAX,19,27.1,52.6,10.5,63.2,63.2,21.1,111.1
29,Tarik Cohen,CHI,RB,7,CAR,7,18.4,0,42.9,14.3,42.9,8,114.3
30,Jalen Richard,OAK,RB,2,NYJ,17,29.8,35.3,11.8,47.1,47.1,18.9,111.2
31,Rod Smith,DAL,RB,14,NYG,29,46,20.7,17.2,37.9,37.9,36,124.1
32,Alvin Kamara,NO,RB,12,LAR,32,56.1,15.6,18.8,34.4,34.4,39.8,124.4
33,Austin Ekeler,LAC,RB,10,JAX,23,33.3,43.5,21.7,65.2,65.2,27.9,121.3
34,Mike Gillislee,NE,RB,1,KC,24,29.6,62.5,0,62.5,62.5,22.5,93.8
35,Todd Gurley,LAR,RB,15,SEA,45,63.4,46.7,6.7,53.3,53.3,48,106.7
36,Ty Montgomery,GB,RB,10,CHI,14,21.2,42.9,14.3,57.1,57.1,14.8,105.7
37,Marlon Mack,IND,RB,5,SF,17,22.4,52.9,5.9,58.8,58.8,16.3,95.9
38,Chris Thompson,WAS,RB,3,OAK,28,41.2,28.6,25,50,53.6,33.8,120.7
39,Corey Clement,PHI,RB,9,DEN,28,40.6,42.9,3.6,46.4,46.4,25.6,91.4
40,TJ Yeldon,JAX,RB,7,IND,23,33.8,39.1,8.7,47.8,47.8,24.7,107.4
41,Mark Ingram,NO,RB,10,BUF,37,48.1,56.8,0,56.8,56.8,34.1,92.2
42,Trey Edmunds,NO,RB,10,BUF,13,16.9,69.2,0,69.2,69.2,10.8,83.1
43,JD McKissic,SEA,RB,13,PHI,9,14.5,11.1,33.3,22.2,44.4,8.4,93.3
44,Alex Collins,BAL,RB,3,JAX,10,17.2,90,0,90,90,8.2,82
45,Jay Ajayi,PHI,RB,9,DEN,17,24.6,47.1,0,47.1,47.1,13.7,80.6
46,Kerwynn Williams,ARI,RB,1,DET,9,12,55.6,11.1,66.7,66.7,8.2,91.1
47,Ezekiel Elliott,DAL,RB,7,SF,50,66.7,52,6,54,58,43.9,87.8
48,Tion Green,DET,RB,16,CIN,13,20.3,53.8,0,53.8,53.8,10.3,79.2
49,Zach Zenner,DET,RB,5,CAR,9,14.8,33.3,0,33.3,33.3,7.1,78.9
50,Leonard Fournette,JAX,RB,5,PIT,39,72.2,71.8,2.6,74.4,74.4,34.4,88.2
50,Chris Thompson,WAS,RB,2,LAR,29,40.8,10.3,24.1,20.7,34.5,25.6,88.3
50,Alex Collins,BAL,RB,14,PIT,29,45.3,62.1,6.9,69,69,27.6,95.2
53,Jay Ajayi,PHI,RB,11,DAL,13,20.3,53.8,7.7,61.5,61.5,11.1,85.4
