,Name,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
0,Dez Bryant,12.5,4.5,33.0,51.0,0.5,4.25,14.95,0.0,0.0,0.0,0.0,12.6,9.2,3.0,0.5,16.65,1.5,0.5,0.5,1.5,0.0,0.0,0.0,0.0,3.65,66.5,91.75,0.0,18.8,6.8,18.8,41.5,False,-3.0,46.5,24.75,22.1,62.8125,331.9375,5.3,19.625,12.6875,42.9,3.25,59.6,30.8125,62.67748478701826,196.3125,6.4,10.2,1.375,85,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
1,Cole Beasley,6.5,3.5,55.0,32.5,0.0,5.25,9.45,0.0,0.0,0.0,0.0,6.75,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.5,75.3,0.0,11.8,6.4,11.8,41.5,False,-3.0,46.5,24.75,22.1,62.8125,331.9375,5.3,19.625,12.6875,42.9,3.25,59.6,30.8125,62.67748478701826,196.3125,6.4,10.2,1.375,85,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
2,Ryan Switzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.6,0.0,0.0,0.0,0.0,41.5,False,-3.0,46.5,24.75,22.1,62.8125,331.9375,5.3,19.625,12.6875,42.9,3.25,59.6,30.8125,62.67748478701826,196.3125,6.4,10.2,1.375,85,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
3,DeAndre Hopkins,11.777777777777779,6.444444444444445,56.87777777777778,89.22222222222223,0.8888888888888888,7.799999999999999,13.400000000000002,0.0,0.0,0.0,0.0,21.700000000000003,17.6,1.4444444444444444,0.7777777777777778,38.888888888888886,4.333333333333333,0.5555555555555556,1.9444444444444444,3.3333333333333335,0.0,0.0,0.0,0.0,4.544444444444444,70.22222222222223,98.55555555555556,0.0,16.677777777777777,9.055555555555555,16.677777777777777,35.86666666666666,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
4,Bruce Ellington,5.0,2.375,46.55,28.875,0.25,5.9125,10.75,0.25,1.5,1.5,0.0,6.9125,12.8,0.5,0.125,12.5,0.625,0.0,0.625,0.625,0.0,0.0,0.0,0.0,0.1875,55.5,77.33749999999999,0.3625,9.162500000000001,4.637499999999999,9.525,35.86666666666666,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
5,Braxton Miller,1.6666666666666667,0.8333333333333334,31.95,3.3333333333333335,0.16666666666666666,0.7666666666666666,2.9166666666666665,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,2.183333333333333,3.4,0.16666666666666666,0.16666666666666666,16.666666666666668,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,1.1833333333333333,32.166666666666664,45.11666666666667,0.8333333333333334,7.633333333333334,6.583333333333333,8.466666666666667,35.86666666666666,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
6,Chris Thompson,0.16666666666666666,0.16666666666666666,16.666666666666668,3.1666666666666665,0.0,3.1666666666666665,3.1666666666666665,0.0,0.0,0.0,0.0,0.48333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,3.483333333333333,0.0,5.55,5.55,5.55,35.86666666666666,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
7,T.Y. Hilton,7.0,3.0,42.9,57.0,0.0,8.1,19.0,0.0,0.0,0.0,0.0,7.7,8.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,88.0,0.0,15.9,6.8,15.9,64.2,True,6.5,43.5,18.5,16.4,62.125,284.5625,4.6,16.6875,14.25,38.2,2.5,40.0,30.4375,58.52156057494866,180.75,5.9,10.1,0.8125,77,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
8,Donte Moncrief,4.0,1.0,25.0,50.0,0.0,12.5,50.0,0.0,0.0,0.0,0.0,6.0,3.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0.0,8.9,2.2,8.9,64.2,True,6.5,43.5,18.5,16.4,62.125,284.5625,4.6,16.6875,14.25,38.2,2.5,40.0,30.4375,58.52156057494866,180.75,5.9,10.1,0.8125,77,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
9,Quan Bray,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,25.0,0.0,25.0,64.2,True,6.5,43.5,18.5,16.4,62.125,284.5625,4.6,16.6875,14.25,38.2,2.5,40.0,30.4375,58.52156057494866,180.75,5.9,10.1,0.8125,77,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,6.2,16.6,35.25,60.8,221.3125,6.3,10.3,1.5,82
