Team,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TurnoverDifferential,RushingYards,TeamRushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,PasserRating,RushingAttempts,RushingTouchdowns,FirstDownsByRushing,Score
SF,23,633,3565,5.6,216,48,121,39.7,15,32,46.9,61,547,-15,1336,4.7,78,27.6,31,8.9,68,19.4,198,319,62.1,2229,7,11.3,17,12,119,85,283,6,71,230
CHI,29.9,561,3271,5.8,192,48,112,42.9,21,32,65.6,56,471,13,1081,4.3,47,18.6,18,5.8,36,11.7,190,290,65.5,2190,7.6,11.5,19,7,103,100,253,10,63,269
CIN,26.1,524,3038,5.8,183,37,96,38.5,21,27,77.8,55,484,2,852,4.6,51,27.6,20,5.9,35,10.3,203,319,63.6,2186,6.9,10.8,18,10,119,89,185,8,47,235
BUF,13.7,634,2686,4.2,160,44,143,30.8,11,19,57.9,74,672,-7,1088,3.8,74,26.1,34,9.7,65,18.5,177,317,55.8,1598,5,9,5,16,85,54,283,8,56,137
DEN,22.8,576,3394,5.9,189,41,116,35.3,14,26,53.8,64,529,0,1140,5.2,43,19.5,24,6.8,61,17.2,211,331,63.7,2254,6.8,10.7,12,10,107,83,221,10,65,205
CLE,21.8,682,3554,5.2,196,48,146,32.9,18,29,62.1,76,569,12,1332,4.8,68,24.6,35,8.6,66,16.3,218,371,58.8,2222,6,10.2,15,10,112,78,276,11,63,218
TB,25.8,615,4075,6.6,233,50,105,47.6,19,35,54.3,67,552,-19,824,3.8,47,21.9,26,6.5,70,17.5,247,374,66,3251,8.7,13.2,23,19,170,93,215,5,40,232
ARI,13.8,501,2126,4.2,131,31,106,29.2,11,16,68.8,58,408,-7,634,3.4,55,29.6,27,8.6,70,22.2,166,288,57.6,1492,5.2,9,8,12,77,64,186,6,40,124
LAC,26.7,512,3529,6.9,182,33,97,34,16,29,55.2,63,529,6,1144,5.1,41,18.1,13,4.5,43,15,184,273,67.4,2385,8.7,13,21,4,113,114,226,7,59,240
KC,35.3,609,4231,6.9,240,50,106,47.2,32,45,71.1,84,678,7,1176,4.8,41,16.6,17,4.7,65,18,231,345,67,3055,8.9,13.2,31,7,147,116,247,10,70,353
IND,28.9,606,3418,5.6,200,66,126,52.4,24,36,66.7,67,537,3,1022,4.6,43,19.2,10,2.6,49,12.8,246,372,66.1,2396,6.4,9.7,26,9,128,97,224,5,53,260
DAL,20.1,547,2947,5.4,171,42,118,35.6,14,27,51.9,54,458,-1,1201,5,54,22.4,32,10.5,65,21.2,175,274,63.9,1746,6.4,10,11,5,90,88,241,7,67,181
MIA,19.9,575,3136,5.5,163,42,126,33.3,8,20,40,61,554,4,1059,4.4,54,22.6,27,8,56,16.7,200,309,64.7,2077,6.7,10.4,16,9,102,89,239,3,44,199
PHI,22,604,3356,5.6,203,49,119,41.2,19,34,55.9,55,491,-6,924,4.1,58,25.9,28,7.4,69,18.2,246,352,69.9,2432,6.9,9.9,16,4,129,100,224,6,56,198
ATL,27.1,584,3680,6.3,208,61,119,51.3,20,29,69,57,499,2,808,4,63,31.5,24,6.2,63,16.4,256,360,71.1,2872,8,11.2,21,3,144,111,200,8,45,244
NYG,19.7,551,3103,5.6,166,40,112,35.7,12,29,41.4,54,515,-2,720,4.2,68,39.5,32,8.4,62,16.4,235,347,67.7,2383,6.9,10.1,12,6,119,91,172,5,34,177
JAX,17.8,594,3235,5.4,173,60,133,45.1,9,20,45,59,550,-11,851,4,41,19.2,22,5.8,57,15,223,359,62.1,2384,6.6,10.7,13,9,121,83,213,3,44,160
NYJ,20.8,607,2994,4.9,154,38,132,28.8,10,25,40,59,450,-7,1073,4.1,62,23.8,24,6.9,43,12.4,176,323,54.5,1921,5.9,10.9,11,16,91,63,260,7,54,208
DET,22.4,576,3128,5.4,193,44,115,38.3,15,30,50,59,501,-6,910,4.3,47,22.4,29,7.9,51,13.9,223,337,66.2,2218,6.6,9.9,16,9,125,89,210,5,49,202
GB,24.8,591,3629,6.1,196,45,114,39.5,18,30,60,64,585,0,1040,5.2,47,23.4,27,6.9,59,15.1,221,363,60.9,2589,7.1,11.7,17,2,124,96,201,6,62,223
CAR,26.8,554,3215,5.8,194,41,102,40.2,22,30,73.3,54,457,6,1246,5.1,40,16.4,17,5.5,40,12.9,201,293,68.6,1969,6.7,9.8,17,5,116,99,244,12,65,241
NE,28,667,3772,5.7,223,50,126,39.7,23,35,65.7,47,364,4,1085,3.9,40,14.4,16,4.1,44,11.3,245,374,65.5,2687,7.2,11,17,7,132,94,277,12,75,280
OAK,16.3,558,3147,5.6,171,40,108,37,11,26,42.3,63,555,-6,874,4.2,54,26.1,29,8.3,56,16,229,322,71.1,2273,7.1,9.9,10,8,115,91,207,4,44,147
LAR,33.5,648,4480,6.9,250,53,117,45.3,30,53,56.6,55,483,8,1448,4.9,50,16.9,19,5.4,41,11.6,228,334,68.3,3032,9.1,13.3,22,6,152,111,295,14,81,335
BAL,23.7,639,3299,5.2,209,60,132,45.5,22,33,66.7,63,489,-4,834,3.6,39,16.9,17,4.2,43,10.5,239,391,61.1,2465,6.3,10.3,13,6,126,84,231,11,65,213
WAS,19.6,570,3037,5.3,176,46,121,38,13,25,52,64,624,11,1091,4.4,57,22.8,19,5.9,48,15,193,301,64.1,1946,6.5,10.1,10,3,98,89,250,7,60,176
NO,36.7,594,3725,6.3,235,48,104,46.2,32,44,72.7,48,487,2,1141,4.1,32,11.6,9,2.8,28,8.8,237,309,76.7,2584,8.4,10.9,21,1,129,122,276,17,84,330
SEA,24.3,564,3133,5.6,180,42,112,37.5,19,26,73.1,69,570,8,1370,4.8,48,16.7,29,10.5,57,20.7,163,247,66,1763,7.1,10.8,21,5,86,107,288,6,72,219
PIT,31,603,3779,6.3,219,56,115,48.7,22,28,78.6,75,715,-1,951,4.3,43,19.6,12,3.1,33,8.6,246,372,66.1,2828,7.6,11.5,21,7,143,100,219,12,57,279
HOU,24,590,3322,5.6,182,46,119,38.7,17,37,45.9,66,463,4,1082,3.9,68,24.8,30,9.5,80,25.3,185,286,64.7,2240,7.8,12.1,17,7,115,98,274,4,50,216
TEN,18.7,543,2691,5,163,53,123,43.1,15,27,55.6,41,340,-1,1030,3.9,61,23.1,28,10,41,14.7,164,251,65.3,1661,6.6,10.1,9,6,93,86,264,7,57,168
MIN,24.6,584,3369,5.8,187,46,119,38.7,15,27,55.6,53,415,1,825,4.2,52,26.4,24,6.2,61,15.8,259,363,71.3,2544,7,9.8,17,5,138,101,197,6,33,221
