Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,1,TB,8,29,3.6,2,12,9,112,1,0,0,46.1,46.1
2,Alvin Kamara,NO,RB,4,NYG,19,134,7.1,3,9,5,47,0,0,0,44.1,44.1
3,James Conner,PIT,RB,8,CLE,24,146,6.1,2,6,5,66,0,1,0,41.2,41.2
4,Saquon Barkley,NYG,RB,6,PHI,13,130,10,1,12,9,99,0,0,0,40.9,40.9
5,Todd Gurley,LAR,RB,6,DEN,28,208,7.4,2,5,2,17,0,0,0,39.5,39.5
6,James Conner,PIT,RB,1,CLE,31,135,4.4,2,6,5,57,0,1,1,38.2,38.2
7,Melvin Gordon,LAC,RB,6,CLE,18,132,7.3,3,4,2,18,0,0,0,38,38
8,James Conner,PIT,RB,5,ATL,21,110,5.2,2,4,4,75,0,1,0,37.5,37.5
9,Kareem Hunt,KC,RB,7,CIN,15,86,5.7,1,6,5,55,2,0,0,37.1,37.1
10,Ezekiel Elliott,DAL,RB,4,DET,25,152,6.1,0,4,4,88,1,1,0,37,37
10,Alvin Kamara,NO,RB,3,ATL,16,66,4.1,0,20,15,124,0,0,0,37,37
12,Todd Gurley,LAR,RB,8,GB,25,114,4.6,0,7,6,81,1,0,0,36.5,36.5
13,Marlon Mack,IND,RB,7,BUF,19,126,6.6,1,3,2,33,1,0,0,34.9,34.9
14,Melvin Gordon,LAC,RB,4,SF,15,104,6.9,0,10,7,55,1,1,0,33.9,33.9
15,Alvin Kamara,NO,RB,9,LAR,19,82,4.3,2,5,4,34,1,0,0,33.6,33.6
16,Tarik Cohen,CHI,RB,4,TB,13,53,4.1,0,8,7,121,1,0,0,33.4,33.4
17,Todd Gurley,LAR,RB,5,SEA,22,77,3.5,3,5,4,36,0,0,0,33.3,33.3
18,Kareem Hunt,KC,RB,9,CLE,17,91,5.4,2,2,1,50,1,0,0,33.1,33.1
18,Isaiah Crowell,NYJ,RB,5,DEN,15,219,14.6,1,1,1,12,0,0,0,33.1,33.1
20,Christian McCaffrey,CAR,RB,9,TB,17,79,4.6,2,6,5,78,0,0,0,32.7,32.7
21,Tevin Coleman,ATL,RB,9,WAS,13,88,6.8,0,7,5,68,2,0,0,32.6,32.6
22,Kareem Hunt,KC,RB,6,NE,10,80,8,0,6,5,105,1,0,0,32.5,32.5
23,Todd Gurley,LAR,RB,2,ARI,19,42,2.2,3,3,3,31,0,0,0,32.3,32.3
23,James Conner,PIT,RB,9,BAL,24,107,4.5,0,9,7,56,1,0,0,32.3,32.3
25,Marlon Mack,IND,RB,8,OAK,25,132,5.3,2,4,2,17,0,0,0,31.9,31.9
25,James Conner,PIT,RB,6,CIN,19,111,5.8,2,7,4,18,0,0,0,31.9,31.9
27,Joe Mixon,CIN,RB,8,TB,21,123,5.9,2,4,3,15,0,0,0,31.8,31.8
28,Mike Davis,SEA,RB,4,ARI,21,101,4.8,2,4,4,23,0,0,0,31.4,31.4
29,James White,NE,RB,4,MIA,8,44,5.5,1,10,8,68,1,0,0,31.2,31.2
30,Christian McCaffrey,CAR,RB,2,ATL,8,37,4.6,0,15,14,102,0,0,0,30.9,30.9
31,Todd Gurley,LAR,RB,7,SF,15,63,4.2,2,5,4,23,1,0,0,30.6,30.6
31,Adrian Peterson,WAS,RB,8,NYG,26,149,5.7,1,1,1,7,1,1,1,30.6,30.6
31,Melvin Gordon,LAC,RB,2,BUF,9,28,3.1,1,7,6,38,2,0,0,30.6,30.6
31,Melvin Gordon,LAC,RB,1,KC,15,64,4.3,0,13,9,102,0,0,0,30.6,30.6
