Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Jordan Thomas,HOU,TE,8,MIA,3,3,100,23,2,13,7.7,7.7,0,0,0,0,0,0,17.3,17.3
2,Travis Kelce,KC,TE,9,CLE,2,2,100,24,2,13,12,12,0,0,0,0,0,0,16.4,16.4
3,Michael Roberts,DET,TE,7,MIA,2,2,100,19,2,15,9.5,9.5,0,0,0,0,0,0,15.9,15.9
4,Eric Ebron,IND,TE,5,NE,4,2,50,15,2,14,3.8,7.5,0,0,0,0,0,0,15.5,15.5
5,Jared Cook,OAK,TE,4,CLE,2,2,100,14,2,7,7,7,0,0,0,0,0,0,15.4,15.4
6,OJ Howard,TB,TE,9,CAR,3,2,66.7,7,2,4,2.3,3.5,0,0,0,0,0,0,14.7,14.7
7,Chris Herndon IV,NYJ,TE,7,MIN,2,2,100,29,1,17,14.5,14.5,0,0,0,0,0,0,10.9,10.9
8,Travis Kelce,KC,TE,2,PIT,3,2,66.7,28,1,19,9.3,14,0,0,0,0,0,0,10.8,10.8
9,OJ Howard,TB,TE,6,ATL,2,2,100,25,1,15,12.5,12.5,0,0,0,0,0,0,10.5,10.5
10,Austin Hooper,ATL,TE,6,TB,2,2,100,20,1,11,10,10,0,0,0,0,0,0,10,10
11,Eric Ebron,IND,TE,4,HOU,2,2,100,14,1,9,7,7,0,0,0,0,0,0,9.4,9.4
12,Travis Kelce,KC,TE,4,DEN,2,2,100,11,1,9,5.5,5.5,0,0,0,0,0,0,9.1,9.1
12,Trey Burton,CHI,TE,7,NE,2,2,100,11,1,11,5.5,5.5,0,0,0,0,0,0,9.1,9.1
14,Eric Ebron,IND,TE,8,OAK,1,1,100,20,1,20,20,20,0,0,0,0,0,0,9,9
15,AJ Derby,MIA,TE,2,NYJ,1,1,100,19,1,19,19,19,0,0,0,0,0,0,8.9,8.9
16,Evan Engram,NYG,TE,2,DAL,1,1,100,18,1,18,18,18,0,0,0,0,0,0,8.8,8.8
16,OJ Howard,TB,TE,8,CIN,1,1,100,18,1,18,18,18,0,0,0,0,0,0,8.8,8.8
18,Logan Paulsen,ATL,TE,4,CIN,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
18,Eric Ebron,IND,TE,6,NYJ,2,1,50,18,1,18,9,18,1,-1,-1,0,0,0,8.7,8.7
18,Erik Swoope,IND,TE,7,BUF,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
18,Demetrius Harris,KC,TE,7,CIN,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
18,Greg Olsen,CAR,TE,9,TB,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
23,Cameron Brate,TB,TE,4,CHI,1,1,100,16,1,16,16,16,0,0,0,0,0,0,8.6,8.6
23,Rhett Ellison,NYG,TE,3,HOU,1,1,100,16,1,16,16,16,0,0,0,0,0,0,8.6,8.6
23,Chris Herndon IV,NYJ,TE,8,CHI,1,1,100,16,1,16,16,16,0,0,0,0,0,0,8.6,8.6
