Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Zach Ertz,PHI,TE,6,67,48,71.6,480,2,34,7.2,10,0,0,0,0,0,0,19,114
2,Travis Kelce,KC,TE,6,55,33,60,468,3,40,8.5,14.2,0,0,0,0,0,0,17.8,106.8
3,Eric Ebron,IND,TE,6,52,30,57.7,326,6,28,6.3,10.9,1,-1,-1,0,0,0,16.9,101.5
4,Jared Cook,OAK,TE,6,43,32,74.4,400,2,45,9.3,12.5,0,0,0,0,0,0,15,90
5,George Kittle,SF,TE,6,41,27,65.9,429,1,82,10.5,15.9,0,0,0,0,0,0,13.5,80.9
6,Rob Gronkowski,NE,TE,6,35,26,74.3,405,1,42,11.6,15.6,0,0,0,0,1,1,12.4,74.5
7,Austin Hooper,ATL,TE,6,37,30,81.1,273,2,30,7.4,9.1,0,0,0,0,0,0,11.9,71.3
8,Jimmy Graham,GB,TE,6,45,27,60,349,1,54,7.8,12.9,0,0,0,0,0,0,11.8,70.9
9,Kyle Rudolph,MIN,TE,6,31,27,87.1,266,2,24,8.6,9.9,0,0,0,0,0,0,10.9,65.6
10,David Njoku,CLE,TE,6,46,27,58.7,245,1,24,5.3,9.1,0,0,0,0,0,0,9.6,57.5
11,OJ Howard,TB,TE,5,21,15,71.4,284,2,75,13.5,18.9,0,0,0,0,0,0,11.1,55.4
11,Vance McDonald,PIT,TE,5,25,20,80,274,1,75,11,13.7,0,0,0,0,2,1,11.1,55.4
13,Jesse James,PIT,TE,6,21,17,81,274,1,46,13,16.1,0,0,0,0,0,0,8.9,53.4
14,Trey Burton,CHI,TE,5,23,15,65.2,199,3,47,8.7,13.3,1,2,2,0,0,0,10.6,53.1
15,Jordan Reed,WAS,TE,5,31,20,64.5,225,1,34,7.3,11.2,0,0,0,0,1,1,9.5,47.5
16,Ricky Seals-Jones,ARI,TE,6,31,15,48.4,192,1,40,6.2,12.8,0,0,0,0,0,0,6.7,40.2
17,Geoff Swaim,DAL,TE,6,21,16,76.2,180,1,43,8.6,11.2,0,0,0,0,0,0,6.7,40
18,Tyler Eifert,CIN,TE,4,19,15,78.9,179,1,29,9.4,11.9,0,0,0,0,0,0,9.7,38.9
19,Will Dissly,SEA,TE,4,14,8,57.1,156,2,66,11.1,19.5,0,0,0,0,0,0,9.6,38.6
