Date,Favorite,PointSpread,UnderDog,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine
October 18, 2018 8:20 PM,Broncos,-1.0,at Cardinals,42.0,-122,+111
October 21, 2018 9:30 AM,at Chargers,-6.5,Titans,45.0,+245,-277
October 21, 2018 1:00 PM,Lions,-3.0,at Dolphins,47.0,-150,+130
October 21, 2018 1:00 PM,Vikings,-3.5,at Jets,46.5,-174,+157
October 21, 2018 1:00 PM,at Eagles,-5.0,Panthers,45.0,+194,-217
October 21, 2018 1:00 PM,Patriots,-3.0,at Bears,49.5,-161,+146
October 21, 2018 1:00 PM,at Colts,-7.5,Bills,43.0,+291,-332
October 21, 2018 1:00 PM,at Jaguars,-5.0,Texans,42.0,+205,-229
October 21, 2018 1:00 PM,at Buccaneers,-3.0,Browns,49.5,+149,-166
October 21, 2018 4:05 PM,at Ravens,-2.5,Saints,50.0,+130,-144
October 21, 2018 4:25 PM,at Redskins,-1.5,Cowboys,42.0,+109,-120
October 21, 2018 4:25 PM,Rams,-10.0,at 49ers,52.5,-450,+385
October 21, 2018 8:20 PM,at Chiefs,-6.0,Bengals,57.5,+235,-265
October 22, 2018 8:15 PM,at Falcons,-6.0,Giants,54.0,+222,-250
