Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Kareem Hunt,KC,RB,7,CIN,15,86,5.7,1,6,5,55,2,0,0,37.1,37.1
2,Marlon Mack,IND,RB,7,BUF,19,126,6.6,1,3,2,33,1,0,0,34.9,34.9
3,Todd Gurley,LAR,RB,7,SF,15,63,4.2,2,5,4,23,1,0,0,30.6,30.6
4,James White,NE,RB,7,CHI,11,40,3.6,0,10,8,57,2,0,0,29.7,29.7
5,Saquon Barkley,NYG,RB,7,ATL,14,43,3.1,1,10,9,51,0,0,0,26.4,26.4
6,Kerryon Johnson,DET,RB,7,MIA,19,158,8.3,0,3,2,21,0,0,0,22.9,22.9
7,Latavius Murray,MIN,RB,7,NYJ,15,69,4.6,2,2,2,14,0,0,0,22.3,22.3
7,Tarik Cohen,CHI,RB,7,NE,6,14,2.3,0,12,8,69,1,0,0,22.3,22.3
9,Dion Lewis,TEN,RB,7,LAC,13,91,7,0,6,6,64,0,0,0,21.5,21.5
10,Lamar Miller,HOU,RB,7,JAX,22,100,4.5,1,3,1,-1,0,0,0,19.9,19.9
11,Kenyan Drake,MIA,RB,7,DET,6,72,12,1,8,4,15,0,0,0,18.7,18.7
12,TJ Yeldon,JAX,RB,7,HOU,12,28,2.3,0,7,5,40,1,0,0,17.8,17.8
13,Phillip Lindsay,DEN,RB,7,ARI,14,90,6.4,1,1,1,6,0,0,0,16.6,16.6
14,Tevin Coleman,ATL,RB,7,NYG,11,50,4.5,1,2,2,32,0,0,0,16.2,16.2
15,Kapri Bibbs,WAS,RB,7,DAL,2,13,6.5,0,5,4,43,1,0,0,15.6,15.6
16,Alvin Kamara,NO,RB,7,BAL,17,64,3.8,1,2,2,11,0,0,0,15.5,15.5
17,Derrick Henry,TEN,RB,7,LAC,12,33,2.8,1,2,2,32,0,0,0,14.5,14.5
18,Nick Chubb,CLE,RB,7,TB,18,80,4.4,1,2,0,0,0,0,0,14,14
18,Christian McCaffrey,CAR,RB,7,PHI,7,29,4.1,0,6,6,51,0,0,0,14,14
20,Chris Ivory,BUF,RB,7,IND,16,81,5.1,0,6,3,25,0,0,0,13.6,13.6
21,Marcus Murphy,BUF,RB,7,IND,4,53,13.2,0,6,5,17,0,0,0,12,12
22,Spencer Ware,KC,RB,7,CIN,8,59,7.4,0,3,3,30,0,0,0,11.9,11.9
23,Jordan Howard,CHI,RB,7,NE,12,39,3.2,1,1,1,9,0,0,0,11.8,11.8
23,Raheem Mostert,SF,RB,7,LAR,7,59,8.4,0,4,4,19,0,0,0,11.8,11.8
23,Austin Ekeler,LAC,RB,7,TEN,12,42,3.5,0,7,5,26,0,0,0,11.8,11.8
26,Adrian Peterson,WAS,RB,7,DAL,24,99,4.1,0,2,1,8,0,0,0,11.7,11.7
27,Trenton Cannon,NYJ,RB,7,MIN,2,4,2,0,5,4,69,0,0,0,11.3,11.3
28,LeGarrette Blount,DET,RB,7,MIA,10,50,5,1,0,0,0,0,0,0,11,11
29,David Johnson,ARI,RB,7,DEN,14,39,2.8,0,3,3,31,0,0,0,10,10
30,Ronald Jones II,TB,RB,7,CLE,6,13,2.2,1,1,1,15,0,0,0,9.8,9.8
31,Royce Freeman,DEN,RB,7,ARI,13,37,2.8,1,0,0,0,0,0,0,9.7,9.7
32,Malcolm Brown,LAR,RB,7,SF,13,65,5,0,1,1,6,0,0,0,8.1,8.1
32,Joe Mixon,CIN,RB,7,KC,13,50,3.8,0,5,3,1,0,0,0,8.1,8.1
34,Alex Collins,BAL,RB,7,NO,11,38,3.5,0,4,3,10,0,0,0,7.8,7.8
35,Ito Smith,ATL,RB,7,NYG,7,16,2.3,0,2,2,29,0,0,0,6.5,6.5
36,Jordan Wilkins,IND,RB,7,BUF,6,46,7.7,0,1,1,8,0,0,0,6.4,6.4
37,Mark Ingram,NO,RB,7,BAL,12,32,2.7,0,2,2,10,0,0,0,6.2,6.2
37,Ezekiel Elliott,DAL,RB,7,WAS,15,33,2.2,0,6,2,9,0,0,0,6.2,6.2
39,Isaiah Crowell,NYJ,RB,7,MIN,11,29,2.6,0,3,1,21,0,0,0,6,6
40,Duke Johnson,CLE,RB,7,TB,1,-4,-4,0,4,4,23,0,0,0,5.9,5.9
41,Wendell Smallwood,PHI,RB,7,CAR,9,32,3.6,0,2,2,5,0,0,0,5.7,5.7
42,Javorius Allen,BAL,RB,7,NO,3,3,1,0,3,3,21,0,0,0,5.4,5.4
43,Nyheim Hines,IND,RB,7,BUF,5,47,9.4,0,2,1,-5,0,0,0,5.2,5.2
44,Chase Edmonds,ARI,RB,7,DEN,5,9,1.8,0,3,3,12,0,0,0,5.1,5.1
45,Frank Gore,MIA,RB,7,DET,10,29,2.9,0,1,1,4,0,0,0,4.3,4.3
46,Corey Clement,PHI,RB,7,CAR,8,6,0.8,0,2,2,16,0,1,0,4.2,4.2
47,Kenjon Barner,NE,RB,7,CHI,10,36,3.6,0,0,0,0,0,0,0,3.6,3.6
48,Bilal Powell,NYJ,RB,7,MIN,5,20,4,0,1,1,5,0,0,0,3.5,3.5
48,Sony Michel,NE,RB,7,CHI,4,22,5.5,0,1,1,13,0,1,1,3.5,3.5
50,Kyle Juszczyk,SF,FB,7,LAR,1,-5,-5,0,3,2,18,0,0,0,3.3,3.3
51,Peyton Barber,TB,RB,7,CLE,11,30,2.7,0,2,0,0,0,0,0,3,3
52,Jacquizz Rodgers,TB,RB,7,CLE,3,8,2.7,0,1,1,11,0,0,0,2.9,2.9
52,Tyler Ervin,HOU,RB,7,JAX,0,0,0,0,1,1,19,0,1,0,2.9,2.9
54,Alfred Blue,HOU,RB,7,JAX,8,28,3.5,0,0,0,0,0,0,0,2.8,2.8
55,Ricky Ortiz,ATL,RB,7,NYG,0,0,0,0,2,2,7,0,0,0,2.7,2.7
56,Alfred Morris,SF,RB,7,LAR,9,25,2.8,0,1,0,0,0,0,0,2.5,2.5
57,Justin Jackson,LAC,RB,7,TEN,2,3,1.5,0,1,1,11,0,0,0,2.4,2.4
