Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,7,144,686,4.8,11,35,25,270,3,1,1,30.9,216.6
2,Saquon Barkley,NYG,RB,7,98,481,4.9,5,61,49,424,2,0,0,27.1,189.5
3,Melvin Gordon,LAC,RB,6,91,466,5.1,6,42,30,279,3,1,0,28.6,171.5
4,Alvin Kamara,NO,RB,6,79,363,4.6,6,53,40,362,1,0,0,27.9,167.5
5,Kareem Hunt,KC,RB,7,118,542,4.6,5,21,15,226,4,0,0,21.7,151.8
6,James Conner,PIT,RB,6,103,453,4.4,7,35,26,257,0,2,1,25.2,151
7,James White,NE,RB,7,40,189,4.7,1,61,45,380,6,0,0,20.6,143.9
8,Ezekiel Elliott,DAL,RB,7,132,619,4.7,3,36,25,175,1,2,1,19.5,136.4
9,TJ Yeldon,JAX,RB,7,79,327,4.1,1,44,30,263,4,1,1,16.9,118
10,Christian McCaffrey,CAR,RB,6,78,378,4.8,0,46,40,289,1,1,1,19.6,117.7
11,David Johnson,ARI,RB,7,106,335,3.2,5,30,20,166,1,2,2,14.9,104.1
12,Tarik Cohen,CHI,RB,6,38,184,4.8,1,38,29,328,2,1,1,16.7,100.2
13,Isaiah Crowell,NYJ,RB,7,81,459,5.7,5,13,9,69,0,0,0,14,97.8
14,Phillip Lindsay,DEN,RB,7,75,436,5.8,2,20,15,119,1,0,0,13.1,91.5
15,Austin Ekeler,LAC,RB,7,53,305,5.8,0,24,19,233,3,1,1,12.8,89.8
16,Tevin Coleman,ATL,RB,7,82,310,3.8,2,18,15,137,2,1,0,12.4,86.7
17,Adrian Peterson,WAS,RB,6,101,438,4.3,3,12,8,144,0,1,1,14.4,86.2
17,Kenyan Drake,MIA,RB,7,58,282,4.9,2,39,25,160,1,1,1,12.3,86.2
19,Matt Breida,SF,RB,7,68,445,6.5,2,13,11,90,1,1,1,12.1,84.5
20,Nyheim Hines,IND,RB,7,41,160,3.9,1,40,32,180,2,0,0,12,84
21,Joe Mixon,CIN,RB,5,84,386,4.6,2,24,16,100,1,0,0,16.5,82.6
22,Marshawn Lynch,OAK,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.7,82
23,Dion Lewis,TEN,RB,7,73,277,3.8,1,33,29,199,0,1,1,11.7,81.6
24,Kerryon Johnson,DET,RB,6,69,444,6.4,1,18,15,89,0,0,0,13.4,80.3
25,Alex Collins,BAL,RB,7,87,309,3.6,4,18,12,87,1,2,2,11.4,79.6
26,Sony Michel,NE,RB,6,95,422,4.4,4,8,4,31,0,1,1,13,78.3
27,Carlos Hyde,CLE,RB,6,114,382,3.4,5,10,6,29,0,1,0,12.8,77.1
28,Javorius Allen,BAL,RB,7,38,100,2.6,3,33,27,170,1,1,1,11,77
29,Latavius Murray,MIN,RB,7,69,330,4.8,3,15,12,77,0,0,0,10.8,75.7
30,Lamar Miller,HOU,RB,6,95,371,3.9,1,16,11,78,1,1,1,11.6,69.9
31,Chris Thompson,WAS,RB,4,23,100,4.3,0,31,26,200,1,0,0,15.5,62
32,Jordan Howard,CHI,RB,6,90,311,3.5,2,14,11,87,0,1,1,10.3,61.8
33,Bilal Powell,NYJ,RB,7,80,343,4.3,0,18,11,110,1,2,1,8.8,61.3
34,Royce Freeman,DEN,RB,7,71,309,4.4,4,6,4,21,0,0,0,8.7,61
35,Jalen Richard,OAK,RB,6,11,32,2.9,0,37,31,253,0,0,0,9.9,59.5
36,Wendell Smallwood,PHI,RB,7,52,233,4.5,1,19,13,101,1,2,1,8.5,59.4
37,Chris Carson,SEA,RB,5,78,352,4.5,1,9,6,61,0,1,1,11.7,58.3
38,Giovani Bernard,CIN,RB,4,34,155,4.6,3,21,14,78,0,0,0,13.8,55.3
39,Mike Davis,SEA,RB,5,42,193,4.6,3,11,9,41,0,0,0,10.7,53.4
40,Frank Gore,MIA,RB,7,72,332,4.6,0,6,5,57,1,0,0,7.6,52.9
41,Corey Clement,PHI,RB,5,46,161,3.5,2,15,13,116,0,3,0,10.5,52.7
42,Duke Johnson,CLE,RB,7,20,107,5.4,0,26,18,187,0,1,0,7.3,51.4
43,Ito Smith,ATL,RB,7,39,118,3,3,13,12,95,0,1,0,7.3,51.3
44,Marlon Mack,IND,RB,3,41,249,6.1,1,7,4,39,1,0,0,16.6,49.8
