Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Zach Ertz,PHI,TE,7,78,57,73.1,618,2,34,7.9,10.8,0,0,0,0,0,0,20,139.8
2,Travis Kelce,KC,TE,7,60,38,63.3,563,3,43,9.4,14.8,0,0,0,0,0,0,17.3,121.3
3,Eric Ebron,IND,TE,7,59,33,55.9,357,6,28,6.1,10.8,1,-1,-1,0,0,0,15.4,107.6
4,George Kittle,SF,TE,7,49,32,65.3,527,2,82,10.8,16.5,0,0,0,0,0,0,14.5,101.7
5,Jared Cook,OAK,TE,6,43,32,74.4,400,2,45,9.3,12.5,0,0,0,0,0,0,15,90
6,Trey Burton,CHI,TE,6,34,24,70.6,325,4,47,9.6,13.5,1,2,2,0,0,0,14,83.7
7,Austin Hooper,ATL,TE,7,41,33,80.5,321,2,36,7.8,9.7,0,0,0,0,0,0,11.3,79.1
8,Rob Gronkowski,NE,TE,6,35,26,74.3,405,1,42,11.6,15.6,0,0,0,0,1,1,12.4,74.5
9,David Njoku,CLE,TE,7,52,31,59.6,297,2,24,5.7,9.6,0,0,0,0,0,0,10.4,72.7
10,Jimmy Graham,GB,TE,6,45,27,60,349,1,54,7.8,12.9,0,0,0,0,0,0,11.8,70.9
11,Kyle Rudolph,MIN,TE,7,35,28,80,282,2,24,8.1,10.1,0,0,0,0,0,0,9.7,68.2
12,OJ Howard,TB,TE,6,30,20,66.7,351,2,75,11.7,17.6,0,0,0,0,0,0,11.2,67.1
13,Vance McDonald,PIT,TE,5,25,20,80,274,1,75,11,13.7,0,0,0,0,2,1,11.1,55.4
14,Jordan Reed,WAS,TE,6,35,22,62.9,268,1,34,7.7,12.2,0,0,0,0,1,1,9,53.8
15,Jesse James,PIT,TE,6,21,17,81,274,1,46,13,16.1,0,0,0,0,0,0,8.9,53.4
16,Benjamin Watson,NO,TE,6,28,23,82.1,230,1,27,8.2,10,0,0,0,0,0,0,8.7,52
17,CJ Uzomah,CIN,TE,7,19,17,89.5,184,2,29,9.7,10.8,0,0,0,0,0,0,6.8,47.4
18,Geoff Swaim,DAL,TE,7,24,19,79.2,205,1,43,8.5,10.8,0,0,0,0,0,0,6.5,45.5
19,Dallas Goedert,PHI,TE,7,20,17,85,156,2,21,7.8,9.2,0,0,0,0,0,0,6.4,44.6
20,Ricky Seals-Jones,ARI,TE,7,35,17,48.6,204,1,40,5.8,12,0,0,0,0,0,0,6.2,43.4
21,Mark Andrews,BAL,TE,7,21,14,66.7,163,2,30,7.8,11.6,0,0,0,0,0,0,6,42.3
22,Tyler Eifert,CIN,TE,4,19,15,78.9,179,1,29,9.4,11.9,0,0,0,0,0,0,9.7,38.9
23,Will Dissly,SEA,TE,4,14,8,57.1,156,2,66,11.1,19.5,0,0,0,0,0,0,9.6,38.6
24,Chris Herndon IV,NYJ,TE,5,16,11,68.8,145,2,32,9.1,13.2,0,0,0,0,1,0,7.5,37.5
25,Cameron Brate,TB,TE,6,15,10,66.7,101,3,21,6.7,10.1,0,0,0,0,1,1,6.2,37.1
26,Erik Swoope,IND,TE,5,8,7,87.5,83,3,26,10.4,11.9,0,0,0,0,0,0,6.7,33.3
27,Rhett Ellison,NYG,TE,6,16,13,81.2,117,1,17,7.3,9,0,0,0,0,0,0,5.4,32.7
28,Antonio Gates,LAC,TE,7,21,12,57.1,123,1,27,5.9,10.2,0,0,0,0,0,0,4.6,32.3
