Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Adam Thielen,MIN,WR,7,91,67,73.6,822,5,68,9,12.3,0,0,0,0,0,0,28.6,200.2
2,Tyreek Hill,KC,WR,7,61,41,67.2,635,7,75,10.4,15.5,10,45,4.5,0,0,0,23.3,163
3,Emmanuel Sanders,DEN,WR,7,61,46,75.4,603,3,64,9.9,13.1,2,53,26.5,1,0,0,21.4,149.72
4,DeAndre Hopkins,HOU,WR,7,71,47,66.2,707,4,49,10,15,1,-7,-7,0,1,1,21.3,149
5,Odell Beckham Jr,NYG,WR,7,80,53,66.2,649,2,51,8.1,12.2,4,8,2,0,2,1,21.1,147.98
6,Julio Jones,ATL,WR,7,81,53,65.4,812,0,58,10,15.3,1,11,11,0,1,1,20.9,146.3
7,Davante Adams,GB,WR,6,71,47,66.2,557,6,51,7.8,11.9,0,0,0,0,0,0,24.1,144.7
8,Michael Thomas,NO,WR,6,58,53,91.4,588,4,35,10.1,11.1,0,0,0,0,2,2,23.3,139.8
9,Robert Woods,LAR,WR,7,58,41,70.7,602,3,36,10.4,14.7,8,90,11.2,0,0,0,19.6,137.2
10,AJ Green,CIN,WR,7,69,40,58,611,5,38,8.9,15.3,0,0,0,0,2,1,19.4,136.1
11,Antonio Brown,PIT,WR,6,72,40,55.6,478,6,48,6.6,12,0,0,0,0,0,0,21.6,129.8
12,Mike Evans,TB,WR,6,55,40,72.7,591,3,51,10.7,14.8,0,0,0,0,2,1,20.8,125.1
13,Stefon Diggs,MIN,WR,7,75,48,64,468,3,75,6.2,9.8,7,36,5.1,0,0,0,17.8,124.4
14,Juju Smith-Schuster,PIT,WR,6,63,42,66.7,561,2,67,8.9,13.4,0,0,0,0,0,0,20.7,124.1
15,Tyler Boyd,CIN,WR,7,56,40,71.4,482,4,49,8.6,12,1,5,5,0,0,0,17,118.7
16,John Brown,BAL,WR,7,54,28,51.9,558,4,71,10.3,19.9,2,4,2,0,0,0,16.3,114.2
17,Golden Tate,DET,WR,6,57,37,64.9,467,3,67,8.2,12.6,2,39,19.5,0,1,0,18.6,111.6
18,DeSean Jackson,TB,WR,6,35,23,65.7,526,3,75,15,22.9,3,15,5,1,0,0,18.4,110.1
19,Jarvis Landry,CLE,WR,7,82,41,50,489,2,39,6,11.9,0,0,0,0,0,0,15.7,109.9
20,Cooper Kupp,LAR,WR,6,42,30,71.4,438,5,70,10.4,14.6,4,25,6.2,0,0,0,18.2,109.3
