Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,7,43,124,2.9,11,13,7,65,3,0,0,16.3,113.9
2,Melvin Gordon,LAC,RB,6,15,92,6.1,6,10,6,33,3,2,0,12.8,76.5
3,Alvin Kamara,NO,RB,6,27,83,3.1,5,15,11,64,1,0,0,11,65.7
4,Kareem Hunt,KC,RB,7,18,46,2.6,5,7,4,34,3,0,0,8.6,60
5,James White,NE,RB,7,7,15,2.1,0,11,9,67,6,0,0,7.6,53.2
6,James Conner,PIT,RB,6,16,34,2.1,5,3,2,8,0,1,0,6.7,40.2
7,Saquon Barkley,NYG,RB,7,15,29,1.9,3,7,5,35,1,0,0,5.3,37.4
8,David Johnson,ARI,RB,7,16,36,2.2,5,5,2,4,0,0,0,5.1,36
9,Alex Collins,BAL,RB,7,12,38,3.2,4,4,2,11,1,1,1,5.1,35.9
10,TJ Yeldon,JAX,RB,7,10,37,3.7,1,7,4,41,3,0,0,5.1,35.8
11,Carlos Hyde,CLE,RB,6,17,33,1.9,5,1,0,0,0,1,0,5.6,33.3
12,Javorius Allen,BAL,RB,7,11,12,1.1,3,4,4,28,1,0,0,4.6,32
13,Ezekiel Elliott,DAL,RB,7,14,39,2.8,3,7,4,13,0,1,0,3.9,27.2
14,Marshawn Lynch,OAK,RB,6,14,28,2,3,5,4,5,0,0,0,4.2,25.3
15,Ito Smith,ATL,RB,7,14,38,2.7,3,2,2,13,0,1,0,3.6,25.1
15,Tevin Coleman,ATL,RB,7,7,21,3,1,4,3,20,2,0,0,3.6,25.1
15,Nyheim Hines,IND,RB,7,6,16,2.7,1,4,3,25,2,0,0,3.6,25.1
18,Joe Mixon,CIN,RB,5,13,24,1.8,2,3,2,21,1,0,0,4.9,24.5
19,Tarik Cohen,CHI,RB,6,5,30,6,0,7,5,35,2,0,0,3.9,23.5
20,Jay Ajayi,PHI,RB,4,11,28,2.5,3,2,1,4,0,1,1,5.8,23.2
21,Adrian Peterson,WAS,RB,6,19,33,1.7,3,1,1,8,0,0,0,3.8,23.1
22,Sony Michel,NE,RB,6,21,49,2.3,3,0,0,0,0,0,0,3.8,22.9
23,Giovani Bernard,CIN,RB,4,6,20,3.3,3,1,1,14,0,0,0,5.6,22.4
24,Wendell Smallwood,PHI,RB,7,10,24,2.4,1,5,3,28,1,0,0,3.2,22.2
25,Mike Davis,SEA,RB,5,7,40,5.7,3,0,0,0,0,0,0,4.4,22
25,Matt Breida,SF,RB,7,12,44,3.7,1,3,3,26,1,0,0,3.1,22
27,Isaiah Crowell,NYJ,RB,7,14,36,2.6,3,0,0,0,0,0,0,3.1,21.6
28,Royce Freeman,DEN,RB,7,9,25,2.8,3,0,0,0,0,0,0,2.9,20.5
29,Corey Clement,PHI,RB,5,12,56,4.7,2,1,1,0,0,0,0,3.7,18.6
30,Jordan Howard,CHI,RB,6,13,32,2.5,2,3,2,5,0,1,1,2.8,16.7
31,Lamar Miller,HOU,RB,6,15,29,1.9,1,1,1,4,1,0,0,2.7,16.3
32,Austin Ekeler,LAC,RB,7,10,16,1.6,0,4,4,28,1,0,0,2.1,14.4
33,Marlon Mack,IND,RB,3,11,44,4,1,1,1,4,0,0,0,4.6,13.8
34,LeGarrette Blount,DET,RB,6,10,14,1.4,2,0,0,0,0,1,0,2.2,13.4
35,Mark Ingram,NO,RB,2,5,6,1.2,2,0,0,0,0,0,0,6.3,12.6
36,Christian McCaffrey,CAR,RB,6,8,16,2,0,4,3,24,1,1,1,2,12
37,Latavius Murray,MIN,RB,7,7,19,2.7,1,1,1,7,0,0,0,1.7,11.6
38,Chris Thompson,WAS,RB,4,3,1,0.3,0,4,3,24,1,0,0,2.9,11.5
39,Phillip Lindsay,DEN,RB,7,13,39,3,1,2,1,3,0,0,0,1.6,11.2
39,Kerryon Johnson,DET,RB,6,9,26,2.9,1,3,2,6,0,0,0,1.9,11.2
41,Zach Line,NO,FB,6,0,0,0,0,3,3,10,1,0,0,1.7,10
42,Frank Gore,MIA,RB,7,8,21,2.6,0,1,1,6,1,0,0,1.4,9.7
42,Chris Carson,SEA,RB,5,8,16,2,1,1,1,11,0,0,0,1.9,9.7
44,Derrick Henry,TEN,RB,7,13,27,2.1,1,1,1,-6,0,0,0,1.3,9.1
45,Dion Lewis,TEN,RB,7,9,17,1.9,1,1,1,2,0,0,0,1.3,8.9
46,Ronald Jones II,TB,RB,3,5,13,2.6,1,2,1,5,0,0,0,2.9,8.8
