Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Davante Adams,GB,WR,6,15,7,46.7,66,6,16,4.4,9.4,0,0,0,0,0,0,8.3,49.6
2,Michael Thomas,NO,WR,6,14,12,85.7,79,4,14,5.6,6.6,0,0,0,0,0,0,7.3,43.9
3,Alshon Jeffery,PHI,WR,4,9,6,66.7,56,4,16,6.2,9.3,0,0,0,0,0,0,8.9,35.6
4,Calvin Ridley,ATL,WR,7,5,5,100,56,4,18,11.2,11.2,0,0,0,0,0,0,4.9,34.6
5,Tyreek Hill,KC,WR,7,9,7,77.8,27,4,14,3,3.9,0,0,0,0,0,0,4.8,33.7
6,Chris Godwin,TB,WR,6,8,4,50,30,4,9,3.8,7.5,0,0,0,0,0,0,5.2,31
7,Tyler Boyd,CIN,WR,7,7,7,100,57,3,14,8.1,8.1,0,0,0,0,0,0,4.4,30.7
8,Juju Smith-Schuster,PIT,WR,6,16,9,56.2,66,2,18,4.1,7.3,0,0,0,0,0,0,4.9,29.6
9,T.Y. Hilton,IND,WR,5,8,4,50,14,4,5,1.8,3.5,0,0,0,0,0,0,5.9,29.4
10,Cooper Kupp,LAR,WR,6,11,7,63.6,42,3,19,3.8,6,2,1,0.5,0,0,0,4.9,29.3
11,DeAndre Hopkins,HOU,WR,7,12,6,50,49,3,13,4.1,8.2,0,0,0,0,0,0,4.1,28.9
12,Jordy Nelson,OAK,WR,6,5,4,80,35,3,19,7,8.8,0,0,0,0,0,0,4.6,27.5
13,AJ Green,CIN,WR,7,14,5,35.7,32,3,13,2.3,6.4,0,0,0,0,0,0,3.7,26.2
14,Adam Thielen,MIN,WR,7,11,7,63.6,49,2,15,4.5,7,0,0,0,0,0,0,3.4,23.9
15,Jarvis Landry,CLE,WR,7,13,5,38.5,39,2,16,3,7.8,0,0,0,0,0,0,3.3,22.9
16,Sterling Shepard,NYG,WR,7,12,6,50,24,2,7,2,4,0,0,0,0,1,0,3.2,22.4
17,Julian Edelman,NE,WR,3,7,5,71.4,52,2,17,7.4,10.4,0,0,0,0,0,0,7.4,22.2
18,Cole Beasley,DAL,WR,7,6,5,83.3,48,2,17,8,9.6,0,0,0,0,0,0,3.1,21.8
19,Brandin Cooks,LAR,WR,7,9,8,88.9,65,1,19,7.2,8.1,1,7,7,0,1,0,3,21.2
20,Demaryius Thomas,DEN,WR,7,6,6,100,27,2,11,4.5,4.5,0,0,0,0,0,0,3,20.7
21,Devin Funchess,CAR,WR,6,7,4,57.1,40,2,18,5.7,10,0,0,0,0,0,0,3.3,20
22,John Brown,BAL,WR,7,7,4,57.1,37,2,14,5.3,9.2,0,0,0,0,0,0,2.8,19.7
23,Terrelle Pryor,NYJ,WR,6,4,3,75,44,2,20,11,14.7,0,0,0,0,0,0,3.2,19.4
24,Phillip Dorsett,NE,WR,7,5,4,80,27,2,14,5.4,6.8,0,0,0,0,0,0,2.7,18.7
25,Mike Williams,LAC,WR,7,6,3,50,33,2,20,5.5,11,1,3,3,0,0,0,2.7,18.6
26,Torrey Smith,CAR,WR,6,3,3,100,14,2,8,4.7,4.7,0,0,0,0,0,0,3.1,18.4
27,Tyler Lockett,SEA,WR,6,4,3,75,29,2,19,7.2,9.7,0,0,0,0,0,0,3,17.9
28,Jaron Brown,SEA,WR,6,3,3,100,28,2,16,9.3,9.3,0,0,0,0,0,0,3,17.8
29,Allen Robinson,CHI,WR,6,8,3,37.5,27,2,14,3.4,9,0,0,0,0,0,0,3,17.7
30,Kenny Stills,MIA,WR,7,2,2,100,15,2,10,7.5,7.5,0,0,0,0,0,0,2.5,17.5
31,Will Fuller,HOU,WR,6,4,3,75,24,2,15,6,8,0,0,0,0,0,0,2.9,17.4
32,Aldrick Robinson,MIN,WR,5,3,2,66.7,33,2,17,11,16.5,0,0,0,0,0,0,3.5,17.3
33,Marvin Jones,DET,WR,6,9,3,33.3,21,2,8,2.3,7,0,0,0,0,0,0,2.8,17.1
34,Robert Woods,LAR,WR,7,5,3,60,14,2,6,2.8,4.7,1,6,6,0,0,0,2.4,17
35,Michael Crabtree,BAL,WR,7,6,3,50,17,2,12,2.8,5.7,0,0,0,0,0,0,2.4,16.7
35,Taylor Gabriel,CHI,WR,6,5,4,80,7,2,6,1.4,1.8,1,0,0,0,0,0,2.8,16.7
37,David Moore,SEA,WR,6,2,2,100,22,2,19,11,11,0,0,0,0,0,0,2.7,16.2
38,Chris Conley,KC,WR,7,3,2,66.7,19,2,15,6.3,9.5,0,0,0,0,0,0,2.3,15.9
39,Kenny Golladay,DET,WR,6,5,2,40,9,2,5,1.8,4.5,0,0,0,0,0,0,2.5,14.9
40,Kendrick Bourne,SF,WR,7,3,2,66.7,6,2,4,2,3,0,0,0,0,0,0,2.1,14.6
41,Mohamed Sanu,ATL,WR,7,3,3,100,30,1,15,10,10,0,0,0,0,0,0,2,14
42,Jamison Crowder,WAS,WR,4,4,4,100,38,1,13,9.5,9.5,0,0,0,0,0,0,3.4,13.8
43,Keenan Allen,LAC,WR,7,5,3,60,43,1,20,8.6,14.3,0,0,0,0,0,0,1.9,13.3
44,Corey Davis,TEN,WR,7,9,4,44.4,31,1,15,3.4,7.8,0,0,0,0,0,0,1.9,13.1
45,Stefon Diggs,MIN,WR,7,6,4,66.7,10,1,6,1.7,2.5,0,0,0,0,0,0,1.9,13
46,Chester Rogers,IND,WR,7,5,2,40,27,1,17,5.4,13.5,0,0,0,0,0,0,1.8,12.7
46,Sammy Watkins,KC,WR,7,8,3,37.5,38,1,16,4.8,12.7,1,-1,-1,0,0,0,1.8,12.7
48,Taywan Taylor,TEN,WR,7,4,3,75,31,1,18,7.8,10.3,0,0,0,0,0,0,1.7,12.1
49,Larry Fitzgerald,ARI,WR,7,5,3,60,22,1,16,4.4,7.3,0,0,0,0,0,0,1.6,11.2
50,Josh Gordon,NE,WR,5,4,2,50,30,1,17,7.5,15,0,0,0,0,0,0,2.2,11
51,John Ross,CIN,WR,5,4,3,75,20,1,9,5,6.7,1,-3,-3,0,0,0,2.1,10.7
52,Ryan Grant,IND,WR,6,3,3,100,16,1,8,5.3,5.3,0,0,0,0,0,0,1.8,10.6
52,Trent Taylor,SF,WR,6,4,3,75,16,1,10,4,5.3,0,0,0,0,0,0,1.8,10.6
54,Odell Beckham Jr,NYG,WR,7,12,3,25,15,1,16,1.2,5,1,-1,-1,0,0,0,1.5,10.4
54,Nelson Agholor,PHI,WR,7,6,4,66.7,2,1,3,0.3,0.5,1,2,2,0,1,0,1.5,10.4
56,Amari Cooper,OAK,WR,6,4,2,50,13,1,8,3.2,6.5,1,9,9,0,0,0,1.7,10.2
57,Ted Ginn,NO,WR,4,4,1,25,4,1,4,1,4,1,5,5,0,0,0,2.5,9.9
57,Bruce Ellington,HOU,WR,3,2,2,100,19,1,14,9.5,9.5,0,0,0,0,0,0,3.3,9.9
59,Willie Snead,BAL,WR,7,3,2,66.7,18,1,13,6,9,0,0,0,0,0,0,1.4,9.8
60,Tajae Sharpe,TEN,WR,7,5,2,40,17,1,11,3.4,8.5,0,0,0,0,0,0,1.4,9.7
61,Jarius Wright,CAR,WR,6,2,1,50,5,1,5,2.5,5,0,0,0,0,0,0,1.6,9.5
61,Marquez Valdes-Scantling,GB,WR,6,5,2,40,15,1,12,3,7.5,0,0,0,0,0,0,1.6,9.5
63,Mike Evans,TB,WR,6,4,2,50,13,1,9,3.2,6.5,0,0,0,0,0,0,1.6,9.3
64,Antonio Brown,PIT,WR,6,9,2,22.2,12,1,9,1.3,6,0,0,0,0,0,0,1.5,9.2
65,Demarcus Robinson,KC,WR,7,3,2,66.7,11,1,8,3.7,5.5,0,0,0,0,0,0,1.3,9.1
65,Keke Coutee,HOU,WR,4,3,3,100,1,1,1,0.3,0.3,0,0,0,0,0,0,2.3,9.1
67,Brandon Marshall,SEA,WR,6,3,1,33.3,20,1,20,6.7,20,0,0,0,0,0,0,1.5,9
67,Josh Bellamy,CHI,WR,6,1,1,100,20,1,20,20,20,0,0,0,0,0,0,1.5,9
67,Seth Roberts,OAK,WR,5,2,1,50,20,1,20,10,20,0,0,0,0,0,0,1.8,9
70,Rashard Higgins,CLE,WR,5,1,1,100,19,1,19,19,19,0,0,0,0,0,0,1.8,8.9
71,Jakeem Grant,MIA,WR,7,1,1,100,18,1,18,18,18,0,0,0,0,0,0,1.3,8.8
72,Zach Pascal,IND,WR,7,4,2,50,7,1,4,1.8,3.5,0,0,0,0,0,0,1.2,8.7
73,Zay Jones,BUF,WR,7,6,1,16.7,16,1,16,2.7,16,0,0,0,0,0,0,1.2,8.6
74,Laquon Treadwell,MIN,WR,7,2,1,50,14,1,14,7,14,0,0,0,0,0,0,1.2,8.4
74,James Washington,PIT,WR,6,2,1,50,14,1,14,7,14,0,0,0,0,0,0,1.4,8.4
76,Marquise Goodwin,SF,WR,5,2,1,50,11,1,11,5.5,11,0,0,0,0,0,0,1.6,8.1
76,Cameron Meredith,NO,WR,4,2,1,50,11,1,11,5.5,11,0,0,0,0,0,0,2,8.1
78,Anthony Miller,CHI,WR,5,4,1,25,10,1,10,2.5,10,0,0,0,0,0,0,1.6,8
79,Courtland Sutton,DEN,WR,7,4,1,25,8,1,8,2,8,0,0,0,0,0,0,1.1,7.8
80,Chris Hogan,NE,WR,7,2,1,50,7,1,7,3.5,7,0,0,0,0,0,0,1.1,7.7
81,DeSean Jackson,TB,WR,6,3,0,0,0,0,0,0,0,1,14,14,1,0,0,1.2,7.4
81,Curtis Samuel,CAR,WR,3,0,0,0,0,0,0,0,0,1,14,14,1,0,0,2.5,7.4
81,Cordarrelle Patterson,NE,WR,7,3,1,33.3,1,1,1,0.3,1,2,3,1.5,0,0,0,1.1,7.4
81,Donte Moncrief,JAX,WR,7,4,1,25,4,1,4,1,4,0,0,0,0,0,0,1.1,7.4
81,Tyrell Williams,LAC,WR,7,1,1,100,4,1,4,4,4,0,0,0,0,0,0,1.1,7.4
81,Emmanuel Sanders,DEN,WR,7,6,4,66.7,34,0,13,5.7,8.5,0,0,0,0,0,0,1.1,7.4
87,Tavon Austin,DAL,WR,6,1,1,100,3,1,3,3,3,0,0,0,0,0,0,1.2,7.3
87,Allen Hurns,DAL,WR,7,4,1,25,3,1,3,0.8,3,0,0,0,0,0,0,1,7.3
87,Kelvin Benjamin,BUF,WR,7,3,1,33.3,3,1,3,1,3,0,0,0,0,0,0,1,7.3
90,Paul Richardson,WAS,WR,5,1,1,100,2,1,2,2,2,0,0,0,0,0,0,1.4,7.2
91,De'Anthony Thomas,KC,WR,5,1,1,100,1,1,1,1,1,0,0,0,0,0,0,1.4,7.1
91,Ryan Switzer,PIT,WR,6,1,1,100,1,1,1,1,1,0,0,0,0,0,0,1.2,7.1
93,Keelan Cole,JAX,WR,7,6,3,50,23,0,9,3.8,7.7,0,0,0,0,0,0,0.8,5.3
94,Jermaine Kearse,NYJ,WR,6,3,2,66.7,16,0,9,5.3,8,0,0,0,0,0,0,0.6,3.6
95,Quincy Enunwa,NYJ,WR,6,7,2,28.6,11,0,8,1.6,5.5,0,0,0,0,0,0,0.5,3.1
96,Josh Reynolds,LAR,WR,7,1,1,100,19,0,19,19,19,0,0,0,0,0,0,0.4,2.9
97,Geronimo Allison,GB,WR,4,3,2,66.7,8,0,6,2.7,4,0,0,0,0,0,0,0.7,2.8
98,Antonio Callaway,CLE,WR,7,3,1,33.3,-6,0,0,-2,-6,0,0,0,0,0,0,0.3,2.4
