Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,8,GB,9,15,9800,29.98
2,Saquon Barkley,NYG,RB,8,WAS,7,7,8800,23.53
3,Kareem Hunt,KC,RB,8,DEN,18,25,7100,20.42
4,James Conner,PIT,RB,8,CLE,21,24,7500,18.87
5,Alvin Kamara,NO,RB,8,MIN,13,9,null,18.85
5,James White,NE,RB,8,BUF,10,22,null,18.85
7,Joe Mixon,CIN,RB,8,TB,32,21,7300,18.73
8,David Johnson,ARI,RB,8,SF,28,23,6700,17.85
9,Christian McCaffrey,CAR,RB,8,BAL,1,1,7000,17.71
10,Marlon Mack,IND,RB,8,OAK,27,26,5400,14.23
11,Adrian Peterson,WAS,RB,8,NYG,19,20,4900,13.62
12,Tarik Cohen,CHI,RB,8,NYJ,20,18,5800,13.61
13,Lamar Miller,HOU,RB,8,MIA,22,30,null,13.57
14,Phillip Lindsay,DEN,RB,8,KC,29,31,5200,13.52
15,TJ Yeldon,JAX,RB,8,PHI,11,2,null,12.73
16,Nick Chubb,CLE,RB,8,PIT,26,5,4700,12.6
17,Chris Carson,SEA,RB,8,DET,23,29,4300,12.33
18,Kerryon Johnson,DET,RB,8,SEA,4,14,5300,12.18
19,Mark Ingram,NO,RB,8,MIN,13,9,null,11.91
20,Alex Collins,BAL,RB,8,CAR,15,10,4600,11.83
21,Jordan Howard,CHI,RB,8,NYJ,20,18,4800,11.61
22,Chris Thompson,WAS,RB,8,NYG,19,20,5500,11.08
23,Kenyan Drake,MIA,RB,8,HOU,8,13,null,10.85
24,Dalvin Cook,MIN,RB,8,NO,25,3,null,10.73
25,LeSean McCoy,BUF,RB,8,NE,24,19,null,10.49
25,Jalen Richard,OAK,RB,8,IND,16,17,4200,10.49
27,Duke Johnson,CLE,RB,8,PIT,26,5,3900,10.39
28,Matt Breida,SF,RB,8,ARI,17,32,5000,10.13
29,Corey Clement,PHI,RB,8,JAX,3,12,null,9.89
30,Wendell Smallwood,PHI,RB,8,JAX,3,12,null,9.53
31,Carlos Hyde,JAX,RB,8,PHI,11,2,null,9.4
32,Javorius Allen,BAL,RB,8,CAR,15,10,4000,9.2
33,Doug Martin,OAK,RB,8,IND,16,17,4400,9.14
34,Isaiah Crowell,NYJ,RB,8,CHI,12,4,3700,8.76
35,Aaron Jones,GB,RB,8,LAR,6,8,4100,8.72
36,Nyheim Hines,IND,RB,8,OAK,27,26,3800,8.59
37,Frank Gore,MIA,RB,8,HOU,8,13,null,8.25
38,Bilal Powell,NYJ,RB,8,CHI,12,4,3800,7.62
39,Latavius Murray,MIN,RB,8,NO,25,3,null,7.6
40,Peyton Barber,TB,RB,8,CIN,30,28,3600,7.54
41,Chris Ivory,BUF,RB,8,NE,24,19,null,7.38
42,Royce Freeman,DEN,RB,8,KC,29,31,3800,6.8
43,Ty Montgomery,GB,RB,8,LAR,6,8,3600,6.51
44,Mike Davis,SEA,RB,8,DET,23,29,3600,6.23
45,Jamaal Williams,GB,RB,8,LAR,6,8,3600,6.17
46,Devontae Booker,DEN,RB,8,KC,29,31,3700,6.14
47,Theo Riddick,DET,RB,8,SEA,4,14,3800,6.1
48,Kenjon Barner,NE,RB,8,BUF,10,22,null,6.01
49,LeGarrette Blount,DET,RB,8,SEA,4,14,3500,5.73
50,Alfred Blue,HOU,RB,8,MIA,22,30,null,5.66
51,Ronald Jones II,TB,RB,8,CIN,30,28,3700,5.57
52,Raheem Mostert,SF,RB,8,ARI,17,32,3800,5.45
53,Giovani Bernard,CIN,RB,8,TB,32,21,4500,5.32
54,Sony Michel,NE,RB,8,BUF,10,22,null,5.13
55,Marcus Murphy,BUF,RB,8,NE,24,19,null,5.03
56,Kyle Juszczyk,SF,FB,8,ARI,17,32,3400,5.02
57,Alfred Morris,SF,RB,8,ARI,17,32,3500,4.98
58,Spencer Ware,KC,RB,8,DEN,18,25,4000,4.49
59,Wayne Gallman,NYG,RB,8,WAS,7,7,3500,3.99
60,Rashaad Penny,SEA,RB,8,DET,23,29,3900,3.73
61,Deandre Washington,OAK,RB,8,IND,16,17,3400,3.71
62,D'Onta Foreman,HOU,RB,8,MIA,22,30,null,3.66
63,Elijah McGuire,NYJ,RB,8,CHI,12,4,3000,3.5
64,Chase Edmonds,ARI,RB,8,SF,28,23,4200,3.41
65,Malcolm Brown,LAR,RB,8,GB,9,15,4200,3.32
66,Gus Edwards,BAL,RB,8,CAR,15,10,3000,3.07
67,Mark Walton,CIN,RB,8,TB,32,21,3500,2.9
68,CJ Anderson,CAR,RB,8,BAL,1,1,3300,2.76
69,Jordan Wilkins,IND,RB,8,OAK,27,26,3400,2.75
69,Kapri Bibbs,WAS,RB,8,NYG,19,20,3600,2.75
71,Josh Adams,PHI,RB,8,JAX,3,12,null,2.6
72,Trenton Cannon,NYJ,RB,8,CHI,12,4,3400,2.55
73,Darren Sproles,PHI,RB,8,JAX,3,12,null,2.41
74,Stevan Ridley,PIT,RB,8,CLE,21,24,4000,2.2
75,Jacquizz Rodgers,TB,RB,8,CIN,30,28,3000,1.91
76,Anthony Sherman,KC,FB,8,DEN,18,25,3000,1.75
77,Robert Turbin,IND,RB,8,OAK,27,26,3200,1.72
78,Tyler Ervin,HOU,RB,8,MIA,22,30,null,1.68
79,De'Lance Turner,BAL,RB,8,CAR,15,10,null,1.43
80,Ameer Abdullah,DET,RB,8,SEA,4,14,3000,1.34
81,Mike Boone,MIN,RB,8,NO,25,3,null,1.13
82,James Develin,NE,RB,8,BUF,10,22,null,0.97
83,CJ Ham,MIN,RB,8,NO,25,3,null,0.93
84,Roosevelt Nix,PIT,RB,8,CLE,21,24,3000,0.86
85,David Williams,JAX,RB,8,PHI,11,2,null,0.81
86,Roc Thomas,MIN,RB,8,NO,25,3,null,0.79
87,Kalen Ballage,MIA,RB,8,HOU,8,13,null,0.7
88,Jaylen Samuels,PIT,FB,8,CLE,21,24,3000,0.65
89,Samaje Perine,WAS,RB,8,NYG,19,20,3000,0.62
90,JD McKissic,SEA,RB,8,DET,23,29,3000,0.6
91,Benjamin Cunningham,CHI,RB,8,NYJ,20,18,3200,0.57
91,Damien Williams,KC,RB,8,DEN,18,25,3000,0.57
93,Brandon Bolden,MIA,RB,8,HOU,8,13,null,0.54
93,Dontrell Hilliard,CLE,RB,8,PIT,26,5,3000,0.54
95,Andy Janovich,DEN,FB,8,KC,29,31,3000,0.49
95,Taiwan Jones,BUF,RB,8,NE,24,19,null,0.49
97,Keith Smith,OAK,FB,8,IND,16,17,3000,0.45
