Team,Home,PointSpread,OverUnder
HOU,TRUE,-7.5,44
PHI,FALSE,-3,42
KC,TRUE,-10,53.5
BAL,FALSE,-2,44
CHI,TRUE,-7.5,44.5
CIN,TRUE,-4,54.5
DET,TRUE,-3,49.5
WAS,FALSE,-1,43
PIT,TRUE,-8,51
IND,FALSE,-3,50
ARI,TRUE,-1,43
LAR,TRUE,-9.5,56.5
NO,FALSE,-1,51.5
NE,FALSE,-13.5,44
MIA,FALSE,7.5,44
JAX,TRUE,3,42
DEN,FALSE,10,53.5
CAR,TRUE,2,44
NYJ,FALSE,7.5,44.5
TB,FALSE,4,54.5
SEA,FALSE,3,49.5
NYG,TRUE,1,43
CLE,FALSE,8,51
OAK,TRUE,3,50
SF,FALSE,1,43
GB,FALSE,9.5,56.5
MIN,TRUE,1,51.5
BUF,FALSE,13.5,44
