Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,CompletionsGame,AttemptsGame,PassingCompletionPercentage,YardsGame,PassingYardsPerAttempt,PassingTouchdownsGame,InterceptionsGame,PassingRating,RushingAttemptsGame,RushingYardsGame,RushingYardsPerAttempt,RushingTouchdownsGame,PointsGame,RZCompletionsGame,RZAttemptsGame,RZPassingCompletionPercentage,RZYardsGame,RZPassingYardsPerAttempt,RZPassingTouchdownsGame,RZInterceptionsGame,RZPassingRating,RZRushingAttemptsGame,RZRushingYardsGame,RZRushingYardsPerAttempt,RZRushingTouchdownsGame,RZPointsGame,Projections
Patrick Mahomes,7000,16.44,TRUE,-10,53.5,31.75,KC,1,23.28571429,35.85714286,64.9,317.5714286,8.9,3.142857143,0.714285714,114.02,4,17.14285714,4.3,0.285714286,30.6,4.285714286,7.142857143,60,32.85714286,4.6,2.285714286,0.142857143,102.5,1.142857143,4,3.5,0.285714286,12.4,30.12438422
Jameis Winston,6000,25.89,FALSE,4,54.5,25.25,TB,31,26,37.66666667,69,301.6666667,8,1.666666667,2,85.6,5.333333333,30.33333333,5.7,0.333333333,23.4,2.666666667,4,66.7,28,7,1.666666667,0.333333333,91.67,1,6,6,0.333333333,10.1,29.24166563
Cam Newton,5800,14.6,TRUE,2,44,21,CAR,12,22.83333333,34.83333333,65.6,237.8333333,6.8,1.833333333,0.666666667,94.73,8.666666667,42.83333333,4.9,0.5,24.6,2.333333333,3.5,66.7,16.5,4.7,1.166666667,0,116.87,1.333333333,3.333333333,2.5,0.5,9.3,29.18272201
Mitch Trubisky,6100,20.3,TRUE,-7.5,44.5,26,CHI,7,23.16666667,35.16666667,65.9,265.6666667,7.6,2.166666667,1,97.15,5.166666667,40.83333333,7.9,0.333333333,25.5,3.5,6,58.3,23.66666667,3.9,1.833333333,0.166666667,95.14,0.333333333,1.666666667,5,0.333333333,10.3,28.85670869
Andy Dalton,6200,30.07,TRUE,-4,54.5,29.25,CIN,14,23.42857143,36.85714286,63.6,260.2857143,7.1,2.142857143,1.142857143,90.94,1.142857143,4.428571429,3.9,0,19.1,3.285714286,5.428571429,60.5,25,4.6,1.571428571,0.142857143,100.33,0.142857143,0.285714286,2,0,7.2,26.28212487
Ryan Fitzpatrick,4400,25.89,FALSE,4,54.5,25.25,TB,21,21.75,32.25,67.4,339,10.5,2.75,1.25,114.36,4.5,15.5,3.4,0.25,28.6,2,5.25,38.1,11.75,2.2,1.25,0.25,66.07,1,3,3,0.25,7,25.94882995
Andrew Luck,6300,20.32,FALSE,-3,50,26.5,IND,3,29,44.42857143,65.3,278.2857143,6.3,2.857142857,1.142857143,93.29,2,9.285714286,4.6,0,24.2,4.571428571,7.428571429,61.5,33,4.4,2.428571429,0.142857143,103.45,0.285714286,1,3.5,0,11.3,24.06530848
Tyrod Taylor,4500,26.36,FALSE,8,51,21.5,CLE,35,13.66666667,28,48.8,154,5.5,0.666666667,0.666666667,63.69,5.333333333,41.66666667,7.8,0.333333333,14.3,0.333333333,0.666666667,50,5.666666667,8.5,0.333333333,0,118.75,0.333333333,6.666666667,20,0.333333333,4.2,23.59236236
Jared Goff,6000,18.23,TRUE,-9.5,56.5,33,LAR,6,21.71428571,31.14285714,69.7,304.2857143,9.8,2,0.714285714,112.75,2.857142857,7.857142857,2.8,0,22.2,4.285714286,6.714285714,63.8,31.14285714,4.6,1.428571429,0.285714286,96.45,0.428571429,0.857142857,2,0,7,22.78760543
Baker Mayfield,5700,26.36,FALSE,8,51,21.5,CLE,27,21.6,37.4,57.8,258.2,6.9,1.2,1,78.53,2.8,16.4,5.9,0,16.8,2.2,4.8,45.8,15.8,3.3,1,0,93.58,0.6,1,1.7,0,5.5,21.55546624
Aaron Rodgers,6400,17.13,FALSE,9.5,56.5,23.5,GB,13,26,42.33333333,61.4,332.8333333,7.9,2,0.166666667,100.13,2.833333333,18.5,6.5,0,23.8,2.666666667,6,44.4,19.83333333,3.3,1.5,0,92.48,0.666666667,4,6,0,7.5,20.42029785
Alex Smith,5000,19.38,FALSE,-1,43,22,WAS,26,20.66666667,32.66666667,63.3,230.5,7.1,1.166666667,0.333333333,91.86,5.166666667,14,2.7,0.166666667,15.8,1.833333333,3.166666667,57.9,13,4.1,0.666666667,0,107.02,1,2.5,2.5,0.166666667,4.4,20.03920328
Russell Wilson,5900,18.3,FALSE,3,49.5,23.25,SEA,23,17.66666667,27.5,64.2,218,7.9,2.166666667,0.666666667,104.81,2.833333333,10.33333333,3.6,0,17.6,2.166666667,3.166666667,68.4,22.5,7.1,1.5,0.166666667,106.36,0.166666667,0,0,0,6.7,19.62420932
Ben Roethlisberger,6100,18.67,TRUE,-8,51,29.5,PIT,10,28.33333333,43.5,65.1,338.8333333,7.8,2,1,94.56,2.166666667,6.333333333,2.9,0.166666667,25,2.833333333,5.833333333,48.6,18,3.1,0.833333333,0.333333333,71.19,0.333333333,1.833333333,5.5,0.166666667,5.9,18.6885934
Joe Flacco,5300,20.87,FALSE,-2,44,23,BAL,16,26.71428571,43.28571429,61.7,295.2857143,6.8,1.571428571,0.571428571,88.54,2.428571429,4.428571429,1.8,0,18.7,3.142857143,5.285714286,59.5,20.14285714,3.8,1.285714286,0.142857143,95.83,0.428571429,0,0,0,5.8,18.34428349
Jimmy Garoppolo,4000,16.52,FALSE,1,43,21,SF,34,17.66666667,29.66666667,59.6,239.3333333,8.1,1.666666667,1,90,2.666666667,11,4.1,0,17,3,5.333333333,56.2,25.33333333,4.8,1,0,108.33,1.666666667,6.666666667,4,0,6.3,17.76244682
Matthew Stafford,5600,15.17,TRUE,-3,49.5,26.25,DET,19,24,35.5,67.6,267,7.5,2,0.833333333,98.76,1.666666667,6.166666667,3.7,0,19.3,2.833333333,5.166666667,54.8,15,2.9,1.166666667,0,99.87,0.166666667,0.333333333,2,0,5.3,17.18755249
Sam Darnold,4500,20.17,FALSE,7.5,44.5,18.5,NYJ,24,17.71428571,31.57142857,56.1,221.7142857,7,1.428571429,1.428571429,74.33,3.571428571,5.571428571,1.6,0.142857143,14.9,1.857142857,3.285714286,56.5,17.57142857,5.3,0.571428571,0.142857143,92.93,1,-0.285714286,-0.3,0.142857143,3.7,16.97543446
Eli Manning,4900,20.55,TRUE,1,43,21,NYG,18,26.42857143,38.28571429,69,294.4285714,7.7,1,0.571428571,94.14,1.571428571,2.714285714,1.7,0,16.6,2.571428571,6.142857143,41.9,17,2.8,0.857142857,0,89.05,0.714285714,1.428571429,2,0,4.8,16.96041821
Derek Carr,5200,19.06,TRUE,3,50,23.5,OAK,25,27.83333333,38.83333333,71.7,297.1666667,7.7,1.166666667,1.333333333,89.4,1.833333333,6,3.3,0,17.3,4.166666667,6.166666667,67.6,25,4.1,1.166666667,0.333333333,92.34,0.166666667,1,6,0,5.8,16.79590044
Jeff Driskel,4400,30.07,TRUE,-4,54.5,29.25,CIN,45,4,4,100,39,9.8,0,0,107.29,1,5,5,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.47874646
Case Keenum,5100,24.49,FALSE,10,53.5,21.75,DEN,20,23,36.28571429,63.4,264,7.3,1.142857143,1.285714286,80.95,1.142857143,3.714285714,3.2,0.142857143,16.4,2.142857143,4.571428571,46.9,12.85714286,2.8,0.428571429,0.428571429,45.83,0.142857143,0.142857143,1,0.142857143,2.7,14.89786963
CJ Beathard,4900,16.52,FALSE,1,43,21,SF,29,17.6,28.2,62.4,212.4,7.5,1.4,1.4,81.34,2.8,12,4.3,0.2,15.1,1.8,3.4,52.9,10.4,3.1,0.8,0.2,74.02,0.4,1,2.5,0.2,4.7,14.57073791
Lamar Jackson,4400,20.87,FALSE,-2,44,23,BAL,40,0.285714286,0.857142857,33.3,4.142857143,4.8,0,0,50,2.857142857,14.71428571,5.2,0.142857143,2.5,0.142857143,0.285714286,50,0.714285714,2.5,0,0,56.25,1,4.857142857,4.9,0.142857143,1.4,13.7587714
Josh Rosen,4800,22.64,TRUE,-1,43,22,ARI,36,14.2,25.8,55,164,6.4,0.6,1,66.04,1.4,7.2,5.1,0,8.3,0.8,2.2,36.4,6.8,3.1,0.2,0,75.57,0,0,0,0,1.1,13.63824324
Sam Bradford,4600,22.64,TRUE,-1,43,22,ARI,38,16.66666667,26.66666667,62.5,133.3333333,5,0.666666667,1.333333333,62.5,0.666666667,2.333333333,3.5,0,6.2,1,2,50,2,1,0,0,56.25,0.333333333,2.666666667,8,0,0.3,10.75304324
Sean Mannion,4400,18.23,TRUE,-9.5,56.5,33,LAR,48,0,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53593266
Chad Kelly,4500,24.49,FALSE,10,53.5,21.75,DEN,52,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.18906809
