Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections
Todd Gurley,9800,21.97,TRUE,-9.5,56.5,33,LAR,1,20.57142857,98,4.8,1.571428571,5,3.571428571,38.57142857,0.428571429,30.9,6.142857143,17.71428571,2.9,1.571428571,1.857142857,1,9.285714286,0.428571429,16.3,26.40644963
Kareem Hunt,7100,29.24,TRUE,-10,53.5,31.75,KC,5,16.85714286,77.42857143,4.6,0.714285714,3,2.142857143,32.28571429,0.571428571,21.7,2.571428571,6.571428571,2.6,0.714285714,1,0.571428571,4.857142857,0.428571429,8.6,25.39028921
Tarik Cohen,5800,24.5,TRUE,-7.5,44.5,26,CHI,12,6.333333333,30.66666667,4.8,0.166666667,6.333333333,4.833333333,54.66666667,0.333333333,16.7,0.833333333,5,6,0,1.166666667,0.833333333,5.833333333,0.333333333,3.9,22.75256374
Marlon Mack,5400,28.27,FALSE,-3,50,26.5,IND,44,13.66666667,83,6.1,0.333333333,2.333333333,1.333333333,13,0.333333333,16.6,3.666666667,14.66666667,4,0.333333333,0.333333333,0.333333333,1.333333333,0,4.6,21.84242475
Matt Breida,5000,35.37,FALSE,1,43,21,SF,19,9.714285714,63.57142857,6.5,0.285714286,1.857142857,1.571428571,12.85714286,0.142857143,12.1,1.714285714,6.285714286,3.7,0.142857143,0.428571429,0.428571429,3.714285714,0.142857143,3.1,19.22998068
Joe Mixon,7300,28.58,TRUE,-4,54.5,29.25,CIN,21,16.8,77.2,4.6,0.4,4.8,3.2,20,0.2,16.5,2.6,4.8,1.8,0.4,0.6,0.4,4.2,0.2,4.9,19.17131627
Saquon Barkley,8800,19.95,TRUE,1,43,21,NYG,2,14,68.71428571,4.9,0.714285714,8.714285714,7,60.57142857,0.285714286,27.1,2.142857143,4.142857143,1.9,0.428571429,1,0.714285714,5,0.142857143,5.3,18.20674167
Nyheim Hines,3800,28.27,FALSE,-3,50,26.5,IND,20,5.857142857,22.85714286,3.9,0.142857143,5.714285714,4.571428571,25.71428571,0.285714286,12,0.857142857,2.285714286,2.7,0.142857143,0.571428571,0.428571429,3.571428571,0.285714286,3.6,18.00109639
James Conner,7500,28.66,TRUE,-8,51,29.5,PIT,6,17.16666667,75.5,4.4,1.166666667,5.833333333,4.333333333,42.83333333,0,25.2,2.666666667,5.666666667,2.1,0.833333333,0.5,0.333333333,1.333333333,0,6.7,16.99129889
Chris Thompson,5500,25.43,FALSE,-1,43,22,WAS,31,5.75,25,4.3,0,7.75,6.5,50,0.25,15.5,0.75,0.25,0.3,0,1,0.75,6,0.25,2.9,16.92963715
Phillip Lindsay,5200,33.57,FALSE,10,53.5,21.75,DEN,14,10.71428571,62.28571429,5.8,0.285714286,2.857142857,2.142857143,17,0.142857143,13.1,1.857142857,5.571428571,3,0.142857143,0.285714286,0.142857143,0.428571429,0,1.6,16.33052626
Christian McCaffrey,7000,14.57,TRUE,2,44,21,CAR,10,13,63,4.8,0,7.666666667,6.666666667,48.16666667,0.166666667,19.6,1.333333333,2.666666667,2,0,0.666666667,0.5,4,0.166666667,2,15.18593788
Kerryon Johnson,5300,22.97,TRUE,-3,49.5,26.25,DET,24,11.5,74,6.4,0.166666667,3,2.5,14.83333333,0,13.4,1.5,4.333333333,2.9,0.166666667,0.5,0.333333333,1,0,1.9,14.33036322
Chris Carson,4300,31.28,FALSE,3,49.5,23.25,SEA,37,15.6,70.4,4.5,0.2,1.8,1.2,12.2,0,11.7,1.6,3.2,2,0.2,0.2,0.2,2.2,0,1.9,14.22864054
Peyton Barber,3600,31.57,FALSE,4,54.5,25.25,TB,54,12.33333333,43.33333333,3.5,0,2,1,6.166666667,0.166666667,7,1.666666667,0.833333333,0.5,0,0.5,0.166666667,0.833333333,0.166666667,1.3,14.12127639
