Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Marvin Jones,DET,WR,8,SEA,10,7,70,117,2,39,11.7,16.7,0,0,0,0,0,0,33.7,33.7
1,Sammy Watkins,KC,WR,8,DEN,9,8,88.9,107,2,24,11.9,13.4,0,0,0,0,0,0,33.7,33.7
3,Mike Evans,TB,WR,8,CIN,13,6,46.2,179,1,72,13.8,29.8,0,0,0,0,0,0,32.9,32.9
4,Tyler Boyd,CIN,WR,8,TB,10,9,90,138,1,28,13.8,15.3,1,-2,-2,0,0,0,31.6,31.6
5,Stefon Diggs,MIN,WR,8,NO,11,10,90.9,119,1,31,10.8,11.9,0,0,0,0,0,0,30.9,30.9
6,Larry Fitzgerald,ARI,WR,8,SF,12,8,66.7,102,1,37,8.5,12.8,0,0,0,0,0,0,29.2,29.2
7,Adam Thielen,MIN,WR,8,NO,7,7,100,103,1,28,14.7,14.7,1,15,15,0,1,1,26.8,26.8
8,Will Fuller,HOU,WR,8,MIA,6,5,83.3,124,1,73,20.7,24.8,0,0,0,0,0,0,26.4,26.4
9,DeAndre Hopkins,HOU,WR,8,MIA,7,6,85.7,82,2,49,11.7,13.7,0,0,0,0,0,0,26.2,26.2
10,Antonio Brown,PIT,WR,8,CLE,8,6,75,74,2,43,9.2,12.3,0,0,0,0,0,0,25.4,25.4
11,Odell Beckham Jr,NYG,WR,8,WAS,11,8,72.7,136,0,44,12.4,17,0,0,0,0,0,0,24.6,24.6
12,Julian Edelman,NE,WR,8,BUF,10,9,90,104,0,26,10.4,11.6,2,13,6.5,0,0,0,23.7,23.7
13,Devante Parker,MIA,WR,8,HOU,9,6,66.7,134,0,46,14.9,22.3,0,0,0,0,0,0,22.4,22.4
14,Davante Adams,GB,WR,8,LAR,7,5,71.4,133,0,48,19,26.6,0,0,0,0,0,0,21.3,21.3
15,David Moore,SEA,WR,8,DET,4,4,100,97,1,45,24.2,24.2,0,0,0,0,0,0,19.7,19.7
16,Josh Reynolds,LAR,WR,8,GB,5,3,60,42,2,22,8.4,14,1,-2,-2,0,0,0,19,19
17,AJ Green,CIN,WR,8,TB,7,5,71.4,76,1,23,10.9,15.2,0,0,0,0,0,0,18.6,18.6
18,D.J. Moore,CAR,WR,8,BAL,6,5,83.3,90,0,33,15,18,2,39,19.5,0,0,0,17.9,17.9
19,DeSean Jackson,TB,WR,8,CIN,8,3,37.5,68,1,60,8.5,22.7,1,4,4,0,0,0,16.2,16.2
20,Antonio Callaway,CLE,WR,8,PIT,6,5,83.3,36,1,13,6,7.2,0,0,0,0,0,0,14.6,14.6
20,Adam Humphries,TB,WR,8,CIN,10,7,70,76,0,17,7.6,10.9,0,0,0,0,0,0,14.6,14.6
22,Danny Amendola,MIA,WR,8,HOU,6,5,83.3,43,0,13,7.2,8.6,0,0,0,0,0,0,14.4,14.42
23,Kendrick Bourne,SF,WR,8,ARI,10,7,70,71,0,19,7.1,10.1,0,0,0,0,0,0,14.1,14.1
24,Anthony Miller,CHI,WR,8,NYJ,7,3,42.9,37,1,23,5.3,12.3,1,7,7,0,0,0,13.4,13.4
25,Jordan Matthews,PHI,WR,8,JAX,5,4,80,93,0,36,18.6,23.2,0,0,0,0,0,0,13.3,13.3
26,Christian Kirk,ARI,WR,8,SF,7,3,42.9,42,1,19,6,14,0,0,0,0,0,0,13.2,13.2
27,Michael Thomas,NO,WR,8,MIN,6,5,83.3,81,0,44,13.5,16.2,0,0,0,0,0,0,13.1,13.1
28,Brandon LaFell,OAK,WR,8,IND,4,3,75,39,1,18,9.8,13,0,0,0,0,0,0,12.9,12.9
29,Tyler Lockett,SEA,WR,8,DET,2,2,100,34,1,24,17,17,2,13,6.5,0,0,0,12.7,12.7
30,Marquise Goodwin,SF,WR,8,ARI,4,1,25,55,1,55,13.8,55,0,0,0,0,0,0,12.5,12.5
30,Marquez Valdes-Scantling,GB,WR,8,LAR,5,2,40,45,1,40,9,22.5,0,0,0,0,0,0,12.5,12.5
32,Golden Tate,DET,WR,8,SEA,12,7,58.3,50,0,12,4.2,7.1,1,3,3,0,0,0,12.3,12.3
33,Seth Roberts,OAK,WR,8,IND,4,2,50,42,1,31,10.5,21,0,0,0,0,0,0,12.2,12.2
34,Dede Westbrook,JAX,WR,8,PHI,6,2,33.3,31,1,20,5.2,15.5,1,9,9,0,0,0,12,12
34,Robert Woods,LAR,WR,8,GB,7,5,71.4,70,0,19,10,14,0,0,0,0,0,0,12,12
36,Jarvis Landry,CLE,WR,8,PIT,12,8,66.7,39,0,21,3.2,4.9,0,0,0,0,0,0,11.9,11.9
37,Zay Jones,BUF,WR,8,NE,8,6,75,55,0,14,6.9,9.2,0,0,0,0,0,0,11.5,11.5
38,Brandin Cooks,LAR,WR,8,GB,8,3,37.5,74,0,32,9.2,24.7,2,9,4.5,0,0,0,11.3,11.3
39,Dontrelle Inman,IND,WR,8,OAK,7,6,85.7,52,0,16,7.4,8.7,0,0,0,0,0,0,11.2,11.2
40,Courtland Sutton,DEN,WR,8,KC,4,3,75,78,0,42,19.5,26,0,0,0,0,0,0,10.8,10.8
41,Tim Patrick,DEN,WR,8,KC,1,1,100,24,1,24,24,24,1,13,13,0,0,0,10.7,10.7
42,Willie Snead,BAL,WR,8,CAR,11,5,45.5,54,0,19,4.9,10.8,0,0,0,0,0,0,10.4,10.4
43,Deontay Burnett,NYJ,WR,8,CHI,4,4,100,61,0,29,15.2,15.2,0,0,0,0,0,0,10.1,10.1
44,Tyreek Hill,KC,WR,8,DEN,4,3,75,70,0,40,17.5,23.3,0,0,0,0,0,0,10,10
45,Josh Doctson,WAS,WR,8,NYG,5,5,100,49,0,15,9.8,9.8,0,0,0,0,0,0,9.9,9.9
46,Donte Moncrief,JAX,WR,8,PHI,7,4,57.1,54,0,24,7.7,13.5,0,0,0,0,0,0,9.4,9.4
47,Nelson Agholor,PHI,WR,8,JAX,6,3,50,49,0,39,8.2,16.3,1,14,14,0,0,0,9.3,9.3
48,Taylor Gabriel,CHI,WR,8,NYJ,6,4,66.7,52,0,18,8.7,13,0,0,0,0,0,0,9.2,9.2
49,Emmanuel Sanders,DEN,WR,8,KC,4,4,100,57,0,49,14.2,14.2,1,-6,-6,0,1,0,9.1,9.1
50,Bennie Fowler,NYG,WR,8,WAS,7,4,57.1,48,0,21,6.9,12,0,0,0,0,0,0,8.8,8.8
51,Josh Gordon,NE,WR,8,BUF,6,4,66.7,42,0,18,7,10.5,0,0,0,0,0,0,8.2,8.2
52,D.J. Chark,JAX,WR,8,PHI,5,4,80,41,0,19,8.2,10.2,0,0,0,0,0,0,8.1,8.1
53,Randall Cobb,GB,WR,8,LAR,5,4,80,40,0,18,8,10,0,0,0,0,0,0,8,8
54,Josh Bellamy,CHI,WR,8,NYJ,5,4,80,37,0,13,7.4,9.2,0,0,0,0,0,0,7.7,7.7
55,Jakeem Grant,MIA,WR,8,HOU,8,4,50,36,0,16,4.5,9,0,0,0,0,0,0,7.6,7.6
56,Alshon Jeffery,PHI,WR,8,JAX,5,4,80,35,0,13,7,8.8,0,0,0,0,0,0,7.5,7.5
57,Sterling Shepard,NYG,WR,8,WAS,8,4,50,34,0,14,4.2,8.5,0,0,0,0,0,0,7.4,7.4
58,Juju Smith-Schuster,PIT,WR,8,CLE,6,4,66.7,33,0,19,5.5,8.2,0,0,0,0,0,0,7.3,7.3
