Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,8,169,800,4.7,11,42,31,351,4,1,1,31.6,253.1
2,Saquon Barkley,NYG,RB,8,111,519,4.7,5,71,58,497,2,0,0,26.2,209.6
3,Alvin Kamara,NO,RB,7,92,408,4.4,7,61,47,393,2,0,0,27.7,194.1
4,James Conner,PIT,RB,7,127,599,4.7,9,41,31,323,0,3,1,27.5,192.2
5,Melvin Gordon,LAC,RB,6,91,466,5.1,6,42,30,279,3,1,0,28.6,171.5
6,Kareem Hunt,KC,RB,8,134,592,4.4,5,27,20,262,5,0,0,21.4,171.4
7,James White,NE,RB,8,48,204,4.2,2,74,55,459,6,0,0,21.2,169.3
8,Christian McCaffrey,CAR,RB,7,92,423,4.6,1,52,44,300,2,1,1,19.9,139.3
9,Ezekiel Elliott,DAL,RB,7,132,619,4.7,3,36,25,175,1,2,1,19.5,136.4
10,TJ Yeldon,JAX,RB,8,81,334,4.1,1,53,37,346,4,1,1,16.8,134
11,Tarik Cohen,CHI,RB,7,43,224,5.2,1,41,30,398,3,2,1,16.9,118.2
12,David Johnson,ARI,RB,8,122,394,3.2,5,34,24,207,1,2,2,14.8,118.1
13,Adrian Peterson,WAS,RB,7,127,587,4.6,4,13,9,151,1,2,2,16.7,116.8
14,Joe Mixon,CIN,RB,6,105,509,4.8,4,28,19,115,1,0,0,19.1,114.4
15,Phillip Lindsay,DEN,RB,8,93,531,5.7,3,23,18,136,1,0,0,14,111.7
16,Kenyan Drake,MIA,RB,8,70,340,4.9,3,41,27,197,2,1,1,13.7,109.7
17,Isaiah Crowell,NYJ,RB,8,94,484,5.1,5,14,10,82,0,0,0,12.8,102.6
18,Latavius Murray,MIN,RB,8,82,386,4.7,4,21,17,116,0,0,0,12,96.2
19,Kerryon Johnson,DET,RB,7,77,466,6.1,1,26,21,158,0,0,0,13.6,95.4
20,Nyheim Hines,IND,RB,8,52,238,4.6,1,42,34,187,2,0,0,11.8,94.5
21,Alex Collins,BAL,RB,8,98,358,3.7,5,20,14,101,1,3,3,11.6,92.9
22,Lamar Miller,HOU,RB,7,113,504,4.5,2,18,11,78,1,1,1,13.2,92.2
23,Austin Ekeler,LAC,RB,7,53,305,5.8,0,24,19,233,3,1,1,12.8,89.8
24,Matt Breida,SF,RB,8,84,487,5.8,2,13,11,90,1,1,1,11.1,88.7
25,Javorius Allen,BAL,RB,8,38,100,2.6,3,38,30,188,2,1,1,11,87.8
26,Tevin Coleman,ATL,RB,7,82,310,3.8,2,18,15,137,2,1,0,12.4,86.7
27,Marshawn Lynch,OAK,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.7,82
28,Marlon Mack,IND,RB,4,66,381,5.8,3,11,6,56,1,0,0,20.4,81.7
28,Chris Carson,SEA,RB,6,103,457,4.4,2,11,8,80,0,1,1,13.6,81.7
30,Dion Lewis,TEN,RB,7,73,277,3.8,1,33,29,199,0,1,1,11.7,81.6
31,Sony Michel,NE,RB,6,95,422,4.4,4,8,4,31,0,1,1,13,78.3
32,Carlos Hyde,JAX,RB,7,120,393,3.3,5,12,6,29,0,1,0,11.2,78.2
33,Jordan Howard,CHI,RB,7,112,392,3.5,3,15,11,87,0,1,1,10.8,75.9
