Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Adam Thielen,MIN,WR,8,98,74,75.5,925,6,68,9.4,12.5,1,15,15,0,1,1,28.4,227
2,DeAndre Hopkins,HOU,WR,8,78,53,67.9,789,6,49,10.1,14.9,1,-7,-7,0,1,1,21.9,175.2
3,Tyreek Hill,KC,WR,8,65,44,67.7,705,7,75,10.8,16,10,45,4.5,0,0,0,21.6,173
4,Odell Beckham Jr,NYG,WR,8,91,61,67,785,2,51,8.6,12.9,4,8,2,0,2,1,21.6,172.58
5,Davante Adams,GB,WR,7,78,52,66.7,690,6,51,8.8,13.3,0,0,0,0,0,0,23.7,166
6,Emmanuel Sanders,DEN,WR,8,65,50,76.9,660,3,64,10.2,13.2,3,47,15.7,1,1,0,19.9,158.82
7,Mike Evans,TB,WR,7,68,46,67.6,770,4,72,11.3,16.7,0,0,0,0,2,1,22.6,158
8,Stefon Diggs,MIN,WR,8,86,58,67.4,587,4,75,6.8,10.1,7,36,5.1,0,0,0,19.4,155.3
9,Antonio Brown,PIT,WR,7,80,46,57.5,552,8,48,6.9,12,0,0,0,0,0,0,22.2,155.2
10,AJ Green,CIN,WR,8,76,45,59.2,687,6,38,9,15.3,0,0,0,0,2,1,19.3,154.7
11,Michael Thomas,NO,WR,7,64,58,90.6,669,4,44,10.5,11.5,0,0,0,0,2,2,21.8,152.9
12,Tyler Boyd,CIN,WR,8,66,49,74.2,620,5,49,9.4,12.7,2,3,1.5,0,0,0,18.8,150.3
13,Robert Woods,LAR,WR,8,65,46,70.8,672,3,36,10.3,14.6,8,90,11.2,0,0,0,18.6,149.2
14,Julio Jones,ATL,WR,7,81,53,65.4,812,0,58,10,15.3,1,11,11,0,1,1,20.9,146.3
15,Juju Smith-Schuster,PIT,WR,7,69,46,66.7,594,2,67,8.6,12.9,0,0,0,0,0,0,18.8,131.4
16,DeSean Jackson,TB,WR,7,43,26,60.5,594,4,75,13.8,22.8,4,19,4.8,1,0,0,18,126.3
17,Golden Tate,DET,WR,7,69,44,63.8,517,3,67,7.5,11.8,3,42,14,0,1,0,17.7,123.9
18,Jarvis Landry,CLE,WR,8,94,49,52.1,528,2,39,5.6,10.8,0,0,0,0,0,0,15.2,121.8
19,Brandin Cooks,LAR,WR,8,52,35,67.3,643,2,57,12.4,18.4,5,32,6.4,0,1,0,15.1,120.5
20,John Brown,BAL,WR,8,61,31,50.8,586,4,71,9.6,18.9,2,4,2,0,0,0,15,120
21,Will Fuller,HOU,WR,7,45,32,71.1,503,4,73,11.2,15.7,0,0,0,0,0,0,16.5,115.3
22,Sterling Shepard,NYG,WR,8,59,40,67.8,542,2,58,9.2,13.6,0,0,0,0,1,0,13.9,111.2
23,Cooper Kupp,LAR,WR,6,42,30,71.4,438,5,70,10.4,14.6,4,25,6.2,0,0,0,18.2,109.3
24,Sammy Watkins,KC,WR,8,49,34,69.4,453,3,50,9.2,13.3,4,50,12.5,0,1,0,13.5,108.3
