Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Baltimore Ravens,BAL,DST,8,16.31,15.7,32.18,12.56,4.12,80.87
2,Dallas Cowboys,DAL,DST,7,17.29,22.43,29.7,10.64,4,84.06
3,Jacksonville Jaguars,JAX,DST,8,16.66,20.91,29.54,10.29,7,84.4
4,Seattle Seahawks,SEA,DST,7,16.14,22.44,37.56,8.11,2.86,87.11
5,Tennessee Titans,TEN,DST,7,17.78,17.8,41.56,8.04,4.43,89.61
6,Minnesota Vikings,MIN,DST,8,19.83,21.46,31.75,13.8,5.38,92.22
7,Houston Texans,HOU,DST,8,17.06,22.96,35.88,11.9,5.62,93.42
8,Los Angeles Rams,LAR,DST,8,16.98,22.31,36.09,12.38,5.88,93.64
9,Washington Redskins,WAS,DST,7,20.14,19.96,38.7,11.6,3.43,93.82
10,Chicago Bears,CHI,DST,7,19.05,17.41,43.06,10.76,4.43,94.71
11,Green Bay Packers,GB,DST,7,19.41,24.14,38.21,9.51,4.29,95.57
12,Buffalo Bills,BUF,DST,8,16.46,28.11,33.84,10.41,7.12,95.94
13,Arizona Cardinals,ARI,DST,8,16.02,32.18,35.55,9.15,4.75,97.65
14,Los Angeles Chargers,LAC,DST,7,19.65,24.54,38.13,11.96,3.71,97.99
15,New York Giants,NYG,DST,8,18.51,26.6,34.24,10.49,8.88,98.71
16,Philadelphia Eagles,PHI,DST,8,20.73,19.36,45.36,8.19,5.75,99.39
17,Detroit Lions,DET,DST,7,19.03,30.81,34.44,12.6,3.71,100.61
18,Carolina Panthers,CAR,DST,7,20.68,20.64,35.67,19.64,5.29,101.92
19,Denver Broncos,DEN,DST,8,18.14,28.29,36.84,13.41,5.25,101.93
20,Indianapolis Colts,IND,DST,8,20.15,25.6,35.72,14.22,7.12,102.82
21,New York Jets,NYJ,DST,8,20.5,25.45,45.59,9.21,5.88,106.62
22,New England Patriots,NE,DST,8,22.82,26.12,36.25,15.94,5.5,106.64
23,Miami Dolphins,MIA,DST,8,19.84,32.02,37.36,12.84,5.62,107.69
24,Pittsburgh Steelers,PIT,DST,7,24.75,16.99,44.61,18.17,4.57,109.09
25,Oakland Raiders,OAK,DST,7,20.75,30.49,38.57,14.2,5.29,109.29
26,San Francisco 49ers,SF,DST,8,22.34,27.45,41.09,12.6,6,109.48
27,Cleveland Browns,CLE,DST,8,18.56,30.72,42.6,12.59,6.38,110.84
28,New Orleans Saints,NO,DST,7,26.66,19.04,55.04,8.3,2.86,111.9
29,Kansas City Chiefs,KC,DST,8,23.6,33.66,39.26,15.95,5.75,118.23
30,Atlanta Falcons,ATL,DST,7,27.94,33.41,47.83,12.26,3.29,124.72
31,Cincinnati Bengals,CIN,DST,8,26.7,30.44,45.26,17.86,5.62,125.89
32,Tampa Bay Buccaneers,TB,DST,7,28.66,29.43,49.79,18.06,5.57,131.5
