Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Davante Adams,GB,WR,7,15,7,46.7,66,6,16,4.4,9.4,0,0,0,0,0,0,7.1,49.6
2,Michael Thomas,NO,WR,7,14,12,85.7,79,4,14,5.6,6.6,0,0,0,0,0,0,6.3,43.9
3,Tyler Boyd,CIN,WR,8,8,8,100,66,4,14,8.2,8.2,0,0,0,0,0,0,4.8,38.6
4,DeAndre Hopkins,HOU,WR,8,14,8,57.1,53,4,13,3.8,6.6,0,0,0,0,0,0,4.7,37.3
5,Alshon Jeffery,PHI,WR,5,9,6,66.7,56,4,16,6.2,9.3,0,0,0,0,0,0,7.1,35.6
6,AJ Green,CIN,WR,8,15,6,40,49,4,17,3.3,8.2,0,0,0,0,0,0,4.4,34.9
7,Calvin Ridley,ATL,WR,7,5,5,100,56,4,18,11.2,11.2,0,0,0,0,0,0,4.9,34.6
8,Tyreek Hill,KC,WR,8,9,7,77.8,27,4,14,3,3.9,0,0,0,0,0,0,4.2,33.7
9,Chris Godwin,TB,WR,7,9,4,44.4,30,4,9,3.3,7.5,0,0,0,0,0,0,4.7,33
10,Adam Thielen,MIN,WR,8,13,9,69.2,54,3,15,4.2,6,0,0,0,0,1,1,3.9,31.4
11,Juju Smith-Schuster,PIT,WR,7,17,10,58.8,69,2,18,4.1,6.9,0,0,0,0,0,0,4.4,30.9
12,T.Y. Hilton,IND,WR,6,11,4,36.4,14,4,5,1.3,3.5,0,0,0,0,0,0,4.9,29.4
13,Cooper Kupp,LAR,WR,6,11,7,63.6,42,3,19,3.8,6,2,1,0.5,0,0,0,4.9,29.3
14,Sammy Watkins,KC,WR,8,10,5,50,61,3,16,6.1,12.2,1,-1,-1,0,0,0,3.6,29
15,Jordy Nelson,OAK,WR,7,5,4,80,35,3,19,7,8.8,0,0,0,0,0,0,3.9,27.5
16,Marvin Jones,DET,WR,7,10,4,40,40,3,19,4,10,0,0,0,0,0,0,3.7,26
17,Jarvis Landry,CLE,WR,8,15,7,46.7,45,2,16,3,6.4,0,0,0,0,0,0,3.2,25.5
18,David Moore,SEA,WR,7,3,3,100,37,3,19,12.3,12.3,0,0,0,0,0,0,3.5,24.7
19,Julian Edelman,NE,WR,4,8,6,75,59,2,17,7.4,9.8,0,0,0,0,0,0,6,23.9
20,Larry Fitzgerald,ARI,WR,8,8,5,62.5,40,2,16,5,8,0,0,0,0,0,0,2.9,23
21,Demaryius Thomas,DEN,WR,8,8,7,87.5,37,2,11,4.6,5.3,0,0,0,0,0,0,2.8,22.7
22,Sterling Shepard,NYG,WR,8,13,6,46.2,24,2,7,1.8,4,0,0,0,0,1,0,2.8,22.4
23,Cole Beasley,DAL,WR,7,6,5,83.3,48,2,17,8,9.6,0,0,0,0,0,0,3.1,21.8
24,Stefon Diggs,MIN,WR,8,8,6,75,14,2,6,1.8,2.3,0,0,0,0,0,0,2.7,21.4
25,Brandin Cooks,LAR,WR,8,9,8,88.9,65,1,19,7.2,8.1,1,7,7,0,1,0,2.6,21.2
26,Devin Funchess,CAR,WR,7,8,5,62.5,39,2,18,4.9,7.8,0,0,0,0,0,0,3,20.9
27,John Brown,BAL,WR,8,8,4,50,37,2,14,4.6,9.2,0,0,0,0,0,0,2.5,19.7
28,Terrelle Pryor,NYJ,WR,6,4,3,75,44,2,20,11,14.7,0,0,0,0,0,0,3.2,19.4
29,Will Fuller,HOU,WR,7,5,4,80,28,2,15,5.6,7,0,0,0,0,0,0,2.7,18.8
30,Josh Reynolds,LAR,WR,8,3,3,100,39,2,19,13,13,1,-2,-2,0,0,0,2.3,18.7
30,Phillip Dorsett,NE,WR,8,5,4,80,27,2,14,5.4,6.8,0,0,0,0,0,0,2.3,18.7
32,Mike Williams,LAC,WR,7,6,3,50,33,2,20,5.5,11,1,3,3,0,0,0,2.7,18.6
33,Torrey Smith,CAR,WR,6,3,3,100,14,2,8,4.7,4.7,0,0,0,0,0,0,3.1,18.4
34,Tyler Lockett,SEA,WR,7,4,3,75,29,2,19,7.2,9.7,0,0,0,0,0,0,2.6,17.9
35,Jaron Brown,SEA,WR,7,3,3,100,28,2,16,9.3,9.3,0,0,0,0,0,0,2.5,17.8
36,Allen Robinson,CHI,WR,6,8,3,37.5,27,2,14,3.4,9,0,0,0,0,0,0,3,17.7
37,Kenny Stills,MIA,WR,7,2,2,100,15,2,10,7.5,7.5,0,0,0,0,0,0,2.5,17.5
38,Aldrick Robinson,MIN,WR,6,3,2,66.7,33,2,17,11,16.5,0,0,0,0,0,0,2.9,17.3
39,Robert Woods,LAR,WR,8,5,3,60,14,2,6,2.8,4.7,1,6,6,0,0,0,2.1,17
40,Michael Crabtree,BAL,WR,8,6,3,50,17,2,12,2.8,5.7,0,0,0,0,0,0,2.1,16.7
40,Taylor Gabriel,CHI,WR,7,5,4,80,7,2,6,1.4,1.8,1,0,0,0,0,0,2.4,16.7
42,Kendrick Bourne,SF,WR,8,4,3,75,14,2,8,3.5,4.7,0,0,0,0,0,0,2,16.4
43,Antonio Brown,PIT,WR,7,10,3,30,13,2,9,1.3,4.3,0,0,0,0,0,0,2.3,16.3
44,Chris Conley,KC,WR,8,3,2,66.7,19,2,15,6.3,9.5,0,0,0,0,0,0,2,15.9
45,Anthony Miller,CHI,WR,6,5,2,40,14,2,10,2.8,7,0,0,0,0,0,0,2.6,15.4
46,Kenny Golladay,DET,WR,7,5,2,40,9,2,5,1.8,4.5,0,0,0,0,0,0,2.1,14.9
47,Chester Rogers,IND,WR,8,5,2,40,27,1,17,5.4,13.5,0,0,0,0,0,0,1.8,14.7
48,Mohamed Sanu,ATL,WR,7,3,3,100,30,1,15,10,10,0,0,0,0,0,0,2,14
49,Jamison Crowder,WAS,WR,4,4,4,100,38,1,13,9.5,9.5,0,0,0,0,0,0,3.4,13.8
50,Keenan Allen,LAC,WR,7,5,3,60,43,1,20,8.6,14.3,0,0,0,0,0,0,1.9,13.3
51,Corey Davis,TEN,WR,7,9,4,44.4,31,1,15,3.4,7.8,0,0,0,0,0,0,1.9,13.1
52,Taywan Taylor,TEN,WR,7,4,3,75,31,1,18,7.8,10.3,0,0,0,0,0,0,1.7,12.1
53,Nelson Agholor,PHI,WR,8,7,4,57.1,2,1,3,0.3,0.5,2,16,8,0,1,0,1.5,11.8
54,Josh Gordon,NE,WR,6,4,2,50,30,1,17,7.5,15,0,0,0,0,0,0,1.8,11
55,John Ross,CIN,WR,5,4,3,75,20,1,9,5,6.7,1,-3,-3,0,0,0,2.1,10.7
56,Ryan Grant,IND,WR,6,3,3,100,16,1,8,5.3,5.3,0,0,0,0,0,0,1.8,10.6
56,Trent Taylor,SF,WR,7,4,3,75,16,1,10,4,5.3,0,0,0,0,0,0,1.5,10.6
58,Odell Beckham Jr,NYG,WR,8,13,3,23.1,15,1,16,1.2,5,1,-1,-1,0,0,0,1.3,10.4
59,Amari Cooper,OAK,WR,6,4,2,50,13,1,8,3.2,6.5,1,9,9,0,0,0,1.7,10.2
60,Ted Ginn,NO,WR,4,4,1,25,4,1,4,1,4,1,5,5,0,0,0,2.5,9.9
60,Bruce Ellington,HOU,WR,3,2,2,100,19,1,14,9.5,9.5,0,0,0,0,0,0,3.3,9.9
60,Laquon Treadwell,MIN,WR,8,3,2,66.7,19,1,14,6.3,9.5,0,0,0,0,0,0,1.2,9.9
63,Willie Snead,BAL,WR,8,3,2,66.7,18,1,13,6,9,0,0,0,0,0,0,1.2,9.8
64,Tajae Sharpe,TEN,WR,7,5,2,40,17,1,11,3.4,8.5,0,0,0,0,0,0,1.4,9.7
64,Christian Kirk,ARI,WR,8,2,2,100,12,1,9,6,6,1,5,5,0,0,0,1.2,9.7
66,Jarius Wright,CAR,WR,7,2,1,50,5,1,5,2.5,5,0,0,0,0,0,0,1.4,9.5
66,Antonio Callaway,CLE,WR,8,4,2,50,-5,1,1,-1.2,-2.5,0,0,0,0,0,0,1.2,9.5
66,Marquez Valdes-Scantling,GB,WR,7,5,2,40,15,1,12,3,7.5,0,0,0,0,0,0,1.4,9.5
