Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Adam Thielen,MIN,WR,9,DET,23,12,8900,24.78
2,Michael Thomas,NO,WR,9,LAR,7,18,7600,21
3,DeAndre Hopkins,HOU,WR,9,DEN,19,13,8300,19.63
3,Antonio Brown,PIT,WR,9,BAL,1,6,8400,19.63
5,Davante Adams,GB,WR,9,NE,21,11,8200,19.23
6,Julio Jones,ATL,WR,9,WAS,6,19,7900,19.15
7,Mike Evans,TB,WR,9,CAR,14,9,8100,17.58
8,Robert Woods,LAR,WR,9,NO,26,32,7000,17.19
9,Stefon Diggs,MIN,WR,9,DET,23,12,6800,17.18
10,Tyreek Hill,KC,WR,9,CLE,22,23,8000,16.27
11,Keenan Allen,LAC,WR,9,SEA,3,14,7300,16.23
12,Juju Smith-Schuster,PIT,WR,9,BAL,1,6,7200,15.75
13,Emmanuel Sanders,DEN,WR,9,HOU,9,8,6400,15.65
14,Jarvis Landry,CLE,WR,9,KC,28,15,6500,15.55
15,Brandin Cooks,LAR,WR,9,NO,26,32,6700,15.33
16,Julian Edelman,NE,WR,9,GB,16,22,6600,14.45
17,Devin Funchess,CAR,WR,9,TB,32,30,5600,13.14
18,Demaryius Thomas,HOU,WR,9,DEN,19,13,4500,12.8
19,Michael Crabtree,BAL,WR,9,PIT,24,29,4800,12.78
20,Josh Gordon,NE,WR,9,GB,16,22,6300,12.73
21,Cooper Kupp,LAR,WR,9,NO,26,32,6000,12.58
22,Sammy Watkins,KC,WR,9,CLE,22,23,4900,12.55
23,Marvin Jones,DET,WR,9,MIN,11,3,5300,12.45
24,John Brown,BAL,WR,9,PIT,24,29,5800,12.32
25,Kenny Golladay,DET,WR,9,MIN,11,3,5500,12.08
25,Doug Baldwin,SEA,WR,9,LAC,15,16,5300,12.08
27,Corey Davis,TEN,WR,9,DAL,2,2,4800,11.85
28,Jordy Nelson,OAK,WR,9,SF,27,25,4600,11.78
29,DeSean Jackson,TB,WR,9,CAR,14,9,5000,11.13
30,Marquise Goodwin,SF,WR,9,OAK,29,24,5500,10.94
31,Tyler Lockett,SEA,WR,9,LAC,15,16,5200,10.88
32,Calvin Ridley,ATL,WR,9,WAS,6,19,5700,10.87
33,Amari Cooper,DAL,WR,9,TEN,5,20,4600,10.66
34,Keke Coutee,HOU,WR,9,DEN,19,13,5300,10.55
35,Taylor Gabriel,CHI,WR,9,BUF,10,4,5100,10.44
36,Chris Godwin,TB,WR,9,CAR,14,9,4400,10.39
37,Mohamed Sanu,ATL,WR,9,WAS,6,19,5100,10.36
38,Cole Beasley,DAL,WR,9,TEN,5,20,4100,10.12
39,Tre'Quan Smith,NO,WR,9,LAR,7,18,4200,9.96
40,Randall Cobb,GB,WR,9,NE,21,11,4600,9.92
41,Jermaine Kearse,NYJ,WR,9,MIA,25,17,4200,9.79
42,Danny Amendola,MIA,WR,9,NYJ,20,25,4700,9.74
43,Willie Snead,BAL,WR,9,PIT,24,29,4200,9.66
44,Devante Parker,MIA,WR,9,NYJ,20,25,4600,9.61
45,Tyrell Williams,LAC,WR,9,SEA,3,14,4200,9.4
46,D.J. Moore,CAR,WR,9,TB,32,30,4300,9.37
47,Paul Richardson,WAS,WR,9,ATL,30,31,3800,9.35
48,Allen Robinson,CHI,WR,9,BUF,10,4,5200,9.29
49,Geronimo Allison,GB,WR,9,NE,21,11,4600,9.13
50,Mike Williams,LAC,WR,9,SEA,3,14,3800,8.59
51,Chris Hogan,NE,WR,9,GB,16,22,4200,8.42
52,Robby Anderson,NYJ,WR,9,MIA,25,17,4300,8.34
53,Adam Humphries,TB,WR,9,CAR,14,9,3600,8.06
54,Josh Doctson,WAS,WR,9,ATL,30,31,4200,7.89
55,Antonio Callaway,CLE,WR,9,KC,28,15,4200,7.85
56,Zay Jones,BUF,WR,9,CHI,8,21,3400,7.82
57,Kenny Stills,MIA,WR,9,NYJ,20,25,4300,7.81
57,Kelvin Benjamin,BUF,WR,9,CHI,8,21,3500,7.81
59,Tajae Sharpe,TEN,WR,9,DAL,2,2,3800,7.79
60,Seth Roberts,OAK,WR,9,SF,27,25,3700,7.73
61,Quincy Enunwa,NYJ,WR,9,MIA,25,17,4000,7.53
62,Courtland Sutton,DEN,WR,9,HOU,9,8,3900,7.51
63,Anthony Miller,CHI,WR,9,BUF,10,4,3700,7.44
64,David Moore,SEA,WR,9,LAC,15,16,3900,7.42
65,Jakeem Grant,MIA,WR,9,NYJ,20,25,3700,7.39
66,Pierre Garcon,SF,WR,9,OAK,29,24,4300,6.66
67,Taywan Taylor,TEN,WR,9,DAL,2,2,3600,6.56
68,Laquon Treadwell,MIN,WR,9,DET,23,12,3300,6.48
69,Rashard Higgins,CLE,WR,9,KC,28,15,3700,6.25
70,Michael Gallup,DAL,WR,9,TEN,5,20,3700,6.24
71,Brandon LaFell,OAK,WR,9,SF,27,25,3800,6.17
72,Jamison Crowder,WAS,WR,9,ATL,30,31,4100,5.93
73,Martavis Bryant,OAK,WR,9,SF,27,25,3500,5.91
74,Marquez Valdes-Scantling,GB,WR,9,NE,21,11,4700,5.82
75,Cordarrelle Patterson,NE,WR,9,GB,16,22,3200,5.81
76,Curtis Samuel,CAR,WR,9,TB,32,30,3500,5.72
77,Josh Reynolds,LAR,WR,9,NO,26,32,4500,5.34
78,Torrey Smith,CAR,WR,9,TB,32,30,3500,5.28
79,Allen Hurns,DAL,WR,9,TEN,5,20,3400,5.18
80,Maurice Harris,WAS,WR,9,ATL,30,31,3300,5
81,Damion Ratley,CLE,WR,9,KC,28,15,3500,4.93
82,Rishard Matthews,NYJ,WR,9,MIA,25,17,3500,4.77
83,Chris Conley,KC,WR,9,CLE,22,23,3200,4.75
84,Trent Taylor,SF,WR,9,OAK,29,24,3700,4.65
85,Travis Benjamin,LAC,WR,9,SEA,3,14,3500,4.2
86,Ryan Switzer,PIT,WR,9,BAL,1,6,3100,4.08
87,Andre Holmes,BUF,WR,9,CHI,8,21,3100,3.98
88,Jarius Wright,CAR,WR,9,TB,32,30,3300,3.86
89,Cameron Meredith,NO,WR,9,LAR,7,18,3500,3.77
90,Kendrick Bourne,SF,WR,9,OAK,29,24,3600,3.58
91,Dante Pettis,SF,WR,9,OAK,29,24,3500,3.55
92,Tim Patrick,DEN,WR,9,HOU,9,8,3000,3.09
93,Aldrick Robinson,MIN,WR,9,DET,23,12,3200,2.93
94,Tavon Austin,DAL,WR,9,TEN,5,20,3000,2.9
95,Chris Moore,BAL,WR,9,PIT,24,29,3000,2.72
96,Demarcus Robinson,KC,WR,9,CLE,22,23,3000,2.58
97,Brandon Marshall,SEA,WR,9,LAC,15,16,3300,2.53
98,Justin Hunter,PIT,WR,9,BAL,1,6,3000,2.3
99,Vyncint Smith,HOU,WR,9,DEN,19,13,3600,2.14
100,Sammie Coates,HOU,WR,9,DEN,19,13,3000,2.06
101,Phillip Dorsett,NE,WR,9,GB,16,22,3600,1.85
102,Kevin White,CHI,WR,9,BUF,10,4,3000,1.76
103,Josh Bellamy,CHI,WR,9,BUF,10,4,3000,1.75
104,Jaron Brown,SEA,WR,9,LAC,15,16,3100,1.73
105,Deonte Thompson,DAL,WR,9,TEN,5,20,3100,1.72
106,Justin Hardy,ATL,WR,9,WAS,6,19,3000,1.59
107,Andre Roberts,NYJ,WR,9,MIA,25,17,3300,1.52
108,Marvin Hall,ATL,WR,9,WAS,6,19,3000,1.49
109,Austin Carr,NO,WR,9,LAR,7,18,3000,1.4
110,TJ Jones,DET,WR,9,MIN,11,3,3000,1.37
111,James Washington,PIT,WR,9,BAL,1,6,3300,1.35
112,Noah Brown,DAL,WR,9,TEN,5,20,3000,1.3
112,Charone Peake,NYJ,WR,9,MIA,25,17,3000,1.3
114,Dwayne Harris,OAK,WR,9,SF,27,25,3200,1.28
115,Michael Floyd,WAS,WR,9,ATL,30,31,3200,1.25
116,Breshad Perriman,CLE,WR,9,KC,28,15,3000,1.19
117,Leonte Carroo,MIA,WR,9,NYJ,20,25,3000,1.18
118,Equanimeous St. Brown,GB,WR,9,NE,21,11,3400,1.16
119,Eli Rogers,PIT,WR,9,BAL,1,6,3000,0.93
120,Nick Williams,LAR,WR,9,NO,26,32,3000,0.92
