Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections
Todd Gurley,9500,19.04,FALSE,-1,60,30.5,LAR,1,21.125,100,4.7,1.375,5.25,3.875,43.875,0.5,31.6,5.875,16.125,2.7,1.375,1.625,0.875,8.125,0.375,14.6,34.19246799
Alvin Kamara,7300,22.31,TRUE,1,60,29.5,NO,3,13.14285714,58.28571429,4.4,1,8.714285714,6.714285714,56.14285714,0.285714286,27.7,4.285714286,12.57142857,2.9,0.857142857,2.428571429,1.857142857,12,0.285714286,11.7,32.86683503
Melvin Gordon,8200,22.44,FALSE,1,48,23.5,LAC,5,15.16666667,77.66666667,5.1,1,7,5,46.5,0.5,28.6,2.5,15.33333333,6.1,1,1.666666667,1,5.5,0.5,12.8,30.87219582
James White,7500,24.14,TRUE,-5.5,56.5,31,NE,7,6,25.5,4.2,0.25,9.25,6.875,57.375,0.75,21.2,1.125,2,1.8,0.125,1.5,1.125,8.375,0.75,7.4,25.32769287
Kareem Hunt,7700,30.72,FALSE,-8,51,29.5,KC,6,16.75,74,4.4,0.625,3.375,2.5,32.75,0.625,21.4,2.5,6.75,2.7,0.625,1,0.625,4.75,0.375,7.8,23.80213737
James Conner,7200,15.7,FALSE,3,47.5,22.25,PIT,4,18.14285714,85.57142857,4.7,1.285714286,5.857142857,4.428571429,46.14285714,0,27.5,2.857142857,7.857142857,2.8,0.857142857,0.428571429,0.285714286,1.142857143,0,6.9,22.12346075
Christian McCaffrey,7800,29.43,TRUE,-6,55,30.5,CAR,8,13.14285714,60.42857143,4.6,0.142857143,7.428571429,6.285714286,42.85714286,0.285714286,19.9,1.714285714,3.285714286,1.9,0.142857143,0.714285714,0.571428571,4.285714286,0.285714286,3.8,20.4467239
Tarik Cohen,6200,28.11,FALSE,-10,37.5,23.75,CHI,11,6.142857143,32,5.2,0.142857143,5.857142857,4.285714286,56.85714286,0.428571429,16.9,0.714285714,4.285714286,6,0,1.142857143,0.714285714,5,0.285714286,3.4,19.55061739
Ezekiel Elliott,7600,17.8,TRUE,-5.5,40.5,23,DAL,9,18.85714286,88.42857143,4.7,0.428571429,5.142857143,3.571428571,25,0.142857143,19.5,2,5.571428571,2.8,0.428571429,1,0.571428571,1.857142857,0,3.9,19.15761735
Adrian Peterson,6000,33.41,TRUE,-1.5,48.5,25,WAS,13,18.14285714,83.85714286,4.6,0.571428571,1.857142857,1.285714286,21.57142857,0.142857143,16.7,3,4.857142857,1.6,0.428571429,0.285714286,0.285714286,2.142857143,0.142857143,4.3,17.4164085
Alex Collins,4600,16.99,TRUE,-3,47.5,25.25,BAL,21,12.25,44.75,3.7,0.625,2.5,1.75,12.625,0.125,11.6,1.75,7.25,4.1,0.625,0.5,0.25,1.375,0.125,5.5,16.00456756
Marshawn Lynch,3000,27.45,FALSE,1,44,21.5,OAK,27,15,62.66666667,4.2,0.5,3.333333333,2.5,14,0,13.7,2.333333333,4.666666667,2,0.5,0.833333333,0.666666667,0.833333333,0,4.2,15.89071356
Javorius Allen,3800,16.99,TRUE,-3,47.5,25.25,BAL,25,4.75,12.5,2.6,0.375,4.75,3.75,23.5,0.25,11,1.375,1.5,1.1,0.375,0.625,0.625,4.625,0.25,5,15.18192077
Sony Michel,5400,24.14,TRUE,-5.5,56.5,31,NE,31,15.83333333,70.33333333,4.4,0.666666667,1.333333333,0.666666667,5.166666667,0,13,3.5,8.166666667,2.3,0.5,0,0,0,0,3.8,15.13785148
Austin Ekeler,4300,22.44,FALSE,1,48,23.5,LAC,23,7.571428571,43.57142857,5.8,0,3.428571429,2.714285714,33.28571429,0.428571429,12.8,1.428571429,2.285714286,1.6,0,0.571428571,0.571428571,4,0.142857143,2.1,15.10756682
Tevin Coleman,4800,19.96,FALSE,1.5,48.5,23.5,ATL,26,11.71428571,44.28571429,3.8,0.285714286,2.571428571,2.142857143,19.57142857,0.285714286,12.4,1,3,3,0.142857143,0.571428571,0.428571429,2.857142857,0.285714286,3.6,15.00896936
Chris Carson,4700,24.54,TRUE,-1,48,24.5,SEA,28,17.16666667,76.16666667,4.4,0.333333333,1.833333333,1.333333333,13.33333333,0,13.6,2,6,3,0.333333333,0.333333333,0.333333333,2.166666667,0,3.2,14.96144712
Chris Thompson,5400,33.41,TRUE,-1.5,48.5,25,WAS,36,5.2,22.6,4.3,0,6.8,5.6,41.8,0.2,13.2,0.6,0.2,0.3,0,0.8,0.6,4.8,0.2,2.3,14.95071095
Lamar Miller,5200,28.29,FALSE,1,46,22.5,HOU,22,16.14285714,72,4.5,0.285714286,2.571428571,1.571428571,11.14285714,0.142857143,13.2,2.714285714,5.142857143,1.9,0.285714286,0.142857143,0.142857143,0.571428571,0.142857143,3.3,14.82684579
Phillip Lindsay,5500,22.96,TRUE,-1,46,23.5,DEN,15,11.625,66.375,5.7,0.375,2.875,2.25,17,0.125,14,1.875,5.375,2.9,0.25,0.375,0.25,0.625,0,2.4,14.70933108
Jordan Howard,4700,28.11,FALSE,-10,37.5,23.75,CHI,33,16,56,3.5,0.428571429,2.142857143,1.571428571,12.42857143,0,10.8,2.428571429,6.142857143,2.5,0.428571429,0.428571429,0.285714286,0.714285714,0,3.4,14.31619894
Kenyan Drake,5300,25.45,TRUE,-3,44,23.5,MIA,16,8.75,42.5,4.9,0.375,5.125,3.375,24.625,0.25,13.7,0.875,3.125,3.6,0.25,0.5,0.125,0,0,1.8,14.17228654
Matt Breida,5200,30.49,TRUE,-1,44,22.5,SF,24,10.5,60.875,5.8,0.25,1.625,1.375,11.25,0.125,11.1,1.75,4.625,2.6,0.125,0.375,0.375,3.25,0.125,2.7,14.04417624
Kerryon Johnson,5600,21.46,FALSE,4.5,49,22.25,DET,19,11,66.57142857,6.1,0.142857143,3.714285714,3,22.57142857,0,13.6,1.285714286,3.714285714,2.9,0.142857143,0.428571429,0.285714286,0.857142857,0,1.6,13.67175609
Mark Ingram,5000,22.31,TRUE,1,60,29.5,NO,60,13.66666667,49.33333333,3.6,0.666666667,2.666666667,2.333333333,19.66666667,0,13.2,1.666666667,2,1.2,0.666666667,0,0,0,0,4.2,13.17052694
Latavius Murray,5100,30.81,TRUE,-4.5,49,26.75,MIN,18,10.25,48.25,4.7,0.5,2.625,2.125,14.5,0,12,1.125,2.5,2.2,0.25,0.25,0.25,1.25,0,2.4,12.87261063
Isaiah Crowell,4200,32.02,FALSE,3,44,20.5,NYJ,17,11.75,60.5,5.1,0.625,1.75,1.25,10.25,0,12.8,1.875,4.75,2.5,0.375,0,0,0,0,2.7,12.71721151
Mike Davis,3400,24.54,TRUE,-1,48,24.5,SEA,41,8.666666667,37.66666667,4.3,0.5,2,1.666666667,7.166666667,0,9.6,1.5,7.666666667,5.1,0.5,0,0,0,0,3.8,12.61143305
Jalen Richard,4900,27.45,FALSE,1,44,21.5,OAK,35,1.857142857,6.571428571,3.5,0,6.428571429,5.571428571,43.28571429,0,10.6,0.142857143,0.571428571,4,0,0.571428571,0.428571429,2.857142857,0,0.8,11.93938084
Dion Lewis,4700,22.43,FALSE,5.5,40.5,17.5,TEN,30,10.42857143,39.57142857,3.8,0.142857143,4.714285714,4.142857143,28.42857143,0,11.7,1.285714286,2.428571429,1.9,0.142857143,0.142857143,0.142857143,0.285714286,0,1.3,11.67990359
Ito Smith,3700,19.96,FALSE,1.5,48.5,23.5,ATL,49,5.571428571,16.85714286,3,0.428571429,1.857142857,1.714285714,13.57142857,0,7.3,2,5.428571429,2.7,0.428571429,0.285714286,0.285714286,1.857142857,0,3.6,11.63306624
Theo Riddick,3800,21.46,FALSE,4.5,49,22.25,DET,59,1.6,6,3.8,0,6,4.6,27.6,0,8,0.4,0.4,1,0,1,1,4,0,1.4,11.58891245
Kenneth Dixon,3000,16.99,TRUE,-3,47.5,25.25,BAL,84,13,44,3.4,1,0,0,0,0,10.4,1,2,2,1,0,0,0,0,6.2,11.46239625
Aaron Jones,4400,26.12,FALSE,5.5,56.5,25.5,GB,51,8.8,54.8,6.2,0.4,1.6,1.2,8.2,0,9.9,1,4.2,4.2,0.2,0,0,0,0,1.6,11.15264822
Peyton Barber,3600,20.64,FALSE,6,55,24.5,TB,42,13.28571429,49.28571429,3.7,0.142857143,1.714285714,0.857142857,5.285714286,0.142857143,8,1.571428571,0.857142857,0.5,0.142857143,0.428571429,0.142857143,0.714285714,0.142857143,2,10.97602762
Royce Freeman,3800,22.96,TRUE,-1,46,23.5,DEN,39,10.14285714,44.14285714,4.4,0.571428571,0.857142857,0.571428571,3,0,8.7,1.285714286,3.571428571,2.8,0.428571429,0,0,0,0,2.9,10.74238011
Dalvin Cook,5300,30.81,TRUE,-4.5,49,26.75,MIN,62,12,32.66666667,2.7,0,4,3,35.66666667,0,9.5,1.333333333,1.666666667,1.2,0,0,0,0,0,0.2,10.37445578
Frank Gore,3500,25.45,TRUE,-3,44,23.5,MIA,40,10.5,48.125,4.6,0,1,0.75,7.75,0.125,7.5,1,2.625,2.6,0,0.125,0.125,0.75,0.125,1.2,10.26830008
