Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Trey Burton,4500,10.41,FALSE,-10,37.5,23.75,6,CHI,5.428571429,3.857142857,71.1,49,0.571428571,9,12.7,0.142857143,0.285714286,2,0,12.6,1,0.857142857,85.7,5.428571429,0.428571429,5.4,6.3,0.142857143,0.285714286,2,0,4,17.73819955
Ed Dickson,3300,11.96,TRUE,-1,48,24.5,62,SEA,2,2,100,54,1,27,27,0,0,0,0,13.4,1,1,100,12,1,12,12,0,0,0,0,8.2,16.14880262
Travis Kelce,6600,12.59,FALSE,-8,51,29.5,2,KC,8.75,5.5,62.9,80.25,0.5,9.2,14.6,0,0,0,0,17.6,1.5,0.75,50,6.75,0.375,4.5,9,0,0,0,0,3.7,15.23043443
Jared Cook,5700,12.6,FALSE,1,44,21.5,5,OAK,6.857142857,5.142857143,75,67.71428571,0.428571429,9.9,13.2,0,0,0,0,15.3,1.571428571,1.285714286,81.8,7.571428571,0.285714286,4.8,5.9,0,0,0,0,3.8,14.82321772
George Kittle,5600,14.2,TRUE,-1,44,22.5,4,SF,7.125,4.625,64.9,73,0.25,10.2,15.8,0,0,0,0,14,1.125,0.625,55.6,5.125,0.125,4.6,8.2,0,0,0,0,2.1,12.83065808
OJ Howard,4300,19.64,FALSE,6,55,24.5,7,TB,4.857142857,3.428571429,70.6,59.85714286,0.428571429,12.3,17.5,0,0,0,0,12,0.571428571,0.428571429,75,6.142857143,0.285714286,10.8,14.3,0,0,0,0,2.8,12.61114779
Michael Roberts,2500,13.8,FALSE,4.5,49,22.25,37,DET,1.25,1,80,15.75,0.75,12.6,15.8,0,0,0,0,7.1,1,0.75,75,8.5,0.75,8.5,11.3,0,0,0,0,6.1,11.28956805
Austin Hooper,3800,11.6,FALSE,1.5,48.5,23.5,9,ATL,5.857142857,4.714285714,80.5,45.85714286,0.285714286,7.8,9.7,0,0,0,0,11.3,0.857142857,0.571428571,66.7,4.428571429,0.285714286,5.2,7.8,0,0,0,0,3,11.28755077
Chris Herndon IV,3000,12.84,FALSE,3,44,20.5,21,NYJ,3,2,66.7,26.83333333,0.5,8.9,13.4,0,0,0,0,7.7,0.666666667,0.666666667,100,9.666666667,0.333333333,14.5,14.5,0,0,0,0,3.6,11.20646542
Will Dissly,2500,11.96,TRUE,-1,48,24.5,26,SEA,3.5,2,57.1,39,0.5,11.1,19.5,0,0,0,0,9.6,0.5,0.5,100,4.25,0.5,8.5,8.5,0,0,0,0,3.9,10.67664909
Greg Olsen,4700,18.06,TRUE,-6,55,30.5,27,CAR,4.5,3,66.7,35.5,0.5,7.9,11.8,0,0,0,0,9.6,0.5,0.5,100,3,0.5,6,6,0,0,0,0,3.8,10.62566609
Jimmy Graham,4700,15.94,FALSE,5.5,56.5,25.5,11,GB,7,4,57.1,52.85714286,0.142857143,7.6,13.2,0,0,0,0,10.6,0.857142857,0.428571429,50,2.857142857,0.142857143,3.3,6.7,0,0,0,0,1.6,10.50132236
Kyle Rudolph,3600,12.6,TRUE,-4.5,49,26.75,10,MIN,5.25,4,76.2,40.125,0.25,7.6,10,0,0,0,0,9.5,0.875,0.375,42.9,2.875,0.25,3.3,7.7,0,0,0,0,2.2,10.00488183
David Njoku,4600,15.95,TRUE,8,51,21.5,12,CLE,6.5,3.875,59.6,37.125,0.25,5.7,9.6,0,0,0,0,9.1,0.375,0.25,66.7,2,0.25,5.3,8,0,0,0,0,2,9.426363168
Cameron Brate,2600,19.64,FALSE,6,55,24.5,24,TB,2.428571429,1.571428571,64.7,16.28571429,0.428571429,6.7,10.4,0,0,0,0,5.6,0.571428571,0.428571429,75,5,0.428571429,8.8,11.7,0,0,0,0,3.5,9.160209004
Maxx Williams,2500,18.17,TRUE,-3,47.5,25.25,39,BAL,2,2,100,18.14285714,0,9.1,9.1,0.285714286,1.142857143,4,0,3.9,0.571428571,0.428571429,75,1.714285714,0,3,4,0,0,0,0,0.6,9.107582932
Benjamin Watson,3200,12.38,TRUE,1,60,29.5,17,NO,4,3.285714286,82.1,32.85714286,0.142857143,8.2,10,0,0,0,0,7.4,0.714285714,0.428571429,60,2,0.142857143,2.8,4.7,0,0,0,0,1.5,8.693809574
AJ Derby,2500,9.21,TRUE,-3,44,23.5,70,MIA,1,0.666666667,66.7,11.66666667,0.333333333,11.7,17.5,0,0,0,0,3.8,0.333333333,0.333333333,100,6.333333333,0.333333333,19,19,0,0,0,0,3,8.612234817
Jordan Reed,4800,12.26,TRUE,-1.5,48.5,25,13,WAS,6.714285714,4.142857143,61.7,43.71428571,0.142857143,6.5,10.6,0,0,0,0,9.2,0.428571429,0.142857143,33.3,0.571428571,0.142857143,1.3,4,0,0,0,0,1.1,8.470078428
Rob Gronkowski,6300,9.51,TRUE,-5.5,56.5,31,8,NE,6.142857143,4.142857143,67.4,64,0.142857143,10.4,15.4,0,0,0,0,11.7,0.285714286,0,0,0,0,0,0,0,0,0,0,0,8.420737924
Mark Andrews,2600,18.17,TRUE,-3,47.5,25.25,18,BAL,3.25,2.25,69.2,24.25,0.25,7.5,10.8,0,0,0,0,6.2,0.5,0.375,75,2.125,0.25,4.2,5.7,0,0,0,0,2.1,8.278502975
Vance McDonald,3700,12.56,FALSE,3,47.5,22.25,14,PIT,4.666666667,3.833333333,82.1,53.5,0.166666667,11.5,14,0,0,0,0,10.5,0.333333333,0.166666667,50,0,0,0,0,0,0,0,0,0.2,8.164595611
Demetrius Harris,2500,12.59,FALSE,-8,51,29.5,40,KC,1.428571429,0.714285714,50,13.42857143,0.285714286,9.4,18.8,0,0,0,0,3.8,0.285714286,0.285714286,100,4.285714286,0.285714286,15,15,0,0,0,0,2.4,8.143067663
Jesse James,2700,12.56,FALSE,3,47.5,22.25,15,PIT,3.428571429,2.714285714,79.2,40.42857143,0.142857143,11.8,14.9,0,0,0,0,8,0.285714286,0.142857143,50,1,0,3.5,7,0,0,0,0,0.2,7.704895767
Nick O'Leary,2600,9.21,TRUE,-3,44,23.5,53,MIA,2.333333333,2,85.7,24,0.333333333,10.3,12,0,0,0,0,6.4,0.333333333,0.333333333,100,1.666666667,0.333333333,5,5,0,0,0,0,2.5,7.647154043
Jordan Thomas,2900,13.41,FALSE,1,46,22.5,35,HOU,1.625,1,61.5,15,0.25,9.2,15,0,0,0,0,4,0.5,0.375,75,2.875,0.25,5.8,7.7,0,0,0,0,2.2,7.194243494
Delanie Walker,2500,10.64,FALSE,5.5,40.5,17.5,73,TEN,7,4,57.1,52,0,7.4,13,0,0,0,0,9.2,1,0,0,0,0,0,0,0,0,0,0,0,7.156581421
Jeff Heuerman,2600,11.9,TRUE,-1,46,23.5,30,DEN,3.625,1.875,51.7,16.75,0.125,4.6,8.9,0,0,0,0,4.3,1.5,0.375,25,1.625,0.125,1.1,4.3,0,0,0,0,1.3,7.054481842
Ryan Griffin,2500,13.41,FALSE,1,46,22.5,46,HOU,4.166666667,1.666666667,40,23.33333333,0,5.6,14,0,0,0,0,4,1.5,0.166666667,11.1,2.166666667,0,1.4,13,0,0,0,0,0.4,7.039457487
Virgil Green,2500,8.11,FALSE,1,48,23.5,45,LAC,1.428571429,1.285714286,90,14.85714286,0.142857143,10.4,11.6,0,0,0,0,3.6,0.571428571,0.428571429,75,3.142857143,0.142857143,5.5,7.3,0,0,0,0,1.6,6.800384578
Logan Paulsen,2500,11.6,FALSE,1.5,48.5,23.5,63,ATL,0.428571429,0.428571429,100,5.428571429,0.142857143,12.7,12.7,0,0,0,0,1.8,0.142857143,0.142857143,100,2.428571429,0.142857143,17,17,0,0,0,0,1.2,6.52898461
Mike Gesicki,2600,9.21,TRUE,-3,44,23.5,36,MIA,2.75,2,72.7,18.25,0,6.6,9.1,0,0,0,0,3.8,0.5,0.375,75,2.625,0,5.2,7,0,0,0,0,0.6,6.482003397
Geoff Swaim,2800,8.04,TRUE,-5.5,40.5,23,22,DAL,3.428571429,2.714285714,79.2,29.28571429,0.142857143,8.5,10.8,0,0,0,0,6.5,0.285714286,0.142857143,50,0.142857143,0.142857143,0.5,1,0,0,0,0,1,6.458718402
Josh Hill,2600,12.38,TRUE,1,60,29.5,40,NO,1.142857143,1.142857143,100,17.71428571,0.142857143,15.5,15.5,0,0,0,0,3.8,0.142857143,0.142857143,100,0.142857143,0.142857143,1,1,0,0,0,0,1,6.149521693
Ian Thomas,2500,18.06,TRUE,-6,55,30.5,50,CAR,2.428571429,1.571428571,64.7,12.42857143,0,5.1,7.9,0,0,0,0,2.8,0.428571429,0.285714286,66.7,2.142857143,0,5,7.5,0,0,0,0,0.5,6.064151673
Nick Vannett,2700,11.96,TRUE,-1,48,24.5,43,SEA,3.5,2.166666667,61.9,21,0,6,9.7,0,0,0,0,4.3,0.333333333,0.166666667,50,1.333333333,0,4,8,0,0,0,0,0.3,6.041375215
Nick Boyle,2500,18.17,TRUE,-3,47.5,25.25,38,BAL,3.375,1.75,51.9,17,0,5,9.7,0,0,0,0,3.4,0.75,0.25,33.3,0.75,0,1,3,0,0,0,0,0.3,5.844700268
Antonio Gates,2700,8.11,FALSE,1,48,23.5,34,LAC,3,1.714285714,57.1,17.57142857,0.142857143,5.9,10.2,0,0,0,0,4.6,0.571428571,0.142857143,25,0.714285714,0.142857143,1.2,5,0,0,0,0,1.4,5.697028425
Charles Clay,2700,10.76,TRUE,10,37.5,13.75,29,BUF,3.875,2.375,61.3,21.125,0,5.5,8.9,0,0,0,0,4.4,0.375,0.125,33.3,0.625,0,1.7,5,0,0,0,0,0.2,5.474023989
Lance Kendricks,2500,15.94,FALSE,5.5,56.5,25.5,50,GB,1.571428571,1,63.6,9.571428571,0.142857143,6.1,9.6,0,0,0,0,2.8,0.285714286,0.285714286,100,0.714285714,0.142857143,2.5,2.5,0,0,0,0,1.2,5.398538481
Gerald Everett,2600,8.3,FALSE,-1,60,30.5,49,LAR,2,1.25,62.5,12.25,0,6.1,9.8,0,0,0,0,2.5,0.625,0.375,60,1.25,0,2,3.3,0,0,0,0,0.5,5.241004854
Vernon Davis,2800,12.26,TRUE,-1.5,48.5,25,32,WAS,1.857142857,1.428571429,76.9,24.28571429,0.142857143,13.1,17,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,5.099313519
Hayden Hurst,2600,18.17,TRUE,-3,47.5,25.25,64,BAL,2,0.75,37.5,9,0.25,4.5,12,0.25,0,0,0,3.2,0.25,0,0,0,0,0,0,0,0,0,0,0,4.774197626
David Morgan,2500,12.6,TRUE,-4.5,49,26.75,74,MIN,0.857142857,0.714285714,83.3,5.142857143,0,6,7.2,0,0,0,0,1.2,0.142857143,0.142857143,100,1.285714286,0,9,9,0,0,0,0,0.3,4.654416593
Garrett Celek,2500,14.2,TRUE,-1,44,22.5,67,SF,0.625,0.375,60,3.625,0.125,5.8,9.7,0,0,0,0,1.5,0.25,0.125,50,1.375,0.125,5.5,11,0,0,0,0,1,4.617283304
Seth DeValve,2600,15.95,TRUE,8,51,21.5,61,CLE,0.6,0.6,100,10.8,0.2,18,18,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,4.48290019
Luke Stocker,2500,10.64,FALSE,5.5,40.5,17.5,48,TEN,1.285714286,1,77.8,10.57142857,0.142857143,8.2,10.6,0,0,0,0,2.9,0.285714286,0.142857143,50,0.142857143,0.142857143,0.5,1,0,0,0,0,1,4.459308832
Tyler Higbee,2600,8.3,FALSE,-1,60,30.5,55,LAR,1.375,0.75,54.5,8.75,0.125,6.4,11.7,0,0,0,0,2.4,0.375,0.125,33.3,0.375,0.125,1,3,0,0,0,0,0.9,4.355201281
Darren Fells,2500,15.95,TRUE,8,51,21.5,47,CLE,0.875,0.75,85.7,11.25,0.125,12.9,15,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,4.139512933
