Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Adam Thielen,8900,34.44,TRUE,-4.5,49,26.75,1,MIN,12.25,9.25,75.5,115.625,0.75,9.4,12.5,0.125,1.875,15,0,28.4,1.625,1.125,69.2,6.75,0.375,4.2,6,0,0,0,0,3.9,22.60642109
Julio Jones,7900,38.7,FALSE,1.5,48.5,23.5,14,ATL,11.57142857,7.571428571,65.4,116,0,10,15.3,0.142857143,1.571428571,11,0,20.9,0.571428571,0,0,0,0,0,0,0,0,0,0,-0.1,20.98383063
Emmanuel Sanders,6400,35.88,TRUE,-1,46,23.5,6,DEN,8.125,6.25,76.9,82.5,0.375,10.2,13.2,0.375,5.875,15.7,1,19.9,0.75,0.5,66.7,4.25,0,5.7,8.5,0,0,0,0,0.9,20.57639359
Cooper Kupp,6000,55.04,FALSE,-1,60,30.5,23,LAR,7,5,71.4,73,0.833333333,10.4,14.6,0.666666667,4.166666667,6.2,0,18.2,1.833333333,1.166666667,63.6,7,0.5,3.8,6,0.333333333,0.166666667,0.5,0,4.9,19.26083603
Mike Evans,8100,35.67,FALSE,6,55,24.5,7,TB,9.714285714,6.571428571,67.6,110,0.571428571,11.3,16.7,0,0,0,0,22.6,1,0.285714286,28.6,1.857142857,0.142857143,1.9,6.5,0,0,0,0,1.3,19.19264005
Davante Adams,8200,36.25,FALSE,5.5,56.5,25.5,5,GB,11.14285714,7.428571429,66.7,98.57142857,0.857142857,8.8,13.3,0,0,0,0,23.7,2.142857143,1,46.7,9.428571429,0.857142857,4.4,9.4,0,0,0,0,7.1,19.02092857
Robert Woods,7000,55.04,FALSE,-1,60,30.5,13,LAR,8.125,5.75,70.8,84,0.375,10.3,14.6,1,11.25,11.2,0,18.6,0.625,0.375,60,1.75,0.25,2.8,4.7,0.125,0.75,6,0,2.1,18.96241641
Antonio Brown,8400,32.18,FALSE,3,47.5,22.25,9,PIT,11.42857143,6.571428571,57.5,78.85714286,1.142857143,6.9,12,0,0,0,0,22.2,1.428571429,0.428571429,30,1.857142857,0.285714286,1.3,4.3,0,0,0,0,2.3,18.68165897
DeSean Jackson,5000,35.67,FALSE,6,55,24.5,16,TB,6.142857143,3.714285714,60.5,84.85714286,0.571428571,13.8,22.8,0.571428571,2.714285714,4.8,1,18,0.571428571,0,0,0,0,0,0,0.142857143,2,14,0.142857143,1.1,17.75175963
DeAndre Hopkins,8300,36.84,FALSE,1,46,22.5,2,HOU,9.75,6.625,67.9,98.625,0.75,10.1,14.9,0.125,-0.875,-7,0,21.9,1.75,1,57.1,6.625,0.5,3.8,6.6,0,0,0,0,4.7,17.59200477
