Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,CompletionsGame,AttemptsGame,PassingCompletionPercentage,YardsGame,PassingYardsPerAttempt,PassingTouchdownsGame,InterceptionsGame,PassingRating,RushingAttemptsGame,RushingYardsGame,RushingYardsPerAttempt,RushingTouchdownsGame,PointsGame,RZCompletionsGame,RZAttemptsGame,RZPassingCompletionPercentage,RZYardsGame,RZPassingYardsPerAttempt,RZPassingTouchdownsGame,RZInterceptionsGame,RZPassingRating,RZRushingAttemptsGame,RZRushingYardsGame,RZRushingYardsPerAttempt,RZRushingTouchdownsGame,RZPointsGame,Projections,Score
Josh Rosen,4800.0,22.64,True,-1.0,43.0,22.0,ARI,36.0,14.2,25.8,55.0,164.0,6.4,0.6,1.0,66.04,1.4,7.2,5.1,0.0,8.3,0.8,2.2,36.4,6.8,3.1,0.2,0.0,75.57,0.0,0.0,0.0,0.0,1.1,13.63824323534811,20.28
Joe Flacco,5300.0,20.87,False,-2.0,44.0,23.0,BAL,16.0,26.714285714285715,43.285714285714285,61.7,295.2857142857143,6.8,1.5714285714285714,0.5714285714285714,88.54,2.4285714285714284,4.428571428571429,1.8,0.0,18.7,3.142857142857143,5.285714285714286,59.5,20.142857142857142,3.8,1.2857142857142858,0.14285714285714285,95.83,0.42857142857142855,0.0,0.0,0.0,5.8,18.344283488851797,11.08
Lamar Jackson,4400.0,20.87,False,-2.0,44.0,23.0,BAL,40.0,0.2857142857142857,0.8571428571428571,33.3,4.142857142857143,4.8,0.0,0.0,50.0,2.857142857142857,14.714285714285714,5.2,0.14285714285714285,2.5,0.14285714285714285,0.2857142857142857,50.0,0.7142857142857143,2.5,0.0,0.0,56.25,1.0,4.857142857142857,4.9,0.14285714285714285,1.4,13.758771400407614,8.44
Cam Newton,5800.0,14.6,True,2.0,44.0,21.0,CAR,12.0,22.833333333333332,34.833333333333336,65.6,237.83333333333334,6.8,1.8333333333333333,0.6666666666666666,94.73,8.666666666666666,42.833333333333336,4.9,0.5,24.6,2.3333333333333335,3.5,66.7,16.5,4.7,1.1666666666666667,0.0,116.87,1.3333333333333333,3.3333333333333335,2.5,0.5,9.3,29.18272200779065,27.96
Mitch Trubisky,6100.0,20.3,True,-7.5,44.5,26.0,CHI,7.0,23.166666666666668,35.166666666666664,65.9,265.6666666666667,7.6,2.1666666666666665,1.0,97.15,5.166666666666667,40.833333333333336,7.9,0.3333333333333333,25.5,3.5,6.0,58.3,23.666666666666668,3.9,1.8333333333333333,0.16666666666666666,95.14,0.3333333333333333,1.6666666666666667,5.0,0.3333333333333333,10.3,28.856708685121596,21.9
Andy Dalton,6200.0,30.07,True,-4.0,54.5,29.25,CIN,14.0,23.428571428571427,36.857142857142854,63.6,260.2857142857143,7.1,2.142857142857143,1.1428571428571428,90.94,1.1428571428571428,4.428571428571429,3.9,0.0,19.1,3.2857142857142856,5.428571428571429,60.5,25.0,4.6,1.5714285714285714,0.14285714285714285,100.33,0.14285714285714285,0.2857142857142857,2.0,0.0,7.2,26.282124866836977,20.2
Baker Mayfield,5700.0,26.36,False,8.0,51.0,21.5,CLE,27.0,21.6,37.4,57.8,258.2,6.9,1.2,1.0,78.53,2.8,16.4,5.9,0.0,16.8,2.2,4.8,45.8,15.8,3.3,1.0,0.0,93.58,0.6,1.0,1.7,0.0,5.5,21.555466243225695,15.1
Case Keenum,5100.0,24.49,False,10.0,53.5,21.75,DEN,20.0,23.0,36.285714285714285,63.4,264.0,7.3,1.1428571428571428,1.2857142857142858,80.95,1.1428571428571428,3.7142857142857144,3.2,0.14285714285714285,16.4,2.142857142857143,4.571428571428571,46.9,12.857142857142858,2.8,0.42857142857142855,0.42857142857142855,45.83,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,2.7,14.897869629254467,17.38
Matthew Stafford,5600.0,15.17,True,-3.0,49.5,26.25,DET,19.0,24.0,35.5,67.6,267.0,7.5,2.0,0.8333333333333334,98.76,1.6666666666666667,6.166666666666667,3.7,0.0,19.3,2.8333333333333335,5.166666666666667,54.8,15.0,2.9,1.1666666666666667,0.0,99.87,0.16666666666666666,0.3333333333333333,2.0,0.0,5.3,17.18755248866095,22.0
Aaron Rodgers,6400.0,17.13,False,9.5,56.5,23.5,GB,13.0,26.0,42.333333333333336,61.4,332.8333333333333,7.9,2.0,0.16666666666666666,100.13,2.8333333333333335,18.5,6.5,0.0,23.8,2.6666666666666665,6.0,44.4,19.833333333333332,3.3,1.5,0.0,92.48,0.6666666666666666,4.0,6.0,0.0,7.5,20.420297850554793,15.94
Andrew Luck,6300.0,20.32,False,-3.0,50.0,26.5,IND,3.0,29.0,44.42857142857143,65.3,278.2857142857143,6.3,2.857142857142857,1.1428571428571428,93.29,2.0,9.285714285714286,4.6,0.0,24.2,4.571428571428571,7.428571428571429,61.5,33.0,4.4,2.4285714285714284,0.14285714285714285,103.45,0.2857142857142857,1.0,3.5,0.0,11.3,24.065308481546452,23.36
Patrick Mahomes,7000.0,16.44,True,-10.0,53.5,31.75,KC,1.0,23.285714285714285,35.857142857142854,64.9,317.57142857142856,8.9,3.142857142857143,0.7142857142857143,114.02,4.0,17.142857142857142,4.3,0.2857142857142857,30.6,4.285714285714286,7.142857142857143,60.0,32.857142857142854,4.6,2.2857142857142856,0.14285714285714285,102.5,1.1428571428571428,4.0,3.5,0.2857142857142857,12.4,30.124384220510976,30.02
Jared Goff,6000.0,18.23,True,-9.5,56.5,33.0,LAR,6.0,21.714285714285715,31.142857142857142,69.7,304.2857142857143,9.8,2.0,0.7142857142857143,112.75,2.857142857142857,7.857142857142857,2.8,0.0,22.2,4.285714285714286,6.714285714285714,63.8,31.142857142857142,4.6,1.4285714285714286,0.2857142857142857,96.45,0.42857142857142855,0.8571428571428571,2.0,0.0,7.0,22.787605428566486,26.5
Eli Manning,4900.0,20.55,True,1.0,43.0,21.0,NYG,18.0,26.428571428571427,38.285714285714285,69.0,294.42857142857144,7.7,1.0,0.5714285714285714,94.14,1.5714285714285714,2.7142857142857144,1.7,0.0,16.6,2.5714285714285716,6.142857142857143,41.9,17.0,2.8,0.8571428571428571,0.0,89.05,0.7142857142857143,1.4285714285714286,2.0,0.0,4.8,16.96041821268887,17.64
Sam Darnold,4500.0,20.17,False,7.5,44.5,18.5,NYJ,24.0,17.714285714285715,31.571428571428573,56.1,221.71428571428572,7.0,1.4285714285714286,1.4285714285714286,74.33,3.5714285714285716,5.571428571428571,1.6,0.14285714285714285,14.9,1.8571428571428572,3.2857142857142856,56.5,17.571428571428573,5.3,0.5714285714285714,0.14285714285714285,92.93,1.0,-0.2857142857142857,-0.3,0.14285714285714285,3.7,16.97543446148955,12.32
Derek Carr,5200.0,19.06,True,3.0,50.0,23.5,OAK,25.0,27.833333333333332,38.833333333333336,71.7,297.1666666666667,7.7,1.1666666666666667,1.3333333333333333,89.4,1.8333333333333333,6.0,3.3,0.0,17.3,4.166666666666667,6.166666666666667,67.6,25.0,4.1,1.1666666666666667,0.3333333333333333,92.34,0.16666666666666666,1.0,6.0,0.0,5.8,16.795900436241013,27.76
Ben Roethlisberger,6100.0,18.67,True,-8.0,51.0,29.5,PIT,10.0,28.333333333333332,43.5,65.1,338.8333333333333,7.8,2.0,1.0,94.56,2.1666666666666665,6.333333333333333,2.9,0.16666666666666666,25.0,2.8333333333333335,5.833333333333333,48.6,18.0,3.1,0.8333333333333334,0.3333333333333333,71.19,0.3333333333333333,1.8333333333333333,5.5,0.16666666666666666,5.9,18.688593403983088,17.88
Joshua Dobbs,4400.0,18.67,True,-8.0,51.0,29.5,PIT,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133106646157017,-0.1
Russell Wilson,5900.0,18.3,False,3.0,49.5,23.25,SEA,23.0,17.666666666666668,27.5,64.2,218.0,7.9,2.1666666666666665,0.6666666666666666,104.81,2.8333333333333335,10.333333333333334,3.6,0.0,17.6,2.1666666666666665,3.1666666666666665,68.4,22.5,7.1,1.5,0.16666666666666666,106.36,0.16666666666666666,0.0,0.0,0.0,6.7,19.624209321506495,23.42
CJ Beathard,4900.0,16.52,False,1.0,43.0,21.0,SF,29.0,17.6,28.2,62.4,212.4,7.5,1.4,1.4,81.34,2.8,12.0,4.3,0.2,15.1,1.8,3.4,52.9,10.4,3.1,0.8,0.2,74.02,0.4,1.0,2.5,0.2,4.7,14.570737911336959,12.5
Jameis Winston,6000.0,25.89,False,4.0,54.5,25.25,TB,31.0,26.0,37.666666666666664,69.0,301.6666666666667,8.0,1.6666666666666667,2.0,85.6,5.333333333333333,30.333333333333332,5.7,0.3333333333333333,23.4,2.6666666666666665,4.0,66.7,28.0,7.0,1.6666666666666667,0.3333333333333333,91.67,1.0,6.0,6.0,0.3333333333333333,10.1,29.241665629852086,12.84
Ryan Fitzpatrick,4400.0,25.89,False,4.0,54.5,25.25,TB,21.0,21.75,32.25,67.4,339.0,10.5,2.75,1.25,114.36,4.5,15.5,3.4,0.25,28.6,2.0,5.25,38.1,11.75,2.2,1.25,0.25,66.07,1.0,3.0,3.0,0.25,7.0,25.948829949974865,19.56
Alex Smith,5000.0,19.38,False,-1.0,43.0,22.0,WAS,26.0,20.666666666666668,32.666666666666664,63.3,230.5,7.1,1.1666666666666667,0.3333333333333333,91.86,5.166666666666667,14.0,2.7,0.16666666666666666,15.8,1.8333333333333333,3.1666666666666665,57.9,13.0,4.1,0.6666666666666666,0.0,107.02,1.0,2.5,2.5,0.16666666666666666,4.4,20.039203283138963,12.42
