Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections,Score
David Johnson,6700.0,28.93,True,-1.0,43.0,22.0,ARI,11.0,15.142857142857142,47.857142857142854,3.2,0.7142857142857143,4.285714285714286,2.857142857142857,23.714285714285715,0.14285714285714285,14.9,2.2857142857142856,5.142857142857143,2.2,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.5714285714285714,0.0,5.1,13.434654908245813,14.0
Chase Edmonds,4200.0,28.93,True,-1.0,43.0,22.0,ARI,68.0,2.857142857142857,7.428571428571429,2.6,0.0,1.8571428571428572,1.7142857142857142,7.285714285714286,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.130402467754472,3.1
Derrick Coleman,3000.0,28.93,True,-1.0,43.0,22.0,ARI,105.0,0.2857142857142857,0.42857142857142855,1.5,0.0,0.2857142857142857,0.2857142857142857,2.4285714285714284,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.331580178361972,0.0
TJ Logan,3000.0,28.93,True,-1.0,43.0,22.0,ARI,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4208938389452213,0.0
Alex Collins,4600.0,19.58,False,-2.0,44.0,23.0,BAL,25.0,12.428571428571429,44.142857142857146,3.6,0.5714285714285714,2.5714285714285716,1.7142857142857142,12.428571428571429,0.14285714285714285,11.4,1.7142857142857142,5.428571428571429,3.2,0.5714285714285714,0.5714285714285714,0.2857142857142857,1.5714285714285714,0.14285714285714285,5.1,12.566491559995425,13.3
Javorius Allen,4000.0,19.58,False,-2.0,44.0,23.0,BAL,28.0,5.428571428571429,14.285714285714286,2.6,0.42857142857142855,4.714285714285714,3.857142857142857,24.285714285714285,0.14285714285714285,11.0,1.5714285714285714,1.7142857142857142,1.1,0.42857142857142855,0.5714285714285714,0.5714285714285714,4.0,0.14285714285714285,4.6,10.171930497438996,10.8
Gus Edwards,3000.0,19.58,False,-2.0,44.0,23.0,BAL,102.0,6.0,21.0,3.5,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.089646017693743,2.9
Christian McCaffrey,7000.0,14.57,True,2.0,44.0,21.0,CAR,10.0,13.0,63.0,4.8,0.0,7.666666666666667,6.666666666666667,48.166666666666664,0.16666666666666666,19.6,1.3333333333333333,2.6666666666666665,2.0,0.0,0.6666666666666666,0.5,4.0,0.16666666666666666,2.0,15.185937878321754,21.6
CJ Anderson,3300.0,14.57,True,2.0,44.0,21.0,CAR,73.0,2.6666666666666665,14.0,5.2,0.0,0.5,0.16666666666666666,4.0,0.16666666666666666,3.0,0.5,1.8333333333333333,3.7,0.0,0.0,0.0,0.0,0.0,0.2,6.503391445694127,2.0
Alex Armah,3000.0,14.57,True,2.0,44.0,21.0,CAR,87.0,0.6666666666666666,1.6666666666666667,2.5,0.16666666666666666,0.0,0.0,0.0,0.0,1.2,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,0.6339026970103401,0.0
