Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections,Score
Ricky Seals-Jones,3000.0,13.34,True,-1.0,43.0,22.0,20.0,ARI,5.0,2.4285714285714284,48.6,29.142857142857142,0.14285714285714285,5.8,12.0,0.0,0.0,0.0,0.0,6.2,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.873879358499372,3.2
Jermaine Gresham,2600.0,13.34,True,-1.0,43.0,22.0,71.0,ARI,0.8,0.6,75.0,9.2,0.0,11.5,15.3,0.0,0.0,0.0,0.0,1.5,0.2,0.2,100.0,2.2,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.4,7.466201055544737,4.2
Gabe Holmes,2500.0,13.34,True,-1.0,43.0,22.0,96.0,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800471100349216,0.0
Mark Andrews,2700.0,19.63,False,-2.0,44.0,23.0,21.0,BAL,3.0,2.0,66.7,23.285714285714285,0.2857142857142857,7.8,11.6,0.0,0.0,0.0,0.0,6.0,0.5714285714285714,0.42857142857142855,75.0,2.4285714285714284,0.2857142857142857,4.2,5.7,0.0,0.0,0.0,0.0,2.4,9.07688733347652,7.1
Nick Boyle,2500.0,19.63,False,-2.0,44.0,23.0,38.0,BAL,3.4285714285714284,1.8571428571428572,54.2,18.428571428571427,0.0,5.4,9.9,0.0,0.0,0.0,0.0,3.7,0.8571428571428571,0.2857142857142857,33.3,0.8571428571428571,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.4,6.467552109140563,1.7
Hayden Hurst,2500.0,19.63,False,-2.0,44.0,23.0,92.0,BAL,1.6666666666666667,0.3333333333333333,20.0,2.3333333333333335,0.0,1.4,7.0,0.3333333333333333,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2188194962862733,10.9
Greg Olsen,4200.0,11.77,True,2.0,44.0,21.0,44.0,CAR,4.666666666666667,2.6666666666666665,57.1,28.666666666666668,0.3333333333333333,6.1,10.8,0.0,0.0,0.0,0.0,7.5,0.3333333333333333,0.3333333333333333,100.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,0.0,0.0,2.4,8.36348903462513,15.6
Ian Thomas,2500.0,11.77,True,2.0,44.0,21.0,53.0,CAR,2.6666666666666665,1.6666666666666667,62.5,12.0,0.0,4.5,7.2,0.0,0.0,0.0,0.0,2.9,0.5,0.3333333333333333,66.7,2.5,0.0,5.0,7.5,0.0,0.0,0.0,0.0,0.6,6.535056561371462,2.5
Chris Manhertz,2500.0,11.77,True,2.0,44.0,21.0,94.0,CAR,0.3333333333333333,0.16666666666666666,50.0,0.3333333333333333,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742879962719992,0.0
Trey Burton,4800.0,9.84,True,-7.5,44.5,26.0,6.0,CHI,5.666666666666667,4.0,70.6,54.166666666666664,0.6666666666666666,9.6,13.5,0.16666666666666666,0.3333333333333333,2.0,0.0,14.0,1.0,0.8333333333333334,83.3,6.333333333333333,0.5,6.3,7.6,0.16666666666666666,0.3333333333333333,2.0,0.0,4.5,23.652219364746596,4.8
