Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections,Score
Larry Fitzgerald,4400.0,40.2,True,-1.0,43.0,22.0,60.0,ARI,6.142857142857143,3.7142857142857144,60.5,36.42857142857143,0.14285714285714285,5.9,9.8,0.0,0.0,0.0,0.0,8.2,0.7142857142857143,0.42857142857142855,60.0,3.142857142857143,0.14285714285714285,4.4,7.3,0.0,0.0,0.0,0.0,1.6,10.60443121002001,29.2
Christian Kirk,4500.0,40.2,True,-1.0,43.0,22.0,47.0,ARI,5.285714285714286,4.0,75.7,52.57142857142857,0.14285714285714285,9.9,13.1,0.2857142857142857,1.7142857142857142,6.0,0.0,10.3,0.14285714285714285,0.14285714285714285,100.0,0.42857142857142855,0.0,3.0,3.0,0.14285714285714285,0.7142857142857143,5.0,0.0,0.3,10.134934047457545,13.2
Chad Williams,3000.0,40.2,True,-1.0,43.0,22.0,108.0,ARI,4.142857142857143,1.2857142857142858,31.0,13.142857142857142,0.14285714285714285,3.2,10.2,0.0,0.0,0.0,0.0,3.5,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.688306171343,4.1
JJ Nelson,3000.0,40.2,True,-1.0,43.0,22.0,139.0,ARI,1.2857142857142858,0.5714285714285714,44.4,3.0,0.0,2.3,5.2,0.14285714285714285,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9964252083028375,0.8
Michael Crabtree,4800.0,37.25,False,-2.0,44.0,23.0,31.0,BAL,9.142857142857142,5.0,54.7,58.42857142857143,0.2857142857142857,6.4,11.7,0.0,0.0,0.0,0.0,12.6,0.8571428571428571,0.42857142857142855,50.0,2.4285714285714284,0.2857142857142857,2.8,5.7,0.0,0.0,0.0,0.0,2.4,14.317868911362428,6.1
John Brown,5900.0,37.25,False,-2.0,44.0,23.0,16.0,BAL,7.714285714285714,4.0,51.9,79.71428571428571,0.5714285714285714,10.3,19.9,0.2857142857142857,0.5714285714285714,2.0,0.0,16.3,1.0,0.5714285714285714,57.1,5.285714285714286,0.2857142857142857,5.3,9.2,0.0,0.0,0.0,0.0,2.8,15.7138924992216,5.8
Willie Snead,4200.0,37.25,False,-2.0,44.0,23.0,44.0,BAL,7.142857142857143,4.714285714285714,66.0,48.0,0.14285714285714285,6.7,10.2,0.14285714285714285,1.8571428571428572,13.0,0.0,10.6,0.42857142857142855,0.2857142857142857,66.7,2.5714285714285716,0.14285714285714285,6.0,9.0,0.0,0.0,0.0,0.0,1.4,12.775732969748212,10.4
Chris Moore,3000.0,37.25,False,-2.0,44.0,23.0,118.0,BAL,1.7142857142857142,1.2857142857142858,75.0,11.285714285714286,0.0,6.6,8.8,0.42857142857142855,2.0,4.7,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.169636297910689,3.9
Devin Funchess,5400.0,32.21,True,2.0,44.0,21.0,34.0,CAR,7.833333333333333,4.833333333333333,61.7,62.333333333333336,0.5,8.0,12.9,0.0,0.0,0.0,0.0,14.1,1.1666666666666667,0.6666666666666666,57.1,6.666666666666667,0.3333333333333333,5.7,10.0,0.0,0.0,0.0,0.0,3.3,12.770650961816909,5.7
D.J. Moore,3600.0,32.21,True,2.0,44.0,21.0,85.0,CAR,3.0,2.1666666666666665,72.2,31.833333333333332,0.16666666666666666,10.6,14.7,0.6666666666666666,7.666666666666667,11.5,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,9.379832517335366,17.9
