,Name,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,Score,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLossPercentage,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentRushingTouchdowns
0,Devonta Freeman,14.5,66.9,4.54,0.3,3.9,3.1,25.2,0.2,15.610000000000003,21.7,2.9,4.8,1.25,0.3,1.1,0.7,4.6,0.2,4.639999999999999,40.2,62.94000000000001,36.58,9.6,44.209999999999994,46.209999999999994,16.7,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,18.8,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
1,Tevin Coleman,8.428571428571429,33.42857142857143,3.957142857142857,0.7142857142857143,3.4285714285714284,2.7142857142857144,47.142857142857146,0.14285714285714285,16.342857142857145,9.3,1.7142857142857142,8.142857142857142,2.1142857142857143,0.5714285714285714,0.7142857142857143,0.42857142857142855,1.1428571428571428,0.0,4.785714285714286,27.0,41.17142857142858,33.32857142857143,12.442857142857141,43.285714285714285,45.800000000000004,16.7,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,18.8,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
2,Patrick DiMarco,0.0,0.0,0.0,0.0,0.7,0.6,4.6,0.1,1.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.71,18.9,29.059999999999995,0.0,3.5199999999999996,3.12,3.5199999999999996,16.7,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,18.8,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
6,Jonathan Stewart,13.0,52.666666666666664,3.5333333333333337,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.0,10.166666666666666,24.0,2.3333333333333335,3.6666666666666665,1.4333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,4.366666666666666,36.0,46.0,39.800000000000004,8.033333333333333,46.46666666666667,47.866666666666674,17.47142857142857,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,16.3,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
7,Fozzy Whittaker,5.5,30.833333333333332,4.15,0.0,3.8333333333333335,3.3333333333333335,28.0,0.0,9.549999999999999,2.0,0.8333333333333334,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.35000000000000003,29.166666666666668,39.53333333333334,18.216666666666665,11.9,28.36666666666667,30.099999999999998,17.47142857142857,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,16.3,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
8,Mike Tolbert,3.0,8.5,2.5500000000000003,0.0,1.0,0.6666666666666666,2.1666666666666665,0.0,1.7333333333333332,0.2,0.8333333333333334,1.8333333333333333,0.7000000000000001,0.0,0.16666666666666666,0.16666666666666666,-0.3333333333333333,0.0,0.3166666666666667,20.333333333333332,27.566666666666666,13.18333333333333,5.283333333333334,16.933333333333334,18.5,17.47142857142857,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,16.3,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
9,Todd Gurley,21.0,61.0,2.866666666666667,0.6666666666666666,2.0,1.0,3.0,0.0,11.4,13.2,2.6666666666666665,6.333333333333333,-0.2333333333333334,0.6666666666666666,0.0,0.0,0.0,0.0,4.633333333333334,44.333333333333336,70.56666666666666,47.0,4.733333333333333,49.300000000000004,51.800000000000004,21.53333333333333,False,9.5,43.5,17.0,14.0,60.0,262.6875,4.4,15.3125,13.3125,31.5,2.125,47.1,28.0,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
10,Benjamin Cunningham,1.3333333333333333,10.666666666666666,5.833333333333333,0.0,1.3333333333333333,1.0,8.0,0.0,2.866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,19.666666666666668,10.733333333333334,10.733333333333334,18.9,21.46666666666667,21.53333333333333,False,9.5,43.5,17.0,14.0,60.0,262.6875,4.4,15.3125,13.3125,31.5,2.125,47.1,28.0,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
11,Chase Reynolds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.53333333333333,False,9.5,43.5,17.0,14.0,60.0,262.6875,4.4,15.3125,13.3125,31.5,2.125,47.1,28.0,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
12,Malcolm Brown,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,0.7666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.766666666666667,3.033333333333333,3.033333333333333,6.066666666666666,6.066666666666666,21.53333333333333,False,9.5,43.5,17.0,14.0,60.0,262.6875,4.4,15.3125,13.3125,31.5,2.125,47.1,28.0,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,94.875,3.6,25.9,1.0
