,Name,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
0,Taylor Gabriel,6.0,4.5,78.55,27.5,0.0,4.65,6.25,1.5,8.5,2.85,0.0,8.1,9.4,1.5,1.0,75.0,0.5,0.0,-1.0,0.5,0.0,0.0,0.0,0.0,1.05,61.5,90.6,2.4,9.7,9.7,12.100000000000001,33.4,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,32.234200743494426,65.5,243.42379182156134,7.6,11.5,2.111895910780669,100,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
1,Allen Robinson,10.5,7.0,64.25,72.0,0.0,7.3,11.75,0.0,0.0,0.0,0.0,14.2,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,95.6,0.0,16.3,10.95,16.3,33.4,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,32.234200743494426,65.5,243.42379182156134,7.6,11.5,2.111895910780669,100,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
2,Anthony Miller,3.0,2.0,66.7,12.5,0.5,4.2,6.25,0.0,0.0,0.0,0.0,6.25,7.5,1.5,0.5,25.0,5.0,0.5,2.5,5.0,0.0,0.0,0.0,0.0,4.0,38.0,55.900000000000006,0.0,7.9,5.25,7.9,33.4,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,32.234200743494426,65.5,243.42379182156134,7.6,11.5,2.111895910780669,100,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
3,Emmanuel Sanders,9.0,6.666666666666667,76.51666666666667,83.5,0.3333333333333333,10.683333333333335,13.083333333333334,0.3333333333333333,8.833333333333334,8.833333333333334,0.16666666666666666,19.9,30.32,0.8333333333333334,0.5,12.5,3.5,0.0,0.8666666666666667,1.1666666666666667,0.0,0.0,0.0,0.0,0.85,60.166666666666664,87.68333333333334,0.6,14.666666666666664,11.483333333333334,15.25,34.46666666666667,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,36.813658536585365,63.7,250.68878048780488,6.8,10.7,1.3346341463414635,83,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
4,Courtland Sutton,5.0,2.1666666666666665,46.949999999999996,36.333333333333336,0.16666666666666666,8.133333333333333,15.883333333333333,0.0,0.0,0.0,0.0,6.800000000000001,9.8,0.6666666666666666,0.16666666666666666,4.166666666666667,1.3333333333333333,0.16666666666666666,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,1.3,47.833333333333336,69.8,0.0,10.683333333333335,4.883333333333334,10.683333333333335,34.46666666666667,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,36.813658536585365,63.7,250.68878048780488,6.8,10.7,1.3346341463414635,83,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
5,Demaryius Thomas,7.166666666666667,4.666666666666667,70.15,55.0,0.5,9.266666666666667,12.116666666666667,0.0,0.0,0.0,0.0,13.666666666666666,9.2,1.0,1.0,50.0,4.5,0.3333333333333333,2.283333333333333,2.283333333333333,0.0,0.0,0.0,0.0,3.4500000000000006,52.0,76.51666666666667,0.0,13.6,8.950000000000001,13.6,34.46666666666667,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,36.813658536585365,63.7,250.68878048780488,6.8,10.7,1.3346341463414635,83,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
6,Tim Patrick,0.8333333333333334,0.3333333333333333,25.0,5.333333333333333,0.0,3.1666666666666665,5.333333333333333,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,5.883333333333333,0.0,14.816666666666668,6.95,14.816666666666668,34.46666666666667,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,36.813658536585365,63.7,250.68878048780488,6.8,10.7,1.3346341463414635,83,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
7,Brandin Cooks,8.0,5.0,62.5,87.0,0.0,10.9,17.4,1.0,6.0,6.0,0.0,14.3,25.9,1.0,1.0,100.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.4,61.0,96.8,1.6,13.1,9.8,14.8,14.5,True,-13.5,43.5,28.5,33.5,64.8,448.0,6.9,25.0,11.7,45.3,5.3,56.6,33.4,68.3,303.2,9.1,13.3,2.2,111,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
8,Robert Woods,9.0,3.0,33.3,37.0,0.0,4.1,12.3,1.0,6.0,6.0,0.0,7.3,14.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.6,61.0,96.8,1.6,14.8,6.6,16.4,14.5,True,-13.5,43.5,28.5,33.5,64.8,448.0,6.9,25.0,11.7,45.3,5.3,56.6,33.4,68.3,303.2,9.1,13.3,2.2,111,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
9,Cooper Kupp,9.0,5.0,55.6,52.0,1.0,5.8,10.4,2.0,16.0,8.0,0.0,17.8,12.3,3.0,1.0,33.3,8.0,1.0,2.7,8.0,1.0,4.0,4.0,0.0,8.2,61.0,96.8,3.3,14.8,11.5,18.0,14.5,True,-13.5,43.5,28.5,33.5,64.8,448.0,6.9,25.0,11.7,45.3,5.3,56.6,33.4,68.3,303.2,9.1,13.3,2.2,111,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
10,Adam Thielen,13.2,9.4,70.53999999999999,117.8,0.6,9.379999999999999,13.780000000000001,0.0,0.0,0.0,0.0,27.779999999999994,32.3,1.4,0.8,56.660000000000004,3.2,0.2,2.5,3.2,0.0,0.0,0.0,0.0,2.3200000000000003,67.4,97.41999999999999,0.0,19.619999999999997,13.959999999999999,19.619999999999997,31.9,True,-9.5,43.5,26.5,24.6,65.00633484162897,375.01085972850683,5.8,20.81538461538462,13.246153846153847,38.7,3.005429864253394,55.6,40.40633484162896,71.3,283.17828054298644,7.0,9.8,1.8923076923076925,101,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
11,Laquon Treadwell,5.0,3.0,63.08,28.4,0.2,5.68,9.5,0.0,0.0,0.0,0.0,7.039999999999999,7.8,0.4,0.2,20.0,2.8,0.2,2.8,2.8,0.0,0.0,0.0,0.0,1.6800000000000002,43.4,62.720000000000006,0.0,11.84,7.06,11.84,31.9,True,-9.5,43.5,26.5,24.6,65.00633484162897,375.01085972850683,5.8,20.81538461538462,13.246153846153847,38.7,3.005429864253394,55.6,40.40633484162896,71.3,283.17828054298644,7.0,9.8,1.8923076923076925,101,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
12,Stefon Diggs,11.0,7.4,64.67999999999999,80.4,0.6,7.040000000000001,10.6,0.8,6.8,4.3,0.0,21.32,7.2,0.8,0.6,40.0,2.2,0.2,1.4,1.4,0.0,0.0,0.0,0.0,2.4200000000000004,59.0,85.3,1.4,18.66,14.0,20.06,31.9,True,-9.5,43.5,26.5,24.6,65.00633484162897,375.01085972850683,5.8,20.81538461538462,13.246153846153847,38.7,3.005429864253394,55.6,40.40633484162896,71.3,283.17828054298644,7.0,9.8,1.8923076923076925,101,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
13,Aldrick Robinson,1.3333333333333333,1.0,66.66666666666667,14.0,0.6666666666666666,8.5,8.5,0.0,0.0,0.0,0.0,6.3999999999999995,0.0,1.0,0.6666666666666666,33.333333333333336,11.0,0.6666666666666666,5.5,5.5,0.0,0.0,0.0,0.0,5.766666666666667,10.666666666666666,16.166666666666668,0.0,13.800000000000002,11.566666666666668,13.800000000000002,31.9,True,-9.5,43.5,26.5,24.6,65.00633484162897,375.01085972850683,5.8,20.81538461538462,13.246153846153847,38.7,3.005429864253394,55.6,40.40633484162896,71.3,283.17828054298644,7.0,9.8,1.8923076923076925,101,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
14,Tyler Lockett,5.666666666666667,4.0,71.03333333333335,65.33333333333333,1.0,12.066666666666668,16.966666666666665,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,16.7,10.3,0.3333333333333333,0.3333333333333333,33.333333333333336,6.333333333333333,0.3333333333333333,6.333333333333333,6.333333333333333,0.0,0.0,0.0,0.0,2.966666666666667,59.0,92.5,0.5333333333333333,9.533333333333333,7.3,10.1,30.96666666666667,False,-3.5,40.0,21.75,24.3,62.58082191780822,347.6342465753425,5.6,19.972602739726028,12.427397260273974,37.5,2.8849315068493153,73.1,27.406849315068495,66.0,195.6205479452055,7.1,10.8,2.33013698630137,107,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
15,Doug Baldwin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.3,0.0,9.1,0.0,9.1,30.96666666666667,False,-3.5,40.0,21.75,24.3,62.58082191780822,347.6342465753425,5.6,19.972602739726028,12.427397260273974,37.5,2.8849315068493153,73.1,27.406849315068495,66.0,195.6205479452055,7.1,10.8,2.33013698630137,107,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
16,Brandon Marshall,6.0,3.0,50.0,40.0,0.3333333333333333,6.666666666666667,13.766666666666666,0.0,0.0,0.0,0.0,9.0,1.5,0.6666666666666666,0.3333333333333333,16.666666666666668,6.666666666666667,0.3333333333333333,3.3333333333333335,6.666666666666667,0.0,0.0,0.0,0.0,3.0,44.333333333333336,69.16666666666667,0.0,13.833333333333334,6.766666666666667,13.833333333333334,30.96666666666667,False,-3.5,40.0,21.75,24.3,62.58082191780822,347.6342465753425,5.6,19.972602739726028,12.427397260273974,37.5,2.8849315068493153,73.1,27.406849315068495,66.0,195.6205479452055,7.1,10.8,2.33013698630137,107,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
17,Jaron Brown,3.0,2.0,66.66666666666667,22.666666666666668,0.3333333333333333,7.533333333333334,10.5,0.0,0.0,0.0,0.0,6.266666666666667,0.0,0.6666666666666666,0.6666666666666666,66.66666666666667,7.666666666666667,0.3333333333333333,7.666666666666667,7.666666666666667,0.0,0.0,0.0,0.0,3.433333333333333,43.333333333333336,67.2,0.0,7.166666666666667,4.466666666666667,7.166666666666667,30.96666666666667,False,-3.5,40.0,21.75,24.3,62.58082191780822,347.6342465753425,5.6,19.972602739726028,12.427397260273974,37.5,2.8849315068493153,73.1,27.406849315068495,66.0,195.6205479452055,7.1,10.8,2.33013698630137,107,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
18,Trent Taylor,3.75,2.25,52.099999999999994,16.0,0.0,3.675,5.25,0.0,0.0,0.0,0.0,3.8499999999999996,19.1,0.5,0.5,25.0,3.75,0.0,1.875,1.875,0.0,0.0,0.0,0.0,0.875,27.25,42.400000000000006,0.0,13.600000000000001,7.325,13.600000000000001,29.925,True,-3.0,40.5,21.75,23.0,63.3,356.5,5.6,21.6,12.1,39.7,3.2,46.9,31.9,62.1,222.9,7.0,11.3,1.7,85,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
19,Pierre Garcon,5.25,2.75,53.849999999999994,35.25,0.0,6.9750000000000005,12.175,0.0,0.0,0.0,0.0,6.275,9.7,0.75,0.25,25.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.35,50.25,77.95,0.0,10.475000000000001,5.575,10.475000000000001,29.925,True,-3.0,40.5,21.75,23.0,63.3,356.5,5.6,21.6,12.1,39.7,3.2,46.9,31.9,62.1,222.9,7.0,11.3,1.7,85,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
