Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTurnoverDifferential,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentRushingAttempts,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSackedYards,OpponentPasserRating
SF,26.6,266,633,3442,5.4,203,50,133,37.6,23,40,57.5,63,544,15,1022,4.1,59,23.4,25,6.6,58,15.2,252,7,56,215,356,60.4,2420,6.8,11.3,21,2,127,151,98
CHI,19.4,175,577,2876,5,164,43,125,34.4,13,19,68.4,68,631,-13,756,3.6,54,25.7,30,8.2,58,15.8,210,2,41,211,337,62.6,2120,6.3,10,17,16,105,183,78
CIN,32,288,644,4091,6.4,238,73,130,56.2,24,35,68.6,65,537,-2,1271,5,37,14.5,21,5.4,56,14.4,255,11,73,246,368,66.8,2820,7.7,11.5,21,10,145,91,97
BUF,25.1,251,611,3022,4.9,187,50,131,38.2,21,31,67.7,61,539,7,998,4,72,28.6,25,7,58,16.2,252,10,61,215,334,64.4,2024,6.1,9.4,14,8,112,142,85
DEN,23.7,213,571,3276,5.7,169,45,120,37.5,17,29,58.6,63,489,0,1184,4.8,53,21.5,28,8.6,57,17.5,246,8,51,187,297,63,2092,7,11.2,16,8,102,184,91
CLE,26.3,263,723,4197,5.8,244,49,133,36.8,24,36,66.7,70,618,-12,1321,4.7,63,22.2,24,5.5,60,13.7,284,14,80,259,415,62.4,2876,6.9,11.1,16,13,146,148,83
TB,32.3,291,558,3600,6.5,201,41,106,38.7,28,32,87.5,71,651,19,973,4.4,55,25.1,21,6.2,53,15.6,219,12,61,234,318,73.6,2627,8.3,11.2,23,1,122,128,121
ARI,25,225,609,3272,5.4,198,48,121,39.7,17,29,58.6,65,503,7,1263,4.3,73,25.1,29,9.1,58,18.2,291,13,72,196,289,67.8,2009,7,10.2,11,6,107,202,92
LAC,20.7,186,572,3209,5.6,187,50,119,42,14,30,46.7,55,452,-6,1013,4.5,52,23,26,7.5,61,17.6,226,3,57,205,320,64.1,2196,6.9,10.7,15,10,112,178,87
KC,24,240,690,4107,6,257,44,121,36.4,23,33,69.7,66,543,-7,1217,5.1,50,20.8,31,6.9,65,14.4,240,12,78,265,419,63.2,2890,6.9,10.9,16,11,154,217,85
