Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Jordan Franks,CIN,TE,1,1,1,1.5,0,100,100,100,4.2,420
2,Erik Swoope,IND,TE,5,55,11,11.2,0,14.5,12.7,14.5,33.3,60.5
3,Eric Ebron,IND,TE,9,360,40,56,0.6,18.1,11.4,18.6,148.4,41.2
4,Seth DeValve,CLE,TE,7,39,5.6,7.8,0,10.3,7.7,10.3,14.4,36.9
5,Mo Alie-Cox,IND,TE,5,105,21,29.3,0,9.5,5.7,9.5,29.2,27.8
6,Will Dissly,SEA,TE,4,127,31.8,49.2,0,11,6.3,11,38.6,30.4
7,Michael Roberts,DET,TE,6,127,21.2,30.4,0,9.4,4.7,9.4,32.4,25.5
8,OJ Howard,TB,TE,9,385,42.8,59.6,0,10.9,7.5,10.9,107.7,28
9,Ed Dickson,SEA,TE,3,69,23,32.5,0,5.8,4.3,5.8,16.8,24.3
10,Travis Kelce,KC,TE,10,608,60.8,94.6,0,14.1,9.4,14.1,180.7,29.7
11,Tyler Eifert,CIN,TE,4,132,33,49.1,0,14.4,11.4,14.4,38.9,29.5
12,Zach Ertz,PHI,TE,9,613,68.1,97,0,16.3,12.2,16.3,195.9,32
13,George Kittle,SF,TE,10,561,56.1,84.4,0,12.7,8.9,12.7,153.5,27.4
14,Vance McDonald,PIT,TE,8,299,37.4,53.9,0,12.7,10,12.7,83,27.8
15,Chris Herndon IV,NYJ,TE,8,271,33.9,43.5,0,9.6,7,9.6,62.7,23.1
16,Jared Cook,OAK,TE,9,456,50.7,77.4,0,12.9,9.2,12.9,120.6,26.4
17,Trey Burton,CHI,TE,9,478,53.1,80.1,0.2,9.4,7.1,9.6,109.3,22.9
17,Mark Andrews,BAL,TE,9,238,26.4,35.4,0,13.4,8.8,13.4,57.4,24.1
19,Anthony Firkser,TEN,TE,3,24,8,14.3,0,12.5,12.5,12.5,6.6,27.5
20,Greg Olsen,CAR,TE,6,302,50.3,69.1,0,9.9,7.3,9.9,65.8,21.8
21,Gerald Everett,LAR,TE,10,167,16.7,24.9,0,13.8,9,13.8,39.1,23.4
22,Dallas Goedert,PHI,TE,9,272,30.2,43,0,7.7,6.6,7.7,54.8,20.1
23,Delanie Walker,TEN,TE,1,39,39,56.5,0,17.9,10.3,17.9,9.2,23.6
24,Antonio Gates,LAC,TE,9,168,18.7,31.5,0,13.7,7.7,13.7,35.1,20.9
25,Cameron Brate,TB,TE,9,239,26.6,37,0,9.6,6.3,9.6,46.3,19.4
26,Jesse James,PIT,TE,9,371,41.2,58.1,0,7.5,5.9,7.5,71.4,19.2
27,Benjamin Watson,NO,TE,9,333,37,54.1,0,10.2,8.1,10.2,68.3,20.5
28,Austin Hooper,ATL,TE,9,507,56.3,82,0,10.8,9.1,10.8,107.8,21.3
29,Jacob Hollister,NE,TE,4,43,10.8,10.2,0,11.6,9.3,11.6,9.2,21.4
30,Jordan Reed,WAS,TE,9,376,41.8,62.7,0,15.7,9.8,15.7,81.1,21.6
31,Jimmy Graham,GB,TE,9,501,55.7,81.2,0,11.2,6.6,11.2,91.9,18.3
31,Evan Engram,NYG,TE,6,287,47.8,72.8,0.3,10.8,7.7,11.1,53.1,18.5
33,Rob Gronkowski,NE,TE,7,443,63.3,70.9,0,9.7,6.5,9.7,81.8,18.5
33,Jordan Thomas,HOU,TE,9,278,30.9,44.6,0,5,3.2,5,39.7,14.3
35,Hayden Hurst,BAL,TE,5,114,22.8,31.8,0.9,8.8,4.4,9.6,15.7,13.8
36,Jason Croom,BUF,TE,10,228,22.8,34.4,0,9.2,5.7,9.2,37.1,16.3
36,Demetrius Harris,KC,TE,9,211,23.4,35.9,0,5.2,2.4,5.2,26.4,12.5
38,Vernon Davis,WAS,TE,9,291,32.3,48.5,0,7.2,5.2,7.2,44.2,15.2
39,Nick Vannett,SEA,TE,8,320,40,60.4,0,9.7,6.2,9.7,50.6,15.8
40,Matt LaCosse,DEN,TE,9,135,15,22.2,0,11.1,7.4,11.1,22.8,16.9
41,Jack Doyle,IND,TE,4,241,60.2,87.3,0,10.4,7.5,10.4,41.6,17.3
42,Niles Paul,JAX,TE,6,103,17.2,25.8,1,12.6,10.7,13.6,19.5,18.9
43,David Grinnage,JAX,TE,3,68,22.7,37.8,0,11.8,8.8,11.8,12.1,17.8
44,Kyle Rudolph,MIN,TE,9,525,58.3,86.3,0,8.4,6.5,8.4,80.9,15.4
45,Ricky Seals-Jones,ARI,TE,9,370,41.1,70.9,0,13,6.5,13,56.7,15.3
45,Jake Butt,DEN,TE,3,97,32.3,46.6,0,12.4,8.2,12.4,16.5,17
45,Tyrone Swoopes,SEA,TE,1,26,26,20.5,0,3.8,3.8,3.8,3.3,12.7
48,AJ Derby,MIA,TE,4,124,31,34.7,0,4,2.4,4,13.8,11.1
49,Nick O'Leary,MIA,TE,4,161,40.2,60.1,0,5,4.3,5,20.7,12.9
50,David Njoku,CLE,TE,10,588,58.8,81.2,0,9.9,6.1,9.9,84.8,14.4
51,CJ Uzomah,CIN,TE,9,432,48,77.6,0,6.2,4.6,6.2,52.7,12.2
52,Jeff Heuerman,DEN,TE,9,464,51.6,76.2,0,8.6,5.4,8.6,58.7,12.7
53,Lance Kendricks,GB,TE,9,209,23.2,33.9,0,6.7,4.3,6.7,24.1,11.5
54,Joshua Perkins,PHI,TE,9,95,10.6,15,0,11.6,5.3,11.6,11.7,12.3
55,James O'Shaughnessy,JAX,TE,7,209,29.9,38.8,0,11,6.7,11,28.7,13.7
56,Austin Seferian-Jenkins,JAX,TE,5,221,44.2,63,0,9,5,9,26,11.8
57,Rhett Ellison,NYG,TE,8,309,38.6,60.4,0,5.8,4.5,5.8,34.3,11.1
58,Dalton Schultz,DAL,TE,4,53,13.2,20.5,0,9.4,5.7,9.4,6.3,11.9
59,Geoff Swaim,DAL,TE,8,457,57.1,79.3,0,5.9,4.8,5.9,49.8,10.9
59,Rico Gathers,DAL,TE,8,76,9.5,14.8,0,7.9,2.6,7.9,6.6,8.7
61,Virgil Green,LAC,TE,9,376,41.8,70.4,0,4.3,3.5,4.3,35.2,9.4
61,Mike Gesicki,MIA,TE,10,258,25.8,42.7,0,9.3,6.6,9.3,32.1,12.4
63,Maxx Williams,BAL,TE,7,231,33,34.3,0.9,6.1,6.9,6.9,27.5,11.9
64,Ross Dwelley,SF,TE,4,14,3.5,5.6,0,7.1,7.1,7.1,1.8,12.9
65,Darren Fells,CLE,TE,10,277,27.7,38.3,0,2.5,2.2,2.5,21,7.6
66,Josh Hill,NO,TE,9,369,41,60,0,3.3,2.7,3.3,29.4,8
67,Jonnu Smith,TEN,TE,9,461,51.2,81.6,0,3.9,2.2,3.9,34.2,7.4
67,Luke Stocker,TEN,TE,9,266,29.6,47.1,0,4.1,3,4.1,21.9,8.2
69,Tyler Higbee,LAR,TE,10,520,52,77.5,0,3.5,2.1,3.5,36.5,7
69,Jordan Leggett,NYJ,TE,9,195,21.7,34.9,0,5.6,3.1,5.6,15.5,7.9
69,Blake Bell,JAX,TE,3,81,27,39.1,0,6.2,3.7,6.2,7,8.6
72,Logan Paulsen,ATL,TE,9,238,26.4,38.5,0,2.1,2.1,2.1,16.1,6.8
72,Eric Saubert,ATL,TE,9,70,7.8,11.3,0,8.6,4.3,8.6,6.3,9
74,Garrett Celek,SF,TE,10,201,20.1,30.2,0,2.5,1.5,2.5,11.9,5.9
75,Charles Clay,BUF,TE,9,347,38.6,52.4,0,8.9,5.5,8.9,34.9,10.1
76,Logan Thomas,BUF,TE,8,184,23,34.3,0,7.1,6.5,7.6,18.8,10.2
77,Ryan Griffin,HOU,TE,7,381,54.4,68.2,0,7.1,2.9,7.1,26.3,6.9
77,Xavier Grimble,PIT,TE,9,109,12.1,17.1,0,3.7,2.8,3.7,7.4,6.8
79,Ian Thomas,CAR,TE,9,222,24.7,38.6,0,7.7,5,7.7,19.7,8.9
80,Nick Boyle,BAL,TE,9,361,40.1,53.6,0,7.5,3.9,7.5,27.6,7.6
80,Hakeem Valles,DET,TE,3,29,9.7,11.2,0,10.3,6.9,10.3,3.1,10.7
82,Jordan Akins,HOU,TE,9,240,26.7,38.5,0,5.8,3.8,5.8,17.9,7.5
82,Ben Braunecker,CHI,TE,8,54,6.8,9,0,3.7,1.9,3.7,3,5.6
84,Marcedes Lewis,GB,TE,9,108,12,17.5,0,2.8,1.9,2.8,5.5,5.1
85,Tyler Kroft,CIN,TE,5,116,23.2,23.3,0,5.2,3.4,5.2,7.6,6.6
86,Derek Carrier,OAK,TE,9,132,14.7,22.4,0,7.6,3.8,7.6,8.8,6.7
87,Luke Willson,DET,TE,8,264,33,43.4,0,5.7,4.2,5.7,18.5,7
88,Blake Jarwin,DAL,TE,9,154,17.1,26.7,0,5.2,2.6,5.2,8.2,5.3
89,Eric Tomlinson,NYJ,TE,10,245,24.5,39.3,0,5.3,2.9,5.3,13.1,5.3
89,Matt Lengel,CIN,TE,2,16,8,12.9,0,12.5,6.2,12.5,1.4,8.8
91,Jermaine Gresham,ARI,TE,7,207,29.6,48.8,0,3.4,2.9,3.4,11.8,5.7
