Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Tim White,BAL,WR,3,2,0.7,0.8,0,50,50,50,2.4,120
2,Isaiah McKenzie,BUF,WR,2,10,5,6.8,30,10,40,40,5.6,56
3,Curtis Samuel,CAR,WR,6,96,16,21.8,4.2,16.7,16.7,20.8,51.7,53.9
4,Brandon Zylstra,MIN,WR,9,6,0.7,1,0,16.7,16.7,16.7,3.3,55
5,Aldrick Robinson,MIN,WR,7,89,12.7,19.2,0,14.6,7.9,14.6,36.5,41
6,Dwayne Harris,OAK,WR,8,14,1.8,2.7,14.3,35.7,50,50,9.3,66.4
7,Albert Wilson,MIA,WR,7,231,33,48.2,3.5,15.2,15.2,19,99.78,43.2
8,DeSean Jackson,TB,WR,9,335,37.2,51.9,1.2,16.4,11,17.6,143.2,42.7
9,Tavon Austin,DAL,WR,6,106,17.7,20.8,5.7,9.4,12.3,15.1,37.5,35.4
10,Tyreek Hill,KC,WR,10,563,56.3,87.6,2.3,14.2,12.1,16.5,221.2,39.3
11,Calvin Ridley,ATL,WR,9,356,39.6,57.6,1.4,13.8,11.5,15.2,133.2,37.4
11,Cordarrelle Patterson,NE,WR,10,161,16.1,23.4,19.9,9.9,27.3,29.8,61.7,38.3
13,De'Anthony Thomas,KC,WR,5,36,7.2,10.7,2.8,13.9,11.1,16.7,12.5,34.7
14,Michael Thomas,NO,WR,9,539,59.9,87.6,0,16.1,14.5,16.1,222,41.2
15,Adam Thielen,MIN,WR,9,586,65.1,96.4,0.3,17.9,13.7,18.3,239.7,40.9
15,Julio Jones,ATL,WR,9,494,54.9,79.9,0.2,20.6,13.8,20.9,201.1,40.7
17,AJ Green,CIN,WR,8,442,55.2,79.4,0,17.2,10.2,17.2,154.7,35
18,Davante Adams,GB,WR,9,576,64,93.4,0,16.3,10.8,16.3,203.7,35.4
19,Cooper Kupp,LAR,WR,8,439,54.9,72,0.9,12.8,10,13.7,138.1,31.5
20,Antonio Brown,PIT,WR,9,604,67.1,94.5,0,15.9,9.4,15.9,192,31.8
21,Leonte Carroo,MIA,WR,3,16,5.3,8.4,6.2,6.2,12.5,12.5,4.4,27.5
22,DeAndre Hopkins,HOU,WR,9,619,68.8,99.4,0.2,14.5,10.5,14.9,204.7,33.1
22,Odell Beckham Jr,NYG,WR,9,551,61.2,95.5,0.7,18.5,12.7,19.4,195.88,35.5
22,Ryan Switzer,PIT,WR,9,93,10.3,14.6,4.3,23.7,23.7,28,37.3,40.1
25,Tyler Boyd,CIN,WR,9,480,53.3,86.2,0.4,14.6,11.2,15,159.8,33.3
25,Mike Williams,LAC,WR,9,318,35.3,59.6,1.3,10.1,6.9,11.3,83.4,26.2
27,Derrick Willies,CLE,WR,5,30,6,7.7,0,16.7,10,16.7,9.1,30.3
28,Emmanuel Sanders,DEN,WR,9,524,58.2,86,0.6,14.1,11.5,14.9,169.52,32.4
29,Will Fuller,HOU,WR,7,375,53.6,77,0,12,8.5,12,115.3,30.7
30,Mike Evans,TB,WR,9,537,59.7,83.1,0,15.6,9.3,15.6,168.7,31.4
30,Golden Tate,PHI,WR,8,385,48.1,73.8,0.8,19,12.7,19.7,127.8,33.2
32,Keenan Allen,LAC,WR,9,441,49,82.6,1.6,17,13.6,18.6,146.1,33.1
