Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Ezekiel Elliott,DAL,RB,10,PHI,19,151,7.9,1,7,6,36,1,1,0,39.7,39.7
2,Nick Chubb,CLE,RB,10,ATL,20,176,8.8,1,3,3,33,1,0,0,38.9,38.9
3,David Johnson,ARI,RB,10,KC,21,98,4.7,1,9,7,85,1,0,0,37.3,37.3
4,Christian McCaffrey,CAR,RB,10,PIT,14,77,5.5,1,5,5,61,2,0,0,36.8,36.8
5,Aaron Jones,GB,RB,10,MIA,15,145,9.7,2,5,3,27,0,0,0,35.2,35.2
6,Matt Breida,SF,RB,10,NYG,17,101,5.9,1,4,3,31,1,0,0,31.2,31.2
7,Mark Ingram,NO,RB,10,CIN,13,104,8,0,3,3,58,1,0,0,28.2,28.2
8,Todd Gurley,LAR,RB,10,SEA,16,120,7.5,1,4,3,40,0,0,0,28,28
9,Leonard Fournette,JAX,RB,10,IND,24,53,2.2,1,5,5,56,1,0,0,27.9,27.9
10,LeSean McCoy,BUF,RB,10,NYJ,26,113,4.3,2,1,1,5,0,0,0,27.8,27.8
11,Melvin Gordon,LAC,RB,10,OAK,18,93,5.2,0,6,5,72,1,0,0,27.5,27.5
12,Alvin Kamara,NO,RB,10,CIN,12,56,4.7,2,5,4,46,0,0,0,26.2,26.2
13,Kerryon Johnson,DET,RB,10,CHI,14,51,3.6,1,6,6,38,1,1,1,25.9,25.9
14,Jacquizz Rodgers,TB,RB,10,WAS,1,0,0,0,8,8,102,0,1,1,20.2,20.2
15,Rashaad Penny,SEA,RB,10,LAR,12,108,9,1,0,0,0,0,0,0,19.8,19.8
16,Mike Davis,SEA,RB,10,LAR,11,58,5.3,0,6,4,22,1,0,0,18,18
17,Derrick Henry,TEN,RB,10,NE,11,58,5.3,2,0,0,0,0,0,0,17.8,17.8
18,Tarik Cohen,CHI,RB,10,DET,7,15,2.1,1,7,6,29,0,0,0,16.4,16.4
19,Duke Johnson,CLE,RB,10,ATL,3,15,5,0,4,4,31,1,0,0,14.6,14.6
20,James Conner,PIT,RB,10,CAR,13,65,5,1,1,1,8,0,0,0,14.3,14.3
21,Saquon Barkley,NYG,RB,10,SF,20,67,3.4,0,5,4,33,0,0,0,14,14
22,Frank Gore,MIA,RB,10,GB,13,90,6.9,0,3,2,12,0,0,0,12.2,12.2
22,Doug Martin,OAK,RB,10,LAC,15,61,4.1,0,3,3,31,0,0,0,12.2,12.2
24,Theo Riddick,DET,RB,10,CHI,0,0,0,0,7,6,60,0,0,0,12,12
25,Jaylen Samuels,PIT,FB,10,CAR,5,7,1.4,0,4,3,22,1,0,0,11.9,11.9
26,Isaiah Crowell,NYJ,RB,10,BUF,7,19,2.7,1,2,2,18,0,0,0,11.7,11.7
27,Kareem Hunt,KC,RB,10,ARI,16,71,4.4,0,2,2,25,0,0,0,11.6,11.6
28,TJ Yeldon,JAX,RB,10,IND,3,12,4,0,6,5,51,0,0,0,11.3,11.3
29,Jalen Richard,OAK,RB,10,LAC,3,7,2.3,0,6,5,52,0,0,0,10.9,10.9
30,Joe Mixon,CIN,RB,10,NO,11,61,5.5,0,2,2,24,0,0,0,10.5,10.5
31,Tevin Coleman,ATL,RB,10,CLE,11,44,4,0,5,3,19,0,0,0,9.3,9.3
32,Adrian Peterson,WAS,RB,10,TB,19,68,3.6,0,2,2,1,0,0,0,8.9,8.9
33,Dion Lewis,TEN,RB,10,NE,20,57,2.8,0,2,2,11,0,0,0,8.8,8.8
34,Elijah McGuire,NYJ,RB,10,BUF,6,30,5,0,6,3,27,0,0,0,8.7,8.7
35,Spencer Ware,KC,RB,10,ARI,2,6,3,1,1,1,7,0,0,0,8.3,8.3
36,Marlon Mack,IND,RB,10,JAX,12,29,2.4,0,2,2,9,0,0,0,7.8,7.8
37,Peyton Barber,TB,RB,10,WAS,13,61,4.7,0,1,1,5,0,0,0,7.6,7.6
37,James White,NE,RB,10,TEN,1,-5,-5,0,8,5,31,0,0,0,7.6,7.6
