Rank,Name,Team,Position,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Andrew Luck,IND,QB,16,26,61.5,138,5.3,10,0,115.06,2,12,6,0,48.7,48.72
2,Patrick Mahomes,KC,QB,17,21,81,151,7.2,10,0,136.21,1,1,1,0,46.1,46.14
3,Cam Newton,CAR,QB,10,12,83.3,98,8.2,7,0,140.28,6,32,5.3,1,43.1,43.12
4,Drew Brees,NO,QB,16,21,76.2,110,5.2,8,0,126.98,2,2,1,1,42.6,42.6
5,Jared Goff,LAR,QB,14,21,66.7,118,5.6,8,0,120.63,2,0,0,0,40.7,40.72
6,Russell Wilson,SEA,QB,13,21,61.9,97,4.6,9,1,92.66,1,6,6,0,39.5,39.48
7,Dak Prescott,DAL,QB,11,24,45.8,88,3.7,4,1,77.78,6,29,4.8,3,39.4,39.42
8,Carson Wentz,PHI,QB,13,21,61.9,74,3.5,8,0,107.94,3,4,1.3,0,35.4,35.36
9,Ben Roethlisberger,PIT,QB,13,19,68.4,80,4.2,6,0,116.23,1,1,1,1,35.3,35.3
10,Mitch Trubisky,CHI,QB,9,16,56.2,32,2,4,0,101.04,4,24,6,2,33.7,33.68
11,Baker Mayfield,CLE,QB,12,16,75,108,6.8,7,0,132.29,2,1,0.5,0,32.4,32.42
12,Deshaun Watson,HOU,QB,12,15,80,91,6.1,7,0,131.53,1,6,6,0,32.2,32.24
13,Jameis Winston,TB,QB,11,20,55,111,5.6,5,2,71.04,4,21,5.2,1,30.5,30.54
14,Aaron Rodgers,GB,QB,8,23,34.8,81,3.5,6,0,85.33,2,9,4.5,0,28.1,28.14
15,Marcus Mariota,TEN,QB,11,21,52.4,77,3.7,4,1,80.75,6,26,4.3,1,26.7,26.68
16,Andy Dalton,CIN,QB,9,14,64.3,65,4.6,6,0,114.58,0,0,0,0,26.6,26.6
17,Kirk Cousins,MIN,QB,13,20,65,61,3,4,0,108.54,3,7,2.3,1,24.1,24.14
18,Eli Manning,NYG,QB,15,39,38.5,110,2.8,5,1,75.53,3,7,2.3,0,24.1,24.1
19,Matthew Stafford,DET,QB,10,20,50,90,4.5,5,1,81.25,2,8,4,0,23.4,23.4
20,Matt Ryan,ATL,QB,13,18,72.2,76,4.2,5,0,119.44,0,0,0,0,23,23.04
21,Josh Allen,BUF,QB,2,8,25,8,1,0,1,0,7,39,5.6,3,21.2,21.22
22,Sam Darnold,NYJ,QB,6,8,75,65,8.1,3,0,138.02,2,1,0.5,1,20.7,20.7
23,Josh Rosen,ARI,QB,9,21,42.9,65,3.1,4,0,90.28,0,0,0,0,20.6,20.6
24,CJ Beathard,SF,QB,7,14,50,52,3.7,3,0,98.81,3,5,1.7,1,20.6,20.58
25,Ryan Fitzpatrick,TB,QB,5,16,31.2,36,2.2,4,1,54.17,6,19,3.2,0,19.3,19.34
26,Joe Flacco,BAL,QB,6,16,37.5,35,2.2,4,0,85.42,0,0,0,0,17.4,17.4
27,Alex Smith,WAS,QB,8,13,61.5,60,4.6,3,0,112.18,3,20,6.7,0,16.4,16.4
28,Tom Brady,NE,QB,10,21,47.6,68,3.2,3,0,94.84,2,2,1,0,14.9,14.92
29,Case Keenum,DEN,QB,9,20,45,70,3.5,3,0,93.75,0,0,0,0,14.8,14.8
30,Tyrod Taylor,CLE,QB,1,2,50,17,8.5,1,0,118.75,1,20,20,1,12.7,12.68
31,Nathan Peterman,BUF,QB,4,4,100,31,7.8,1,0,138.54,1,1,1,1,11.3,11.34
32,Derek Carr,OAK,QB,4,7,57.1,17,2.4,1,0,101.79,1,1,1,1,10.8,10.78
33,Blake Bortles,JAX,QB,7,16,43.8,58,3.6,2,0,93.23,1,2,2,0,10.5,10.52
34,Ryan Tannehill,MIA,QB,2,2,100,37,18.5,2,0,158.33,3,-3,-1,0,9.2,9.18
35,Philip Rivers,LAC,QB,6,13,46.2,31,2.4,2,1,60.58,0,0,0,0,8.2,8.24
36,Lamar Jackson,BAL,QB,1,1,100,5,5,0,0,87.5,2,0,0,1,6.2,6.2
37,Brock Osweiler,MIA,QB,3,10,30,10,1,1,0,72.92,2,2,1,0,3.6,3.6
38,Taysom Hill,NO,QB,0,1,0,0,0,0,0,39.58,6,29,4.8,0,1.9,1.9
39,Joe Webb,HOU,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Joshua Dobbs,PIT,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
