Rank,Name,Team,Position,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,17,61,3.6,6,5,5,42,2,0,0,63.3,63.3
2,Christian McCaffrey,CAR,RB,11,23,2.1,4,3,3,30,2,0,0,44.3,44.3
3,Kareem Hunt,KC,RB,10,32,3.2,3,6,5,49,2,0,0,43.1,43.1
4,Todd Gurley,LAR,RB,15,56,3.7,4,4,2,16,1,0,0,41.2,41.2
5,James Conner,PIT,RB,16,51,3.2,4,3,3,22,1,0,0,40.3,40.3
6,James White,NE,RB,9,12,1.3,3,6,4,20,2,0,0,37.2,37.2
7,Alex Collins,BAL,RB,10,60,6,4,0,0,0,0,0,0,30,30
8,Marlon Mack,IND,RB,13,46,3.5,3,2,2,11,0,0,0,29.7,29.7
9,Melvin Gordon,LAC,RB,10,47,4.7,4,3,1,-5,0,0,0,29.2,29.2
10,Jordan Howard,CHI,RB,10,39,3.9,4,0,0,0,0,0,0,27.9,27.9
11,Derrick Henry,TEN,RB,10,31,3.1,4,0,0,0,0,0,0,27.1,27.1
12,Duke Johnson,CLE,RB,2,1,0.5,0,3,3,35,3,0,0,24.6,24.6
13,Nick Chubb,CLE,RB,11,24,2.2,2,2,2,18,1,0,0,24.2,24.2
14,Ezekiel Elliott,DAL,RB,11,24,2.2,2,6,2,14,1,0,0,23.8,23.8
15,Latavius Murray,MIN,RB,9,24,2.7,3,2,2,10,0,0,0,23.4,23.4
16,Jay Ajayi,PHI,RB,11,28,2.5,3,2,1,4,0,1,1,23.2,23.2
16,David Johnson,ARI,RB,11,24,2.2,2,3,2,8,1,0,0,23.2,23.2
18,Giovani Bernard,CIN,RB,6,20,3.3,3,1,1,14,0,0,0,22.4,22.4
19,Joe Mixon,CIN,RB,7,27,3.9,3,2,1,4,0,0,0,22.1,22.1
20,Tevin Coleman,ATL,RB,6,16,2.7,0,6,5,33,2,0,0,21.9,21.9
21,Aaron Jones,GB,RB,9,49,5.4,2,2,0,0,0,0,0,16.9,16.9
22,Kerryon Johnson,DET,RB,12,20,1.7,1,4,1,13,1,0,0,16.3,16.3
23,Matt Breida,SF,RB,10,19,1.9,1,1,1,11,1,0,0,16,16
23,Saquon Barkley,NYG,RB,11,21,1.9,1,6,4,19,0,0,0,16,16
25,Sony Michel,NE,RB,12,31,2.6,2,0,0,0,0,0,0,15.1,15.1
25,Tarik Cohen,CHI,RB,4,15,3.8,1,3,1,6,1,0,0,15.1,15.1
27,Ito Smith,ATL,RB,5,28,5.6,2,0,0,0,0,0,0,14.8,14.8
28,Royce Freeman,DEN,RB,4,20,5,2,0,0,0,0,0,0,14,14
29,Lamar Miller,HOU,RB,9,19,2.1,2,0,0,0,0,0,0,13.9,13.9
30,Dion Lewis,TEN,RB,13,21,1.6,0,2,2,27,1,0,0,12.8,12.8
31,Chris Carson,SEA,RB,10,28,2.8,1,2,2,13,0,0,0,12.1,12.1
32,TJ Yeldon,JAX,RB,1,4,4,0,2,2,26,1,0,0,11,11
33,Javorius Allen,BAL,RB,1,0,0,0,3,3,9,1,0,0,9.9,9.9
34,Phillip Lindsay,DEN,RB,6,4,0.7,1,2,2,14,0,0,0,9.8,9.8
35,Rashaad Penny,SEA,RB,2,20,10,1,1,1,4,0,0,0,9.4,9.4
36,Corey Clement,PHI,RB,6,18,3,1,1,1,0,0,0,0,8.8,8.8
36,Malcolm Brown,LAR,RB,0,0,0,0,1,1,18,1,0,0,8.8,8.8
36,Marshawn Lynch,OAK,RB,9,18,2,1,2,1,0,0,0,0,8.8,8.8
36,Ronald Jones II,TB,RB,5,13,2.6,1,2,1,5,0,0,0,8.8,8.8
40,Mike Davis,SEA,RB,4,12,3,0,1,1,3,1,0,0,8.5,8.5
41,Adrian Peterson,WAS,RB,6,-8,-1.3,0,2,2,15,1,1,1,7.7,7.7
41,Devontae Booker,DEN,RB,2,17,8.5,1,1,0,0,0,0,0,7.7,7.7
43,Kenyan Drake,MIA,RB,3,15,5,1,3,0,0,0,0,0,7.5,7.5
43,Jaylen Samuels,PIT,FB,1,-1,-1,0,1,1,6,1,0,0,7.5,7.5
45,Spencer Ware,KC,RB,5,11,2.2,1,0,0,0,0,0,0,7.1,7.1
46,LeSean McCoy,BUF,RB,6,10,1.7,1,0,0,0,0,0,0,7,7
47,Isaiah Crowell,NYJ,RB,2,7,3.5,1,0,0,0,0,0,0,6.7,6.7
47,Ty Montgomery,GB,RB,3,7,2.3,1,1,0,0,0,0,0,6.7,6.7
49,Jamaal Williams,GB,RB,2,4,2,1,1,0,0,0,0,0,6.4,6.4
50,LeGarrette Blount,DET,RB,6,3,0.5,1,0,0,0,0,0,0,6.3,6.3
50,Peyton Barber,TB,RB,3,3,1,1,0,0,0,0,0,0,6.3,6.3
50,Kapri Bibbs,WAS,RB,1,3,3,1,0,0,0,0,0,0,6.3,6.3
53,Alex Armah,CAR,RB,2,1,0.5,1,0,0,0,0,0,0,6.1,6.1
53,James Develin,NE,RB,1,1,1,1,0,0,0,0,0,0,6.1,6.1
55,Marcus Murphy,BUF,RB,5,11,2.2,0,2,2,5,0,0,0,3.6,3.6
56,Nyheim Hines,IND,RB,7,18,2.6,0,2,1,7,0,0,0,3.5,3.5
57,Frank Gore,MIA,RB,4,16,4,0,1,1,6,0,0,0,3.2,3.2
58,Corey Grant,JAX,RB,0,0,0,0,2,2,11,0,0,0,3.1,3.1
59,Doug Martin,OAK,RB,7,16,2.3,0,0,0,0,0,0,0,1.6,1.6
60,Shaun Wilson,TB,RB,0,0,0,0,3,1,5,0,0,0,1.5,1.5
61,Mark Ingram,NO,RB,5,14,2.8,0,0,0,0,0,0,0,1.4,1.4
61,Chris Thompson,WAS,RB,3,1,0.3,0,2,1,3,0,0,0,1.4,1.4
61,Theo Riddick,DET,RB,1,-1,-1,0,2,1,5,0,0,0,1.4,1.4
64,Wendell Smallwood,PHI,RB,7,13,1.9,0,0,0,0,0,0,0,1.3,1.3
64,Zach Line,NO,FB,0,0,0,0,2,1,3,0,0,0,1.3,1.3
64,Jamize Olawale,DAL,FB,0,0,0,0,1,1,3,0,0,0,1.3,1.3
67,Austin Ekeler,LAC,RB,2,-2,-1,0,1,1,4,0,0,0,1.2,1.2
67,Jalen Richard,OAK,RB,1,1,1,0,2,1,1,0,0,0,1.2,1.2
69,Samaje Perine,WAS,RB,0,0,0,0,1,1,0,0,0,0,1,1
70,Kenjon Barner,NE,RB,3,8,2.7,0,0,0,0,0,0,0,0.8,0.8
70,Mike Gillislee,NO,RB,2,8,4,0,0,0,0,0,0,0,0.8,0.8
72,Rod Smith,DAL,RB,1,6,6,0,0,0,0,0,0,0,0.6,0.6
72,Bilal Powell,NYJ,RB,8,6,0.8,0,1,0,0,0,0,0,0.6,0.6
74,Jacquizz Rodgers,TB,RB,0,0,0,0,1,1,5,0,1,1,0.5,0.5
74,Chase Edmonds,ARI,RB,1,5,5,0,0,0,0,0,0,0,0.5,0.5
74,Dalvin Cook,MIN,RB,4,5,1.2,0,0,0,0,0,0,0,0.5,0.5
74,Josh Adams,PHI,RB,4,5,1.2,0,0,0,0,0,0,0,0.5,0.5
78,Carlos Hyde,JAX,RB,3,4,1.3,0,1,0,0,0,0,0,0.4,0.4
78,Alfred Morris,SF,RB,10,4,0.4,0,0,0,0,0,0,0,0.4,0.4
78,Wayne Gallman,NYG,RB,3,4,1.3,0,2,0,0,0,0,0,0.4,0.4
81,Kyle Juszczyk,SF,FB,3,2,0.7,0,1,0,0,0,0,0,0.2,0.2
81,Stevan Ridley,PIT,RB,1,2,2,0,0,0,0,0,0,0,0.2,0.2
83,Alfred Blue,HOU,RB,4,1,0.2,0,0,0,0,0,0,0,0.1,0.1
84,Anthony Sherman,KC,FB,0,0,0,0,0,0,0,0,0,0,0,0
84,Jordan Wilkins,IND,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,CJ Anderson,CAR,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Damien Williams,KC,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Mark Walton,CIN,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Keith Smith,OAK,FB,0,0,0,0,0,0,0,0,0,0,0,0
84,Tra Carson,GB,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Patrick Ricard,BAL,FB,0,0,0,0,0,0,0,0,0,0,0,0
84,De'Lance Turner,BAL,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Ricky Ortiz,ATL,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Taiwan Jones,BUF,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Patrick DiMarco,BUF,FB,0,0,0,0,0,0,0,0,0,0,0,0
84,Derek Watt,LAC,FB,1,0,0,0,0,0,0,0,0,0,0,0
84,Detrez Newsome,LAC,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,CJ Ham,MIN,RB,1,0,0,0,0,0,0,0,0,0,0,0
84,David Fluellen,TEN,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Tyler Ervin,HOU,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Gregory Howell Jr.,HOU,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Brandon Bolden,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Senorise Perry,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0
