Rank,Name,Team,Position,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Zach Ertz,PHI,TE,9,6,66.7,40,4,15,4.4,6.7,0,0,0,0,0,0,34,34
2,Eric Ebron,IND,TE,4,3,75,50,3,20,12.5,16.7,2,1,0.5,1,0,0,32.1,32.1
3,Travis Kelce,KC,TE,6,5,83.3,40,3,13,6.7,8,0,0,0,0,0,0,27,27
4,Erik Swoope,IND,TE,4,4,100,39,3,17,9.8,9.8,0,0,0,0,0,0,25.9,25.9
5,Jordan Thomas,HOU,TE,4,4,100,30,3,13,7.5,7.5,0,0,0,0,0,0,25,25
6,Greg Olsen,CAR,TE,3,3,100,29,3,17,9.7,9.7,0,0,0,0,0,0,23.9,23.9
7,OJ Howard,TB,TE,4,3,75,25,3,18,6.2,8.3,0,0,0,0,0,0,23.5,23.5
8,Austin Hooper,ATL,TE,6,6,100,37,2,11,6.2,6.2,0,0,0,0,0,0,21.7,21.7
9,Trey Burton,CHI,TE,5,5,100,15,2,11,3,3,0,0,0,0,0,0,20.5,20.5
10,Chris Herndon IV,NYJ,TE,3,3,100,45,2,17,15,15,0,0,0,0,0,0,19.5,19.5
11,George Kittle,SF,TE,5,4,80,26,2,10,5.2,6.5,0,0,0,0,0,0,18.6,18.6
12,Jeff Heuerman,DEN,TE,8,3,37.5,21,2,12,2.6,7,0,0,0,0,0,0,17.1,17.1
13,Benjamin Watson,NO,TE,4,3,75,15,2,13,3.8,5,0,0,0,0,0,0,16.5,16.5
14,Jonnu Smith,TEN,TE,4,3,75,14,2,7,3.5,4.7,0,0,0,0,0,0,16.4,16.4
15,Michael Roberts,DET,TE,4,2,50,19,2,15,4.8,9.5,0,0,0,0,0,0,15.9,15.9
16,Will Dissly,SEA,TE,2,2,100,17,2,15,8.5,8.5,0,0,0,0,0,0,15.7,15.7
17,Nick Vannett,SEA,TE,3,2,66.7,14,2,8,4.7,7,0,0,0,0,0,0,15.4,15.4
18,Jack Doyle,IND,TE,5,4,80,35,1,12,7,8.8,0,0,0,0,0,0,13.5,13.5
19,Gerald Everett,LAR,TE,2,2,100,5,1,10,2.5,2.5,0,0,0,0,0,0,10.5,10.5
20,Jimmy Graham,GB,TE,4,2,50,19,1,15,4.8,9.5,0,0,0,0,0,0,9.9,9.9
21,Jesse James,PIT,TE,4,2,50,15,1,8,3.8,7.5,0,0,0,0,0,0,9.5,9.5
22,Vance McDonald,PIT,TE,2,2,100,12,1,12,6,6,0,0,0,0,1,0,9.2,9.2
23,Evan Engram,NYG,TE,4,2,50,11,1,9,2.8,5.5,0,0,0,0,0,0,9.1,9.1
24,AJ Derby,MIA,TE,2,1,50,19,1,19,9.5,19,0,0,0,0,0,0,8.9,8.9
25,Mo Alie-Cox,IND,TE,3,2,66.7,8,1,7,2.7,4,0,0,0,0,0,0,8.8,8.8
26,Demetrius Harris,KC,TE,1,1,100,17,1,17,17,17,0,0,0,0,0,0,8.7,8.7
27,Tyler Eifert,CIN,TE,2,1,50,15,1,15,7.5,15,0,0,0,0,0,0,8.5,8.5
27,David Njoku,CLE,TE,1,1,100,15,1,15,15,15,0,0,0,0,0,0,8.5,8.5
29,Tyler Higbee,LAR,TE,3,1,33.3,10,1,10,3.3,10,0,0,0,0,0,0,8,8
