Rank,Name,Team,Position,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Davante Adams,GB,WR,11,5,45.5,59,5,25,5.4,11.8,0,0,0,0,0,0,40.9,40.9
2,DeAndre Hopkins,HOU,WR,6,5,83.3,43,4,16,7.2,8.6,0,0,0,0,0,0,33.3,33.3
3,Michael Thomas,NO,WR,7,6,85.7,46,3,17,6.6,7.7,0,0,0,0,0,0,28.6,28.6
4,Adam Thielen,MIN,WR,8,7,87.5,43,3,15,5.4,6.1,0,0,0,0,1,1,28.3,28.3
5,Brandin Cooks,LAR,WR,5,4,80,32,2,19,6.4,8,2,16,8,1,0,0,26.8,26.8
6,Odell Beckham Jr,NYG,WR,11,4,36.4,47,3,20,4.3,11.8,0,0,0,0,0,0,26.7,26.7
7,Alshon Jeffery,PHI,WR,6,4,66.7,32,3,13,5.3,8,0,0,0,0,0,0,25.2,25.2
8,Tyler Boyd,CIN,WR,3,3,100,25,3,14,8.3,8.3,0,0,0,0,0,0,23.5,23.5
9,Larry Fitzgerald,ARI,WR,7,4,57.1,38,2,16,5.4,9.5,0,0,0,0,0,0,21.8,21.8
10,Cole Beasley,DAL,WR,5,4,80,39,2,17,7.8,9.8,0,0,0,0,0,0,19.9,19.9
11,Josh Reynolds,LAR,WR,3,3,100,39,2,19,13,13,1,-2,-2,0,0,0,18.7,18.7
12,Tyreek Hill,KC,WR,4,4,100,22,2,14,5.5,5.5,0,0,0,0,0,0,18.2,18.2
13,David Moore,SEA,WR,4,2,50,34,2,19,8.5,17,0,0,0,0,0,0,17.4,17.4
14,Terrelle Pryor,BUF,WR,3,2,66.7,27,2,20,9,13.5,0,0,0,0,0,0,16.7,16.7
15,Allen Robinson,CHI,WR,4,2,50,26,2,14,6.5,13,0,0,0,0,0,0,16.6,16.6
16,Sammy Watkins,KC,WR,4,2,50,23,2,13,5.8,11.5,2,1,0.5,0,0,0,16.4,16.4
17,Curtis Samuel,CAR,WR,1,1,100,19,1,19,19,19,1,14,14,1,0,0,16.3,16.3
18,Jaron Brown,SEA,WR,2,2,100,15,2,10,7.5,7.5,0,0,0,0,0,0,15.5,15.5
19,Julian Edelman,NE,WR,7,5,71.4,41,1,11,5.9,8.2,0,0,0,0,0,0,15.1,15.1
20,Josh Doctson,WAS,WR,3,2,66.7,8,2,6,2.7,4,0,0,0,0,0,0,14.8,14.8
21,Antonio Brown,PIT,WR,4,2,50,7,2,6,1.8,3.5,0,0,0,0,0,0,14.7,14.7
22,T.Y. Hilton,IND,WR,6,2,33.3,6,2,5,1,3,0,0,0,0,0,0,14.6,14.6
23,Adam Humphries,TB,WR,5,4,80,33,1,16,6.6,8.2,1,7,7,0,0,0,14,14
24,Jamison Crowder,WAS,WR,4,4,100,38,1,13,9.5,9.5,0,0,0,0,0,0,13.8,13.8
25,Jarvis Landry,CLE,WR,7,4,57.1,31,1,16,4.4,7.8,0,0,0,0,0,0,13.1,13.1
25,Dede Westbrook,JAX,WR,8,4,50,31,1,11,3.9,7.8,0,0,0,0,0,0,13.1,13.1
