Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,11,LAR,18,18,7100,28.03
2,Jared Goff,LAR,QB,11,KC,27,22,6400,25.62
3,Matt Ryan,ATL,QB,11,DAL,4,17,6100,23.81
4,Cam Newton,CAR,QB,11,DET,25,21,6200,23.79
5,Drew Brees,NO,QB,11,PHI,12,24,6500,21.28
6,Carson Wentz,PHI,QB,11,NO,28,32,6300,20.98
7,Ryan Fitzpatrick,TB,QB,11,NYG,16,10,5600,20.66
8,Aaron Rodgers,GB,QB,11,SEA,9,2,5900,20.41
9,Russell Wilson,SEA,QB,11,GB,14,9,5800,19.98
10,Dak Prescott,DAL,QB,11,ATL,30,29,5200,19.68
11,Andrew Luck,IND,QB,11,TEN,1,4,5900,19.51
12,Ben Roethlisberger,PIT,QB,11,JAX,6,8,5800,19.48
13,Deshaun Watson,HOU,QB,11,WAS,11,20,5700,19.36
14,Philip Rivers,LAC,QB,11,DEN,19,13,6000,19.28
15,Mitch Trubisky,CHI,QB,11,MIN,7,12,5700,19.25
16,Matthew Stafford,DET,QB,11,CAR,24,28,5400,18.59
17,Kirk Cousins,MIN,QB,11,CHI,3,7,5600,18.43
18,Eli Manning,NYG,QB,11,TB,31,31,5200,18.4
19,Marcus Mariota,TEN,QB,11,IND,20,19,5500,17.55
20,Blake Bortles,JAX,QB,11,PIT,15,27,5100,17.08
21,Case Keenum,DEN,QB,11,LAC,10,15,4800,16.18
22,Alex Smith,WAS,QB,11,HOU,8,5,4800,16.11
23,Josh Rosen,ARI,QB,11,OAK,29,23,4800,15.91
24,Andy Dalton,CIN,QB,11,BAL,2,11,5000,15.4
25,Derek Carr,OAK,QB,11,ARI,13,3,4700,15.25
26,Lamar Jackson,BAL,QB,11,CIN,32,30,4700,12.08
27,Joe Flacco,BAL,QB,11,CIN,32,30,5300,6.9
28,Taysom Hill,NO,QB,11,PHI,12,24,4000,2.76
29,Jameis Winston,TB,QB,11,NYG,16,10,5600,1.01
30,Cody Kessler,JAX,QB,11,PIT,15,27,4500,0.25
31,Trevor Siemian,MIN,QB,11,CHI,3,7,4400,0.19
31,Mike Glennon,ARI,QB,11,OAK,29,23,4500,0.19
33,Colt McCoy,WAS,QB,11,HOU,8,5,4400,0.17
34,Cooper Rush,DAL,QB,11,ATL,30,29,4200,0.16
34,Nick Foles,PHI,QB,11,NO,28,32,4900,0.16
36,Brett Hundley,SEA,QB,11,GB,14,9,4300,0.15
36,Blaine Gabbert,TEN,QB,11,IND,20,19,4500,0.15
36,Brandon Weeden,HOU,QB,11,WAS,11,20,4400,0.15
36,Chad Henne,KC,QB,11,LAR,18,18,4300,0.15
40,Chase Daniel,CHI,QB,11,MIN,7,12,4300,0.14
41,Jeff Driskel,CIN,QB,11,BAL,2,11,4300,0.13
42,Deshone Kizer,GB,QB,11,SEA,9,2,4300,0.12
43,AJ McCarron,OAK,QB,11,ARI,13,3,4400,0.09
43,Sean Mannion,LAR,QB,11,KC,27,22,4400,0.09
45,Matt Cassel,DET,QB,11,CAR,24,28,4400,0.08
45,Jacoby Brissett,IND,QB,11,TEN,1,4,4500,0.08
47,Teddy Bridgewater,NO,QB,11,PHI,12,24,4500,0.07
48,Matt Schaub,ATL,QB,11,DAL,4,17,4400,0.06
49,Robert Griffin III,BAL,QB,11,CIN,32,30,4700,0.05
49,Geno Smith,LAC,QB,11,DEN,19,13,4300,0.05
49,Kevin Hogan,DEN,QB,11,LAC,10,15,4000,0.05
49,Joshua Dobbs,PIT,QB,11,JAX,6,8,4400,0.05
53,Taylor Heinicke,CAR,QB,11,DET,25,21,4000,0.04
53,Alex Tanney,NYG,QB,11,TB,31,31,4000,0.04
55,Kyle Lauletta,NYG,QB,11,TB,31,31,4200,0.01
56,Tim Boyle,GB,QB,11,SEA,9,2,4000,0
56,Mike White,DAL,QB,11,ATL,30,29,4000,0
56,Jameill Showers,DAL,QB,11,ATL,30,29,null,0
56,Kyle Sloter,MIN,QB,11,CHI,3,7,4000,0
56,Jake Rudock,DET,QB,11,CAR,24,28,null,0
56,Brad Kaaya,IND,QB,11,TEN,1,4,null,0
56,Nate Sudfeld,PHI,QB,11,NO,28,32,4000,0
56,Ryan Griffin,TB,QB,11,NYG,16,10,4000,0
56,Joe Webb,HOU,QB,11,WAS,11,20,4000,0
56,Christian Hackenberg,CIN,QB,11,BAL,2,11,null,0
56,Sam Bradford,ARI,QB,11,OAK,29,23,null,0
56,Cardale Jones,LAC,QB,11,DEN,19,13,null,0
56,Landry Jones,JAX,QB,11,PIT,15,27,4000,0
56,Mason Rudolph,PIT,QB,11,JAX,6,8,4400,0
56,Brandon Allen,LAR,QB,11,KC,27,22,null,0
