Rank,Name,Team,Position,Played,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,11,264,391,67.5,3628,9.3,37,10,117.9,42,186,4.4,2,30.8,338.72
2,Jared Goff,LAR,QB,11,258,381,67.7,3547,9.3,26,6,113.49,35,88,2.5,1,25.4,279.68
3,Ben Roethlisberger,PIT,QB,10,271,416,65.1,3202,7.7,23,10,96.85,22,76,3.5,3,25.9,258.58
4,Drew Brees,NO,QB,10,257,334,76.9,2964,8.9,25,1,126.88,20,28,1.4,3,25.6,256.46
5,Matt Ryan,ATL,QB,10,275,387,71.1,3306,8.5,22,4,111.54,20,81,4,2,25.6,256.34
6,Cam Newton,CAR,QB,10,225,329,68.4,2443,7.4,20,6,102.68,77,354,4.6,4,24.1,241.12
7,Mitch Trubisky,CHI,QB,10,210,321,65.4,2469,7.7,20,9,97.73,51,363,7.1,3,24,240.06
8,Andrew Luck,IND,QB,10,269,400,67.2,2769,6.9,29,9,101.76,21,61,2.9,0,23.9,238.86
9,Aaron Rodgers,GB,QB,10,238,385,61.8,3073,8,19,1,102.22,29,148,5.1,0,22.1,220.72
10,Philip Rivers,LAC,QB,10,211,315,67,2860,9.1,23,6,112.14,13,-4,-0.3,0,21.6,216
11,Kirk Cousins,MIN,QB,10,289,409,70.7,2947,7.2,19,7,99.34,28,86,3.1,1,21.4,214.38
12,Deshaun Watson,HOU,QB,10,201,309,65,2597,8.4,18,9,98.59,53,275,5.2,1,21,210.38
13,Russell Wilson,SEA,QB,10,184,278,66.2,2192,7.9,23,5,110.18,38,227,6,0,19.5,195.28
14,Tom Brady,NE,QB,10,242,371,65.2,2748,7.4,17,7,94.72,19,28,1.5,2,19.4,194.32
15,Ryan Fitzpatrick,TB,QB,8,164,246,66.7,2366,9.6,17,12,100.42,36,152,4.2,2,23.9,190.84
16,Andy Dalton,CIN,QB,10,216,348,62.1,2466,7.1,20,10,90.52,14,78,5.6,0,18.2,182.44
17,Blake Bortles,JAX,QB,10,211,346,61,2445,7.1,12,8,84.27,44,286,6.5,1,18,180.4
18,Matthew Stafford,DET,QB,10,244,368,66.3,2605,7.1,17,8,93.17,21,64,3,0,17.7,176.6
19,Dak Prescott,DAL,QB,10,197,305,64.6,2138,7,11,5,90.31,52,261,5,4,17.3,172.62
20,Eli Manning,NYG,QB,10,251,364,69,2796,7.7,13,6,96.59,12,18,1.5,0,17.1,170.64
21,Carson Wentz,PHI,QB,8,210,302,69.5,2304,7.6,15,6,100.1,24,102,4.2,0,20.6,164.76
22,Derek Carr,OAK,QB,10,247,350,70.6,2633,7.5,12,8,94.14,18,43,2.4,1,16.4,163.62
23,Case Keenum,DEN,QB,10,229,362,63.3,2605,7.2,11,10,83.4,9,35,3.9,1,15.6,155.7
24,Joe Flacco,BAL,QB,9,232,379,61.2,2465,6.5,12,6,84.15,19,45,2.4,0,16.7,150.1
25,Alex Smith,WAS,QB,10,205,328,62.5,2180,6.6,10,5,85.67,41,168,4.1,1,14.7,147
26,Baker Mayfield,CLE,QB,8,176,285,61.8,1984,7,13,7,87.52,21,111,5.3,0,17.6,140.46
27,Marcus Mariota,TEN,QB,9,146,216,67.6,1583,7.3,7,6,88.18,47,255,5.4,2,14.1,126.92
28,Sam Darnold,NYJ,QB,9,159,289,55,1934,6.7,11,14,68.32,30,61,2,1,13.5,121.46
29,Jameis Winston,TB,QB,5,108,164,65.9,1380,8.4,8,11,80.34,24,125,5.2,1,19.9,99.7
30,CJ Beathard,SF,QB,6,102,169,60.4,1252,7.4,8,7,81.77,19,69,3.6,1,14.7,87.98
31,Josh Rosen,ARI,QB,8,125,228,54.8,1416,6.2,9,10,68.53,11,47,4.3,0,10.9,87.34
32,Brock Osweiler,MIA,QB,6,113,178,63.5,1247,7,6,4,86.05,8,21,2.6,0,12.7,75.98
33,Ryan Tannehill,MIA,QB,5,85,129,65.9,972,7.5,8,5,92.91,19,91,4.8,0,14.4,71.98
34,Josh Allen,BUF,QB,6,75,139,54,832,6,2,5,61.8,35,155,4.4,3,11.5,68.78
35,Jimmy Garoppolo,SF,QB,3,53,89,59.6,718,8.1,5,3,90,8,33,4.1,0,17,51.02
36,Lamar Jackson,BAL,QB,10,20,31,64.5,237,7.6,1,1,85.01,55,256,4.7,1,4.7,47.08
37,Tyrod Taylor,CLE,QB,4,42,85,49.4,473,5.6,2,2,64.49,16,125,7.8,1,10.9,43.42
38,Nick Mullens,SF,QB,2,43,61,70.5,512,8.4,4,2,104,6,-2,-0.3,0,17.1,34.28
39,Nick Foles,PHI,QB,2,54,82,65.9,451,5.5,1,1,78.86,4,7,1.8,0,13.1,26.24
40,Taysom Hill,NO,QB,10,3,6,50,64,10.7,0,0,88.19,30,161,5.4,1,2.6,25.76
41,Blaine Gabbert,TEN,QB,4,36,61,59,360,5.9,2,2,73.12,2,2,1,0,5.2,20.6
42,Nathan Peterman,BUF,QB,4,44,81,54.3,296,3.7,1,7,30.68,10,50,5,1,5,19.84
43,Sam Bradford,ARI,QB,3,50,80,62.5,400,5,2,4,62.5,2,7,3.5,0,6.2,18.7
44,Matt Barkley,BUF,QB,1,15,25,60,232,9.3,2,0,117.42,3,-2,-0.7,0,17.1,17.08
45,Jeff Driskel,CIN,QB,3,6,7,85.7,84,12,0,0,116.67,3,40,13.3,1,4.5,13.36
46,Derek Anderson,BUF,QB,2,42,70,60,465,6.6,0,4,55.95,1,-1,-1,0,6.2,12.5
47,Cody Kessler,JAX,QB,1,21,30,70,156,5.2,1,1,79.31,2,8,4,0,10,10.04
48,Colt McCoy,WAS,QB,1,6,12,50,54,4.5,1,0,90.28,5,35,7,0,9.7,9.66
49,Josh McCown,NYJ,QB,1,17,34,50,135,4,0,2,35.78,1,4,4,0,3.8,3.8
50,Matt Schaub,ATL,QB,2,5,7,71.4,20,2.9,0,0,74.11,1,0,0,0,0.6,1.1
51,Joshua Dobbs,PIT,QB,4,2,3,66.7,19,6.3,0,0,84.03,2,-4,-2,0,0.1,0.36
52,Taylor Heinicke,CAR,QB,3,1,2,50,13,6.5,0,0,70.83,2,-2,-1,0,0.1,0.32
52,AJ McCarron,OAK,QB,1,1,3,33.3,8,2.7,0,0,42.36,1,0,0,0,0.3,0.32
54,Deshone Kizer,GB,QB,1,4,7,57.1,55,7.9,0,1,42.86,0,0,0,0,0.2,0.2
55,Sean Mannion,LAR,QB,1,0,0,0,0,0,0,0,0,3,1,0.3,0,0.1,0.1
56,Geno Smith,LAC,QB,2,1,1,100,8,8,0,0,100,3,-3,-1,0,0,0.02
57,Joe Webb,HOU,QB,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Cooper Rush,DAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Robert Griffin III,BAL,QB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Brian Hoyer,NE,QB,3,1,1,100,7,7,0,0,95.83,6,-3,-0.5,0,0,-0.02
61,Brandon Weeden,HOU,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
61,Chad Kelly,DEN,QB,1,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1,-0.1
63,Chase Daniel,CHI,QB,3,0,0,0,0,0,0,0,0,5,-5,-1,0,-0.2,-0.5
64,Matt Cassel,DET,QB,1,2,6,33.3,14,2.3,0,1,2.78,1,-1,-1,0,-0.5,-0.54
65,Teddy Bridgewater,NO,QB,4,0,1,0,0,0,0,0,39.58,7,-7,-1,0,-0.2,-0.7
66,Jacoby Brissett,IND,QB,3,1,3,33.3,-2,-0.7,0,0,42.36,7,-7,-1,0,-0.3,-0.78
