Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
SF,26.6,266,633,3442,5.4,203,133,37.6,40,57.5,1022,4.1,7,23.4,6.6,15.2,356,60.4,2420,6.8,11.3,21,98
CHI,19.5,195,639,3144,4.9,183,137,35,24,62.5,778,3.5,2,28.6,7.7,14.9,383,62.9,2366,6.2,9.8,19,77
CIN,31.2,312,719,4494,6.3,261,146,55.5,39,66.7,1536,5,13,12.9,5.6,14.6,387,66.9,2958,7.6,11.4,21,96
BUF,25.1,251,611,3022,4.9,187,131,38.2,31,67.7,998,4,10,29,7,16.2,334,64.4,2024,6.1,9.4,14,85
DEN,23.5,235,643,3755,5.8,195,135,40,32,59.4,1279,4.7,8,21.7,8.4,17,340,63.2,2476,7.3,11.5,18,91
CLE,26.3,263,723,4197,5.8,244,133,36.8,36,66.7,1321,4.7,14,22.2,5.5,13.9,415,62.4,2876,6.9,11.1,16,83
TB,32.9,329,611,3959,6.5,220,115,39.1,36,88.9,1136,4.5,14,24,6.9,16.1,336,74.7,2823,8.4,11.2,25,123
ARI,24.8,248,677,3597,5.3,217,136,39,32,56.2,1415,4.4,13,25,9.3,18.4,320,67.2,2182,6.8,10.1,13,92
LAC,20.9,209,624,3534,5.7,203,129,41.1,34,47.1,1121,4.6,6,21.2,6.9,17.2,353,63.7,2413,6.8,10.7,15,86
KC,26.7,294,765,4562,6,286,135,36.3,39,69.2,1293,5,13,22.2,7.1,14.5,468,63.2,3269,7,11,20,88
IND,24.9,249,651,3649,5.6,213,126,43.7,30,53.3,1057,3.9,7,26.2,6.8,12.6,354,72,2592,7.3,10.2,16,95
DAL,19,190,615,3311,5.4,189,130,44.6,28,46.4,950,3.7,6,23.9,7.9,18.3,328,69.8,2361,7.2,10.3,13,98
MIA,25.6,256,633,3923,6.2,208,118,42.4,35,57.1,1420,4.8,9,17.1,5,11.8,323,65.3,2503,7.7,11.9,18,88
PHI,23.1,231,629,3779,6,192,130,36.9,39,48.7,1014,4.7,8,26,6.3,20.8,388,65.7,2765,7.1,10.8,16,96
ATL,27.6,276,633,4052,6.4,239,119,52.1,38,73.7,1211,5.1,13,13.5,4.8,11.1,377,70.3,2841,7.5,10.7,21,102
NYG,26.3,263,639,3815,6,220,127,44.9,37,48.6,1254,4.5,11,15.8,3,12.5,350,64.9,2561,7.3,11.3,14,88
JAX,21.9,219,610,3195,5.2,180,132,38.6,28,57.1,1093,4.1,8,19.5,6.1,14.9,322,61.2,2102,6.5,10.7,14,84
NYJ,25.4,254,669,3616,5.4,198,144,33.3,32,50,1195,4.2,10,19.4,5.7,16.6,363,62.3,2421,6.7,10.7,17,86
DET,26.3,263,578,3646,6.3,205,108,39.8,33,57.6,1250,4.8,8,17.7,8.8,14.2,290,68.6,2396,8.3,12,22,113
GB,24.3,243,636,3491,5.5,202,138,37,34,55.9,1261,4.6,10,17.7,9.5,16.2,325,62.5,2230,6.9,11,16,91
CAR,25.2,252,615,3524,5.7,210,114,39.5,27,81.5,985,4.3,7,30.4,6,13.2,362,66.6,2539,7,10.5,23,95
NE,23.6,236,661,3814,5.8,218,130,43.1,35,60,1111,4.4,5,16.3,3.7,12.7,394,60.9,2703,6.9,11.3,21,88
OAK,29.3,293,587,3874,6.6,190,122,44.3,37,54.1,1423,4.8,9,12.5,3.1,10.3,282,63.8,2451,8.7,13.6,24,110
LAR,25.6,282,658,4098,6.2,228,125,41.6,32,68.8,1319,5.2,8,24.3,7.2,16.9,374,65.8,2779,7.4,11.3,25,99
BAL,18.1,181,630,3000,4.8,183,139,36,27,63,946,3.9,7,25.2,7.5,15.7,359,58.8,2054,5.7,9.7,14,82
WAS,19.8,198,617,3569,5.8,207,118,43.2,31,48.4,957,4.3,7,20,7.1,15.1,364,67,2612,7.2,10.7,16,90
NO,23.9,239,582,3582,6.2,207,105,39,30,70,779,3.7,10,26,6.4,13.1,350,68.3,2803,8,11.7,19,100
SEA,21.6,216,586,3481,5.9,203,110,36.4,29,58.6,1115,4.9,8,23.9,7.8,15.8,332,66,2366,7.1,10.8,16,90
PIT,22.5,225,648,3268,5,207,129,36.4,30,56.7,996,4.1,7,30.5,9.1,18.8,368,63,2272,6.2,9.8,19,91
HOU,20.5,205,660,3305,5,188,149,40.3,27,74.1,960,3.7,5,22.6,7,16,371,62.8,2345,6.3,10.1,17,86
TEN,18.9,189,613,3349,5.5,191,125,40,28,42.9,1000,3.9,6,22.7,6.4,14.6,334,65.3,2349,7,10.8,14,92
MIN,22.9,229,622,3208,5.2,197,113,28.3,35,40,948,3.6,5,26.2,8.8,18,330,64.2,2260,6.8,10.7,13,85
