Team,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating
SF,23,230,633,3565,5.6,216,121,39.7,32,46.9,78,27.6,8.9,19.4,319,62.1,2229,7,11.3,17,85
CHI,29.4,294,632,3579,5.7,216,124,43.5,34,64.7,56,19.2,5.6,11.2,321,65.4,2350,7.3,11.2,20,96
CIN,25.6,256,578,3293,5.7,198,110,39.1,29,79.3,54,26.9,5.6,10.3,356,62.4,2393,6.7,10.8,20,89
BUF,13.7,137,634,2686,4.2,160,143,30.8,19,57.9,74,26.1,9.7,18.5,317,55.8,1598,5,9,5,54
DEN,22.8,228,628,3719,5.9,205,126,34.9,30,53.3,43,17.9,6.2,16.8,364,63.5,2471,6.8,10.7,12,83
CLE,21.8,218,682,3554,5.2,196,146,32.9,29,62.1,68,24.6,8.6,16.3,371,58.8,2222,6,10.2,15,78
TB,26.7,267,683,4585,6.7,264,114,49.1,40,57.5,51,20.8,6.2,17.1,411,66.2,3610,8.8,13.3,25,91
ARI,14.5,145,553,2408,4.4,144,117,29.1,18,72.2,59,27.2,8.3,21.1,308,56.8,1620,5.3,9.3,11,64
LAC,26.2,262,584,4008,6.9,208,112,37.5,32,56.2,47,18.7,4.8,14.8,316,67.1,2769,8.8,13.1,23,111
KC,36.7,404,678,4777,7,267,116,47.4,49,71.4,45,16.9,4.9,17,391,67.5,3503,9,13.3,37,117
IND,29.8,298,666,3815,5.7,226,136,52.2,41,68.3,45,17.9,2.4,11.8,404,66.8,2691,6.7,10,29,100
DAL,20.3,203,610,3270,5.4,191,131,37.4,29,51.7,57,21.1,10,20.9,306,64.4,1937,6.3,9.8,11,87
MIA,19.9,199,575,3136,5.5,163,126,33.3,20,40,54,22.6,8,16.7,309,64.7,2077,6.7,10.4,16,89
PHI,20.5,205,652,3552,5.4,216,129,40.3,35,54.3,65,27.5,7.5,17.8,385,68.8,2570,6.7,9.7,16,94
ATL,26.3,263,639,4034,6.3,227,131,51.1,30,66.7,69,31.7,6.4,17.3,394,71.1,3146,8,11.2,22,109
NYG,21.5,215,604,3462,5.7,185,121,36.4,33,48.5,73,36,9,16.7,365,69,2579,7.1,10.2,14,95
JAX,17.6,176,661,3478,5.3,188,151,43.7,21,47.6,49,19.1,6.9,15.8,377,61.8,2448,6.5,10.5,13,82
NYJ,20.8,208,607,2994,4.9,154,132,28.8,25,40,63,24.2,6.9,12.4,323,54.5,1921,5.9,10.9,11,63
DET,22.2,222,640,3437,5.4,213,127,37.8,33,51.5,56,23.7,7.4,12.9,374,65.8,2433,6.5,9.9,17,89
GB,24.7,247,639,3988,6.2,210,125,38.4,32,59.4,53,24.8,7.5,15.5,393,61.6,2900,7.4,12,19,98
CAR,26,260,611,3602,5.9,214,113,40.7,34,73.5,43,16.5,5.7,12.5,331,68.3,2300,6.9,10.2,20,101
NE,28,280,667,3772,5.7,223,126,39.7,35,65.7,40,14.4,4.1,11.5,374,65.5,2687,7.2,11,17,94
OAK,17,170,626,3472,5.5,190,123,36.6,29,41.4,62,25.8,8.5,16.3,353,70.3,2446,6.9,9.9,12,91
LAR,35.4,389,723,4935,6.8,279,131,44.3,59,57.6,58,18.4,5.9,12,383,67.6,3411,8.9,13.2,26,112
BAL,23.7,237,714,3702,5.2,232,148,45.9,37,64.9,42,14.7,4.4,11,410,61.5,2603,6.3,10.3,13,83
WAS,19.7,197,643,3315,5.2,199,136,38.2,29,55.2,63,22.6,6.6,15.1,340,62.1,2100,6.2,10,11,84
NO,37.8,378,663,4271,6.4,263,115,47,49,73.5,35,11.2,2.6,8.3,341,76.2,2957,8.7,11.4,25,125
SEA,24.6,246,633,3511,5.5,203,127,37.8,31,71,55,17,10.3,20,278,66.2,1968,7.1,10.7,23,107
PIT,29.9,299,663,4102,6.2,238,126,46.8,31,77.4,46,20,3.2,9,419,65.2,3125,7.5,11.4,23,96
HOU,23.9,239,648,3642,5.6,201,130,38.5,40,45,73,23.9,9.6,24.8,310,64.8,2421,7.8,12,18,96
TEN,17.8,178,602,2954,4.9,179,137,43.1,28,57.1,71,24.6,10.5,15.7,280,66.1,1837,6.6,9.9,10,84
MIN,24.1,241,646,3637,5.6,206,131,38.9,32,53.1,62,29.4,6,14.9,409,70.7,2790,6.8,9.7,19,98
