Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Zach Ertz,PHI,TE,12,NYG,19,11,6400,16.77
2,George Kittle,SF,TE,12,TB,31,31,6200,14.32
3,Rob Gronkowski,NE,TE,12,NYJ,16,6,5100,12.66
4,Greg Olsen,CAR,TE,12,SEA,11,5,4400,11.15
5,Jack Doyle,IND,TE,12,MIA,21,19,4100,11.09
6,Austin Hooper,ATL,TE,12,NO,18,3,4200,10.48
7,Jared Cook,OAK,TE,12,BAL,1,16,4500,10.33
8,Jordan Reed,WAS,TE,12,DAL,4,18,4700,9.51
9,Evan Engram,NYG,TE,12,PHI,24,2,4200,9.44
10,Vance McDonald,PIT,TE,12,DEN,17,26,4300,9.26
11,Trey Burton,CHI,TE,12,DET,25,17,null,9.24
12,Eric Ebron,IND,TE,12,MIA,21,19,4000,8.77
13,Kyle Rudolph,MIN,TE,12,GB,15,4,3200,8.44
14,David Njoku,CLE,TE,12,CIN,32,27,3800,8.25
14,Jeff Heuerman,DEN,TE,12,PIT,12,20,3400,8.25
16,Cameron Brate,TB,TE,12,SF,22,14,3600,7.62
17,Benjamin Watson,NO,TE,12,ATL,30,12,3200,7
18,CJ Uzomah,CIN,TE,12,CLE,27,23,3300,6.87
19,Chris Herndon IV,NYJ,TE,12,NE,23,29,2900,6.78
20,Jimmy Graham,GB,TE,12,MIN,6,15,2500,6.58
21,Nick Vannett,SEA,TE,12,CAR,20,32,2700,6.56
22,Ricky Seals-Jones,ARI,TE,12,LAC,9,13,3100,6.32
23,Jonnu Smith,TEN,TE,12,HOU,8,22,2800,5.98
24,James O'Shaughnessy,JAX,TE,12,BUF,3,10,2600,5.46
25,Mark Andrews,BAL,TE,12,OAK,28,25,2600,5.45
26,Antonio Gates,LAC,TE,12,ARI,13,7,2900,5.29
27,Jesse James,PIT,TE,12,DEN,17,26,2600,4.99
28,Vernon Davis,WAS,TE,12,DAL,4,18,2500,4.45
29,Josh Hill,NO,TE,12,ATL,30,12,2500,4.37
29,Ryan Griffin,HOU,TE,12,TEN,5,1,2500,4.37
31,Charles Clay,BUF,TE,12,JAX,7,28,2500,4.36
32,Michael Roberts,DET,TE,12,CHI,2,9,null,4.34
33,Ed Dickson,SEA,TE,12,CAR,20,32,2600,4.3
34,Dallas Goedert,PHI,TE,12,NYG,19,11,2500,3.84
35,Virgil Green,LAC,TE,12,ARI,13,7,2500,3.65
36,Jason Croom,BUF,TE,12,JAX,7,28,2500,3.51
37,Mike Gesicki,MIA,TE,12,IND,14,21,2500,3.46
38,Mo Alie-Cox,IND,TE,12,MIA,21,19,2500,3.37
39,Luke Willson,DET,TE,12,CHI,2,9,null,3.35
40,AJ Derby,MIA,TE,12,IND,14,21,2500,3.31
40,Jordan Thomas,HOU,TE,12,TEN,5,1,2700,3.31
42,Matt LaCosse,DEN,TE,12,PIT,12,20,2500,3.26
43,Lance Kendricks,GB,TE,12,MIN,6,15,2600,3.2
44,Nick Boyle,BAL,TE,12,OAK,28,25,2600,3.1
45,Nick O'Leary,MIA,TE,12,IND,14,21,2500,3.09
46,Jermaine Gresham,ARI,TE,12,LAC,9,13,2500,3.02
47,Blake Jarwin,DAL,TE,12,WAS,10,7,2500,2.9
48,Rhett Ellison,NYG,TE,12,PHI,24,2,2500,2.89
49,Hayden Hurst,BAL,TE,12,OAK,28,25,2500,2.83
50,Maxx Williams,BAL,TE,12,OAK,28,25,2500,2.69
50,Jordan Akins,HOU,TE,12,TEN,5,1,2500,2.69
52,Luke Stocker,TEN,TE,12,HOU,8,22,2500,2.56
53,Adam Shaheen,CHI,TE,12,DET,25,17,null,2.41
54,Jordan Leggett,NYJ,TE,12,NE,23,29,2500,2.26
55,Rico Gathers,DAL,TE,12,WAS,10,7,2500,2.22
56,Darren Fells,CLE,TE,12,CIN,32,27,2500,2.07
56,Blake Bell,JAX,TE,12,BUF,3,10,2500,2.07
58,Seth DeValve,CLE,TE,12,CIN,32,27,2600,2.04
59,Eric Tomlinson,NYJ,TE,12,NE,23,29,2500,1.95
60,Logan Thomas,BUF,TE,12,JAX,7,28,2500,1.82
61,Garrett Celek,SF,TE,12,TB,31,31,2500,1.69
62,David Morgan,MIN,TE,12,GB,15,4,2500,1.67
63,Dalton Schultz,DAL,TE,12,WAS,10,7,2500,1.58
64,Matt Lengel,CIN,TE,12,CLE,27,23,2500,1.5
65,Jordan Franks,CIN,TE,12,CLE,27,23,2500,1.46
66,Levine Toilolo,DET,TE,12,CHI,2,9,null,1.42
67,Derek Carrier,OAK,TE,12,BAL,1,16,2500,1.39
68,Marcedes Lewis,GB,TE,12,MIN,6,15,2500,1.22
69,Anthony Firkser,TEN,TE,12,HOU,8,22,2500,1.18
70,Jacob Hollister,NE,TE,12,NYJ,16,6,2500,1.13
71,Antony Auclair,TB,TE,12,SF,22,14,2500,1.11
72,Eric Saubert,ATL,TE,12,NO,18,3,2500,1.1
73,Ben Koyack,JAX,TE,12,BUF,3,10,2500,1.01
74,Erik Swoope,IND,TE,12,MIA,21,19,2500,0.99
75,Ben Braunecker,CHI,TE,12,DET,25,17,null,0.85
76,MyCole Pruitt,TEN,TE,12,HOU,8,22,2500,0.79
77,Richard Rodgers,PHI,TE,12,NYG,19,11,2500,0.78
78,Logan Paulsen,ATL,TE,12,NO,18,3,2500,0.73
79,Ian Thomas,CAR,TE,12,SEA,11,5,2500,0.69
80,Dwayne Allen,NE,TE,12,NYJ,16,6,2500,0.54
81,Dion Sims,CHI,TE,12,DET,25,17,null,0.5
81,Xavier Grimble,PIT,TE,12,DEN,17,26,2500,0.5
83,Ross Dwelley,SF,TE,12,TB,31,31,2500,0.41
84,Jerell Adams,HOU,TE,12,TEN,5,1,null,0.33
85,Tyler Conklin,MIN,TE,12,GB,15,4,2500,0.32
86,Lee Smith,OAK,TE,12,BAL,1,16,2500,0.31
87,Orson Charles,CLE,TE,12,CIN,32,27,2500,0.29
88,Joshua Perkins,PHI,TE,12,NYG,19,11,null,0.27
89,Darrell Daniels,SEA,TE,12,CAR,20,32,2500,0.26
90,Scott Simonson,NYG,TE,12,PHI,24,2,2500,0.25
91,John Phillips,ARI,TE,12,LAC,9,13,2500,0.22
92,Jeremy Sprinkle,WAS,TE,12,DAL,4,18,2500,0.21
92,Durham Smythe,MIA,TE,12,IND,14,21,2500,0.21
94,Chris Manhertz,CAR,TE,12,SEA,11,5,2500,0.2
95,Brian Parker,DEN,TE,12,PIT,12,20,2500,0.08
96,Hakeem Valles,DET,TE,12,CHI,2,9,null,0
96,Geoff Swaim,DAL,TE,12,WAS,10,7,2700,0
96,Michael Hoomanawanui,NO,TE,12,ATL,30,12,null,0
96,Garrett Griffin,NO,TE,12,ATL,30,12,null,0
96,Niles Paul,JAX,TE,12,BUF,3,10,2500,0
96,Austin Seferian-Jenkins,JAX,TE,12,BUF,3,10,2500,0
96,David Grinnage,JAX,TE,12,BUF,3,10,null,0
96,Will Dissly,SEA,TE,12,CAR,20,32,2500,0
96,Tyler Eifert,CIN,TE,12,CLE,27,23,2500,0
96,Tyler Kroft,CIN,TE,12,CLE,27,23,null,0
96,Mason Schreck,CIN,TE,12,CLE,27,23,null,0
96,Cethan Carter,CIN,TE,12,CLE,27,23,null,0
96,MarQueis Gray,MIA,TE,12,IND,14,21,null,0
96,Ross Travis,IND,TE,12,MIA,21,19,null,0
96,Ryan Izzo,NE,TE,12,NYJ,16,6,null,0
96,Garrett Dickerson,NYG,TE,12,PHI,24,2,null,0
96,Cole Wick,SF,TE,12,TB,31,31,null,0
96,OJ Howard,TB,TE,12,SF,22,14,4900,0
96,Sean Culkin,LAC,TE,12,ARI,13,7,2500,0
96,Ryan Malleck,PIT,TE,12,DEN,17,26,null,0
96,Jake Butt,DEN,TE,12,PIT,12,20,null,0
96,Troy Fumagalli,DEN,TE,12,PIT,12,20,null,0
96,Delanie Walker,TEN,TE,12,HOU,8,22,2500,0
96,Bucky Hodges,PIT,TE,12,DEN,17,26,null,0
96,Stephen Anderson,NE,TE,12,NYJ,16,6,null,0
96,Tyrone Swoopes,SEA,TE,12,CAR,20,32,null,0
96,Gabe Holmes,ARI,TE,12,LAC,9,13,null,0
