Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Julio Jones,ATL,WR,12,NO,18,32,8300,24.59
2,Michael Thomas,NO,WR,12,ATL,30,28,8900,22.37
3,Antonio Brown,PIT,WR,12,DEN,17,15,8700,20.3
4,Adam Thielen,MIN,WR,12,GB,15,27,7800,20.28
5,DeAndre Hopkins,HOU,WR,12,TEN,5,26,7900,19.97
6,Odell Beckham Jr,NYG,WR,12,PHI,24,31,8800,19.81
7,Davante Adams,GB,WR,12,MIN,6,3,8000,19.71
8,Mike Evans,TB,WR,12,SF,22,20,7700,17.71
9,Keenan Allen,LAC,WR,12,ARI,13,9,7100,17.27
10,Stefon Diggs,MIN,WR,12,GB,15,27,7600,16.53
11,T.Y. Hilton,IND,WR,12,MIA,21,10,6500,16.52
12,JuJu Smith-Schuster,PIT,WR,12,DEN,17,15,7500,15.94
13,Julian Edelman,NE,WR,12,NYJ,16,23,7000,15.28
14,Emmanuel Sanders,DEN,WR,12,PIT,12,11,5500,15.01
15,Jarvis Landry,CLE,WR,12,CIN,32,24,5900,14.55
16,Kenny Golladay,DET,WR,12,CHI,2,17,null,14.36
17,Tyler Boyd,CIN,WR,12,CLE,27,19,6000,14.25
18,AJ Green,CIN,WR,12,CLE,27,19,7600,14.18
19,Josh Gordon,NE,WR,12,NYJ,16,23,6400,13.25
20,Alshon Jeffery,PHI,WR,12,NYG,19,13,5800,12.86
21,Allen Robinson,CHI,WR,12,DET,25,25,null,12.73
22,Calvin Ridley,ATL,WR,12,NO,18,32,5400,12.43
23,Amari Cooper,DAL,WR,12,WAS,10,18,5700,12.38
24,Corey Davis,TEN,WR,12,HOU,8,5,5200,12.28
25,DeSean Jackson,TB,WR,12,SF,22,20,4900,12.16
26,Doug Baldwin,SEA,WR,12,CAR,20,16,5100,12.1
27,Golden Tate,PHI,WR,12,NYG,19,13,4800,12
28,Larry Fitzgerald,ARI,WR,12,LAC,9,8,5000,11.78
29,Sterling Shepard,NYG,WR,12,PHI,24,31,5300,11.66
30,Keke Coutee,HOU,WR,12,TEN,5,26,4600,11.6
31,Tyler Lockett,SEA,WR,12,CAR,20,16,5200,11.22
32,Courtland Sutton,DEN,WR,12,PIT,12,11,4400,11
33,Christian Kirk,ARI,WR,12,LAC,9,8,4500,10.97
34,Danny Amendola,MIA,WR,12,IND,14,7,4600,10.95
35,Marvin Jones,DET,WR,12,CHI,2,17,null,10.86
36,Tre'Quan Smith,NO,WR,12,ATL,30,28,4700,10.81
37,Marquise Goodwin,SF,WR,12,TB,31,30,5600,10.74
38,Mohamed Sanu,ATL,WR,12,NO,18,32,4500,10.71
39,D.J. Moore,CAR,WR,12,SEA,11,20,4600,10.63
40,Devin Funchess,CAR,WR,12,SEA,11,20,4700,10.45
41,Marquez Valdes-Scantling,GB,WR,12,MIN,6,3,4800,10.28
42,Kenny Stills,MIA,WR,12,IND,14,7,3900,10.2
43,Michael Crabtree,BAL,WR,12,OAK,28,22,4600,10.15
44,Adam Humphries,TB,WR,12,SF,22,20,4000,9.97
