Team,Home,PointSpread,OverUnder
CHI,FALSE,-3,44.5
DAL,TRUE,-7.5,40.5
NO,TRUE,-13,59.5
NE,FALSE,-9.5,46
PHI,TRUE,-6,46
TB,TRUE,-3.5,55
BAL,TRUE,-11,43.5
JAX,FALSE,-3,37.5
CAR,TRUE,-3.5,47
CIN,TRUE,-3,47.5
LAC,TRUE,-11.5,44.5
IND,TRUE,-9,51
PIT,FALSE,-3,47
MIN,TRUE,-3.5,47.5
HOU,TRUE,-5.5,44.5
DET,TRUE,3,44.5
WAS,FALSE,7.5,40.5
ATL,FALSE,13,59.5
NYJ,TRUE,9.5,46
NYG,FALSE,6,46
SF,FALSE,3.5,55
OAK,FALSE,11,43.5
BUF,TRUE,3,37.5
SEA,FALSE,3.5,47
CLE,FALSE,3,47.5
ARI,FALSE,11.5,44.5
MIA,FALSE,9,51
DEN,TRUE,3,47
GB,FALSE,3.5,47.5
TEN,FALSE,5.5,44.5
