Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Adam Thielen,MIN,WR,11,126,93,73.8,1138,8,68,9,12.2,2,20,10,0,1,1,25.9,284.8
2,Tyreek Hill,KC,WR,11,94,65,69.1,1106,11,75,11.8,17,13,81,6.2,0,0,0,24.3,267.7
3,Julio Jones,ATL,WR,11,125,84,67.2,1305,3,58,10.4,15.5,2,12,6,0,2,2,23.2,255.7
4,Davante Adams,GB,WR,11,114,77,67.5,1022,10,57,9,13.3,0,0,0,0,0,0,22.8,251.2
5,Michael Thomas,NO,WR,11,97,86,88.7,1080,8,72,11.1,12.6,0,0,0,0,2,2,22.6,249
6,Antonio Brown,PIT,WR,11,122,71,58.2,874,11,78,7.2,12.3,0,0,0,0,0,0,21.2,233.4
7,DeAndre Hopkins,HOU,WR,11,102,73,71.6,1024,8,49,10,14,1,-7,-7,0,2,2,21.2,232.7
8,Odell Beckham Jr,NYG,WR,11,115,74,64.3,1017,5,51,8.8,13.7,5,19,3.8,0,2,1,20.7,227.88
9,JuJu Smith-Schuster,PIT,WR,11,110,77,70,1055,4,97,9.6,13.7,1,13,13,0,0,0,20.7,227.8
10,Mike Evans,TB,WR,11,99,62,62.6,1073,5,72,10.8,17.3,0,0,0,1,2,1,20.2,222.3
11,Stefon Diggs,MIN,WR,10,115,79,68.7,790,6,75,6.9,10,8,48,6,0,0,0,21.3,212.8
12,Emmanuel Sanders,DEN,WR,11,92,67,72.8,849,4,64,9.2,12.7,4,53,13.2,1,1,0,18.3,201.32
13,Brandin Cooks,LAR,WR,11,84,59,70.2,964,3,57,11.5,16.3,7,41,5.9,1,1,0,18,198.5
14,Robert Woods,LAR,WR,11,90,59,65.6,904,4,36,10,15.3,13,111,8.5,0,0,0,17.6,193.5
15,Tyler Boyd,CIN,WR,11,89,63,70.8,841,6,49,9.4,13.3,2,3,1.5,0,0,0,17.5,192.4
16,Keenan Allen,LAC,WR,11,94,69,73.4,848,4,54,9,12.3,8,75,9.4,0,3,1,17.3,190.3
17,Kenny Golladay,DET,WR,11,84,52,61.9,804,5,60,9.6,15.5,1,8,8,0,1,0,15.4,169.2
18,Tyler Lockett,SEA,WR,11,54,43,79.6,661,8,52,12.2,15.4,8,48,6,0,1,0,15,164.9
19,Calvin Ridley,ATL,WR,11,66,47,71.2,625,8,75,9.5,13.3,6,27,4.5,0,2,1,14.7,162.2
20,T.Y. Hilton,IND,WR,9,73,45,61.6,710,6,68,9.7,15.8,0,0,0,0,0,0,17.9,161
21,DeSean Jackson,TB,WR,11,70,40,57.1,750,4,75,10.7,18.8,5,25,5,1,0,0,14.2,156.5
22,AJ Green,CIN,WR,8,76,45,59.2,687,6,38,9,15.3,0,0,0,0,2,1,19.3,154.7
23,Corey Davis,TEN,WR,11,84,49,58.3,702,3,51,8.4,14.3,3,42,14,0,1,0,13.4,147.4
24,Golden Tate,PHI,WR,10,89,55,61.8,614,3,67,6.9,11.2,4,34,8.5,0,1,0,14.4,143.8
25,Jarvis Landry,CLE,WR,11,111,60,54.1,630,2,39,5.7,10.5,0,0,0,0,0,0,13,143
26,Amari Cooper,DAL,WR,10,63,44,69.8,629,4,90,10,14.3,1,9,9,0,0,0,14.1,140.8
27,Cooper Kupp,LAR,WR,8,56,40,71.4,566,6,70,10.1,14.2,4,25,6.2,0,0,0,17.3,138.1
28,Sterling Shepard,NYG,WR,11,70,48,68.6,610,3,58,8.7,12.7,1,27,27,0,1,0,12.2,134.7
29,John Brown,BAL,WR,11,75,36,48,649,4,71,8.7,18,3,4,1.3,0,0,0,11.9,131.3
30,Chris Godwin,TB,WR,11,61,44,72.1,575,4,25,9.4,13.1,0,0,0,0,3,1,11.8,129.5
31,Dede Westbrook,JAX,WR,11,66,43,65.2,528,4,61,8,12.3,6,70,11.7,0,2,1,11.7,128.8
32,Taylor Gabriel,CHI,WR,11,69,51,73.9,527,2,54,7.6,10.3,8,53,6.6,0,0,0,11.5,127
33,Demaryius Thomas,HOU,WR,11,65,43,66.2,501,5,45,7.7,11.7,0,0,0,0,0,0,11.5,126.1
34,Adam Humphries,TB,WR,11,64,46,71.9,545,4,51,8.5,11.8,2,11,5.5,0,0,0,11.4,125.6
35,Julian Edelman,NE,WR,7,61,44,72.1,510,3,36,8.4,11.6,5,48,9.6,0,1,0,17.9,125.52
36,Larry Fitzgerald,ARI,WR,11,71,44,62,460,5,37,6.5,10.5,0,0,0,0,0,0,11.4,125
37,Sammy Watkins,KC,WR,10,55,40,72.7,519,3,50,9.4,13,5,52,10.4,0,1,0,12.1,121.1
38,D.J. Moore,CAR,WR,11,48,38,79.2,565,2,82,11.8,14.9,9,129,14.3,0,3,2,10.9,120.4
39,Marvin Jones,DET,WR,9,62,35,56.5,508,5,39,8.2,14.5,0,0,0,0,0,0,13.2,118.8
39,Mohamed Sanu,ATL,WR,11,58,42,72.4,546,3,43,9.4,13,3,2,0.7,0,1,1,10.8,118.8
41,Tyrell Williams,LAC,WR,11,42,28,66.7,519,5,75,12.4,18.5,2,15,7.5,0,1,0,10.7,117.4
42,Will Fuller,HOU,WR,7,45,32,71.1,503,4,73,11.2,15.7,0,0,0,0,0,0,16.5,115.3
43,Alshon Jeffery,PHI,WR,8,60,40,66.7,461,4,31,7.7,11.5,0,0,0,0,1,0,14.1,113.1
44,Michael Crabtree,BAL,WR,11,85,45,52.9,500,3,27,5.9,11.1,0,0,0,0,0,0,10.3,113
45,Christian Kirk,ARI,WR,11,60,40,66.7,536,3,75,8.9,13.4,2,12,6,0,0,0,10.3,112.8
46,Josh Gordon,NE,WR,9,57,32,56.1,564,3,55,9.9,17.6,0,0,0,0,0,0,12.5,112.4
46,Allen Robinson,CHI,WR,9,62,36,58.1,494,4,39,8,13.7,0,0,0,0,0,0,12.5,112.4
48,Devin Funchess,CAR,WR,10,68,41,60.3,516,3,27,7.6,12.6,0,0,0,0,0,0,11.1,110.6
49,Mike Williams,LAC,WR,11,39,24,61.5,419,7,55,10.7,17.5,4,16,4,0,0,0,10,109.5
50,Willie Snead,BAL,WR,11,77,50,64.9,499,1,26,6.5,10,1,13,13,0,0,0,9.7,107.2
51,Cole Beasley,DAL,WR,11,61,46,75.4,459,2,21,7.5,10,0,0,0,0,0,0,9.7,106.9
52,Danny Amendola,MIA,WR,11,62,48,77.4,469,1,39,7.6,9.8,0,0,0,0,0,0,9.6,106.02
53,Donte Moncrief,JAX,WR,11,66,34,51.5,517,3,80,7.8,15.2,0,0,0,0,1,1,9.6,105.7
54,Anthony Miller,CHI,WR,10,48,29,60.4,398,5,55,8.3,13.7,3,15,5,0,0,0,10.4,103.62
55,Nelson Agholor,PHI,WR,11,71,47,66.2,467,1,58,6.6,9.9,3,32,10.7,0,1,0,9.4,103.5
56,Albert Wilson,MIA,WR,7,35,26,74.3,391,4,75,11.2,15,8,16,2,0,0,0,14.3,99.78
57,David Moore,SEA,WR,11,37,22,59.5,413,5,54,11.2,18.8,1,5,5,0,2,0,8.8,96.8
58,Antonio Callaway,CLE,WR,11,56,30,53.6,388,3,59,6.9,12.9,2,7,3.5,0,0,0,8.1,89.5
59,Tre'Quan Smith,NO,WR,10,33,22,66.7,371,4,62,11.2,16.9,0,0,0,0,0,0,8.9,89.1
60,Zay Jones,BUF,WR,11,60,37,61.7,392,2,57,6.5,10.6,1,0,0,0,1,0,8,88.2
61,Marquez Valdes-Scantling,GB,WR,11,44,25,56.8,413,2,60,9.4,16.5,0,0,0,0,0,0,7.7,84.3
62,Courtland Sutton,DEN,WR,11,52,24,46.2,473,2,42,9.1,19.7,0,0,0,0,0,0,7.6,83.3
63,Jordy Nelson,OAK,WR,10,40,25,62.5,353,3,66,8.8,14.1,1,-2,-2,0,1,0,8.3,83.1
64,Kenny Stills,MIA,WR,10,37,20,54.1,332,4,75,9,16.6,0,0,0,0,0,0,8.2,82.2
65,Chester Rogers,IND,WR,11,54,37,68.5,353,1,34,6.5,9.5,1,-4,-4,0,0,0,7.4,81.9
66,Curtis Samuel,CAR,WR,8,25,19,76,196,4,25,7.8,10.3,5,68,13.6,2,1,1,10,80.4
67,Quincy Enunwa,NYJ,WR,9,59,33,55.9,418,1,42,7.1,12.7,1,0,0,0,2,1,8.9,79.8
68,Marquise Goodwin,SF,WR,8,32,17,53.1,339,4,67,10.6,19.9,4,9,2.2,0,0,0,9.8,78.8
69,Robby Anderson,NYJ,WR,9,47,23,48.9,368,3,76,7.8,16,2,-8,-4,0,2,2,8.7,78
70,Doug Baldwin,SEA,WR,9,46,35,76.1,366,1,42,8,10.5,0,0,0,0,0,0,8.6,77.6
71,Josh Doctson,WAS,WR,10,57,32,56.1,334,2,24,5.9,10.4,0,0,0,0,0,0,7.7,77.4
72,Chris Hogan,NE,WR,11,38,25,65.8,380,2,42,10,15.2,0,0,0,0,0,0,6.8,75
73,Keelan Cole,JAX,WR,11,51,29,56.9,375,1,32,7.4,12.9,0,0,0,0,2,2,6.7,73.5
74,Jakeem Grant,MIA,WR,10,34,21,61.8,268,2,52,7.9,12.8,1,5,5,0,0,0,7.2,72.3
75,Seth Roberts,OAK,WR,10,40,27,67.5,319,2,44,8,11.8,1,11,11,0,0,0,7.2,72
76,Kendrick Bourne,SF,WR,11,40,25,62.5,257,3,27,6.4,10.3,0,0,0,0,0,0,6.2,68.7
77,Chris Conley,KC,WR,11,31,22,71,223,4,27,7.2,10.1,0,0,0,0,1,1,6.1,67.3
78,Jermaine Kearse,NYJ,WR,10,65,30,46.2,297,1,22,4.6,9.9,0,0,0,0,0,0,6.6,65.7
78,Keke Coutee,HOU,WR,6,41,28,68.3,287,1,40,7,10.2,3,0,0,0,0,0,11,65.7
80,Ryan Grant,IND,WR,9,41,30,73.2,294,1,23,7.2,9.8,0,0,0,0,0,0,7.3,65.4
81,Phillip Dorsett,NE,WR,11,37,27,73,256,2,20,6.9,9.5,0,0,0,0,0,0,5.9,64.6
82,Rashard Higgins,CLE,WR,8,31,21,67.7,315,2,38,10.2,15,0,0,0,0,1,0,8.1,64.5
82,Tajae Sharpe,TEN,WR,11,35,22,62.9,259,2,19,7.4,11.8,1,16,16,0,0,0,5.9,64.5
84,Cordarrelle Patterson,NE,WR,11,18,13,72.2,120,2,55,6.7,9.2,37,156,4.2,1,1,1,5.8,63.6
85,Jarius Wright,CAR,WR,11,35,26,74.3,257,1,28,7.3,9.9,1,34,34,0,2,0,5.7,63.1
86,Geronimo Allison,GB,WR,5,30,20,66.7,303,2,64,10.1,15.2,0,0,0,0,1,0,12.5,62.3
87,Laquon Treadwell,MIN,WR,11,45,29,64.4,266,1,22,5.9,9.2,0,0,0,0,0,0,5.6,61.6
88,John Ross,CIN,WR,8,36,14,38.9,176,5,39,4.9,12.6,1,-3,-3,0,0,0,7.7,61.3
89,Kelvin Benjamin,BUF,WR,11,58,21,36.2,334,1,40,5.8,15.9,0,0,0,0,0,0,5.5,60.4
90,Maurice Harris,WAS,WR,9,43,27,62.8,291,0,42,6.8,10.8,2,10,5,0,0,0,6.7,60.1
91,Randall Cobb,GB,WR,5,38,26,68.4,258,1,75,6.8,9.9,0,0,0,0,2,1,12,59.8
92,Paul Richardson,WAS,WR,7,35,20,57.1,262,2,46,7.5,13.1,2,9,4.5,0,0,0,8.4,59.1
93,Pierre Garcon,SF,WR,8,45,24,53.3,286,1,25,6.4,11.9,0,0,0,0,0,0,7.3,58.6
94,Ryan Switzer,PIT,WR,11,33,27,81.8,214,1,24,6.5,7.9,5,18,3.6,0,2,0,5.1,56.2
95,Michael Gallup,DAL,WR,11,42,18,42.9,304,1,49,7.2,16.9,0,0,0,0,0,0,4.9,54.4
96,Terrelle Pryor,BUF,WR,8,30,16,53.3,252,2,44,8.4,15.8,1,-1,-1,0,0,0,6.6,53.1
97,Allen Hurns,DAL,WR,11,32,17,53.1,228,2,33,7.1,13.4,0,0,0,0,1,0,4.7,51.8
98,Jordan Matthews,PHI,WR,9,22,16,72.7,277,1,56,12.6,17.3,0,0,0,0,0,0,5.5,49.7
99,Josh Reynolds,LAR,WR,11,20,13,65,178,3,27,8.9,13.7,2,8,4,0,0,0,4.5,49.6
100,Aldrick Robinson,MIN,WR,9,17,10,58.8,150,4,34,8.8,15,0,0,0,0,0,0,5.4,49
101,Taywan Taylor,TEN,WR,8,30,21,70,214,1,19,7.1,10.2,0,0,0,0,1,1,5.9,47.4
102,Torrey Smith,CAR,WR,7,27,16,59.3,171,2,35,6.3,10.7,0,0,0,0,0,0,6.7,47.1
103,Martavis Bryant,OAK,WR,8,27,19,70.4,266,0,47,9.9,14,3,23,7.7,0,1,1,5.9,46.9
104,Devante Parker,MIA,WR,6,29,17,58.6,235,0,46,8.1,13.8,0,0,0,0,0,0,7.2,43.5
105,Bruce Ellington,DET,WR,5,28,20,71.4,172,1,23,6.1,8.6,1,2,2,0,0,0,8.7,43.4
106,Dante Pettis,SF,WR,8,21,11,52.4,185,2,39,8.8,16.8,0,0,0,0,2,0,5.2,41.5
107,Ted Ginn,NO,WR,4,22,12,54.5,135,2,42,6.1,11.2,3,26,8.7,0,1,1,10.3,41.1
108,Trent Taylor,SF,WR,9,29,19,65.5,150,1,16,5.2,7.9,0,0,0,0,1,0,4.4,40
109,Dontrelle Inman,IND,WR,5,21,17,81,167,1,22,8,9.8,0,0,0,0,0,0,7.9,39.7
110,Robert Foster,BUF,WR,8,16,7,43.8,229,1,75,14.3,32.7,0,0,0,0,0,0,4.9,38.9
111,Tavon Austin,DAL,WR,6,10,7,70,130,2,64,13,18.6,6,55,9.2,0,0,0,6.2,37.5
111,Brandon LaFell,OAK,WR,6,16,12,75,135,2,24,8.4,11.2,0,0,0,0,0,0,6.2,37.5
113,Jamison Crowder,WAS,WR,4,20,13,65,134,1,24,6.7,10.3,3,35,11.7,0,0,0,9,35.9
113,Zach Pascal,IND,WR,11,29,16,55.2,131,1,18,4.5,8.2,1,8,8,0,0,0,3.3,35.9
115,Equanimeous St. Brown,GB,WR,8,24,13,54.2,215,0,54,9,16.5,1,5,5,0,0,0,4.4,35
116,Jaron Brown,SEA,WR,10,13,8,61.5,83,3,19,6.4,10.4,0,0,0,0,0,0,3.4,34.3
117,Austin Carr,NO,WR,11,13,9,69.2,97,2,25,7.5,10.8,0,0,0,0,0,0,2.8,30.7
118,Brandon Marshall,NO,WR,7,23,11,47.8,136,1,27,5.9,12.4,0,0,0,0,0,0,4.4,30.6
119,Chris Moore,BAL,WR,11,17,14,82.4,143,0,30,8.4,10.2,4,22,5.5,0,0,0,2.8,30.5
120,D.J. Chark,JAX,WR,10,30,14,46.7,174,0,38,5.8,12.4,0,0,0,0,1,1,3,30.4
121,Marvin Hall,ATL,WR,11,13,9,69.2,139,1,47,10.7,15.4,1,3,3,0,0,0,2.7,29.2
122,Chad Williams,ARI,WR,8,31,11,35.5,113,1,22,3.6,10.3,0,0,0,0,0,0,3.5,28.3
123,Andre Holmes,BUF,WR,11,23,12,52.2,157,0,24,6.8,13.1,0,0,0,0,0,0,2.5,27.7
124,Demarcus Robinson,KC,WR,11,17,11,64.7,95,1,23,5.6,8.6,0,0,0,0,0,0,2.4,26.5
125,Deonte Thompson,BUF,WR,9,23,14,60.9,124,0,15,5.4,8.9,0,0,0,0,0,0,2.9,26.4
126,Josh Bellamy,CHI,WR,11,17,10,58.8,83,1,20,4.9,8.3,0,0,0,0,0,0,2.4,26.3
127,Damion Ratley,CLE,WR,8,19,12,63.2,142,0,27,7.5,11.8,0,0,0,0,0,0,3.3,26.2
128,Cameron Meredith,NO,WR,6,10,9,90,114,1,46,11.4,12.7,0,0,0,0,1,1,4.2,25.4
129,Trey Quinn,WAS,WR,3,10,9,90,75,1,15,7.5,8.3,1,0,0,0,0,0,7.5,22.5
130,Marcus Johnson,IND,WR,5,8,6,75,102,1,34,12.8,17,1,-2,-2,0,0,0,4.4,22
131,James Washington,PIT,WR,10,25,8,32,77,1,14,3.1,9.6,0,0,0,0,0,0,2.2,21.7
