Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Tim White,BAL,WR,3,2,0.7,0.8,0,50,50,50,2.4,120
2,Leonte Carroo,MIA,WR,4,39,9.8,16,2.6,7.7,7.7,10.3,18.8,48.2
3,Keon Hatcher,OAK,WR,2,2,1,1.5,0,100,50,100,1.8,90
4,Curtis Samuel,CAR,WR,8,166,20.8,29.7,3,15.1,14.5,18.1,80.4,48.4
5,Aldrick Robinson,MIN,WR,9,115,12.8,19.1,0,14.8,8.7,14.8,49,42.6
6,Albert Wilson,MIA,WR,7,231,33,48.2,3.5,15.2,15.2,19,99.78,43.2
7,Tyreek Hill,KC,WR,11,632,57.5,88.4,2.1,14.9,12.3,16.9,267.7,42.4
8,Isaiah McKenzie,BUF,WR,3,43,14.3,21.1,11.6,9.3,18.6,20.9,15.5,36
9,Tavon Austin,DAL,WR,6,106,17.7,16.5,5.7,9.4,12.3,15.1,37.5,35.4
9,Brandon Zylstra,MIN,WR,11,8,0.7,1.1,0,12.5,12.5,12.5,3.3,41.2
11,Dwayne Harris,OAK,WR,10,16,1.6,2.5,12.5,31.2,43.8,43.8,9.3,58.1
12,De'Anthony Thomas,KC,WR,5,36,7.2,10.7,2.8,13.9,11.1,16.7,12.5,34.7
13,DeSean Jackson,TB,WR,11,424,38.5,53.7,1.2,16.5,10.6,17.7,156.5,36.9
14,Tommylee Lewis,NO,WR,3,35,11.7,18.7,0,2.9,2.9,2.9,9.8,28
15,Calvin Ridley,ATL,WR,11,448,40.7,60.2,1.3,14.7,11.8,16.1,162.2,36.2
16,Davante Adams,GB,WR,11,675,61.4,93.9,0,16.9,11.4,16.9,251.2,37.2
16,Julio Jones,ATL,WR,11,607,55.2,81.6,0.3,20.6,14.2,20.9,255.7,42.1
18,Cordarrelle Patterson,NE,WR,11,183,16.6,24.1,20.2,9.8,27.3,30.1,63.6,34.8
19,Michael Thomas,NO,WR,11,648,58.9,87.3,0,15,13.3,15,249,38.4
20,AJ Green,CIN,WR,8,442,55.2,64.4,0,17.2,10.2,17.2,154.7,35
21,Adam Thielen,MIN,WR,11,721,65.5,96.8,0.3,17.5,13.2,17.8,284.8,39.5
22,T.Y. Hilton,IND,WR,9,480,53.3,77.2,0,15.2,9.4,15.2,161,33.5
23,Cooper Kupp,LAR,WR,8,439,54.9,72,0.9,12.8,10,13.7,138.1,31.5
24,Mike Evans,TB,WR,11,660,60,83.5,0,15,9.4,15,222.3,33.7
25,Odell Beckham Jr,NYG,WR,11,650,59.1,93.9,0.8,17.7,12.3,18.6,227.88,35.1
