Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
SF,26.6,293,703,3854,5.5,228,146,39,42,59.5,1130,4,22.6,6.2,15.2,8,394,61.9,2724,6.9,11.2,23,100
CHI,19.2,211,703,3477,4.9,200,151,35.1,28,60.7,889,3.6,27.4,7.5,14.5,4,421,63.9,2588,6.1,9.6,19,76
CIN,31.5,347,780,4836,6.2,285,156,55.1,44,70.5,1622,4.7,12.8,5.5,14.2,14,413,67.3,3214,7.8,11.6,25,100
BUF,24.7,272,676,3355,5,212,144,38.2,35,68.6,1224,4.2,26.5,7.3,17.1,12,357,63.6,2131,6,9.4,15,82
DEN,22.9,252,719,4282,6,220,149,39.6,34,58.8,1354,4.7,20.8,7.7,16,8,398,64.6,2928,7.4,11.4,20,91
CLE,25.7,283,790,4569,5.8,269,145,36.6,39,66.7,1450,4.8,22,5.1,13.2,15,461,62,3119,6.8,10.9,18,82
TB,30.7,338,671,4301,6.4,243,123,37.4,38,86.8,1284,4.7,24.5,7.3,17.1,14,368,73.1,3017,8.2,11.2,26,117
ARI,26.6,293,743,4011,5.4,247,143,39.2,38,60.5,1593,4.5,24.3,9.5,18.5,16,352,69,2418,6.9,10,16,96
LAC,19.9,219,669,3683,5.5,213,141,40.4,35,45.7,1183,4.4,20.8,7,16.5,6,372,63.7,2500,6.7,10.5,16,85
KC,26.7,294,765,4562,6,286,135,36.3,39,69.2,1293,5,22.2,7.1,14.5,13,468,63.2,3269,7,11,20,88
IND,24.8,273,702,3963,5.6,227,137,43.1,32,53.1,1170,4,25.7,6.7,13.5,8,379,71.8,2793,7.4,10.3,18,96
DAL,19.4,213,676,3642,5.4,207,141,44,31,48.4,1030,3.7,24,7.8,18.4,7,366,69.1,2612,7.1,10.3,15,95
MIA,25.7,283,698,4378,6.3,234,130,41.5,39,59,1538,4.8,16.6,4.7,11.3,9,361,67,2840,7.9,11.7,21,90
PHI,23,253,686,4181,6.1,210,142,37.3,42,47.6,1140,4.9,26.2,6.2,20.1,9,425,66.1,3041,7.2,10.8,17,95
ATL,27.9,307,688,4364,6.3,258,130,51.5,41,73.2,1361,5.1,13.4,5,11.2,13,399,70.2,3003,7.5,10.7,25,103
NYG,26.2,288,699,4156,5.9,239,138,43.5,40,50,1381,4.5,16.3,3.6,13,12,378,65.3,2775,7.3,11.2,15,89
JAX,22.1,243,664,3522,5.3,198,142,37.3,31,58.1,1260,4.2,18.2,5.8,15.7,10,341,60.1,2262,6.6,11,15,85
NYJ,25.5,281,736,4114,5.6,223,156,34,35,48.6,1410,4.4,17.5,5.3,16.6,11,394,62.4,2704,6.9,11,19,88
DET,26,286,635,3910,6.2,224,118,39,35,60,1288,4.7,18.2,8.9,15.3,8,328,69.2,2622,8,11.6,24,112
GB,24.3,267,705,3907,5.5,224,152,38.2,37,54.1,1352,4.4,18,9,15.5,10,363,63.9,2555,7,11,19,95
CAR,25.6,282,676,3921,5.8,231,128,39.8,32,75,1060,4.1,30.2,6,13.4,8,393,66.9,2861,7.3,10.9,25,98
NE,22.6,249,723,4152,5.7,236,144,43.1,37,59.5,1185,4.4,17.2,3.7,14.3,5,439,60.6,2967,6.8,11.2,22,86
OAK,29.7,327,656,4290,6.5,213,135,45.9,41,53.7,1665,4.9,11.5,3.2,9.8,10,307,63.2,2625,8.6,13.5,25,105
LAR,25.6,282,658,4098,6.2,228,125,41.6,32,68.8,1319,5.2,24.3,7.2,16.9,8,374,65.8,2779,7.4,11.3,25,99
BAL,18,198,686,3249,4.7,196,152,34.9,29,65.5,1013,3.9,24.9,7.5,15.5,8,393,57.8,2236,5.7,9.9,15,81
WAS,20.8,229,686,3973,5.8,227,132,43.2,34,50,1103,4.3,20.5,7.5,15.5,9,395,67.3,2870,7.3,10.8,18,92
NO,23.3,256,651,3948,6.1,228,120,38.3,34,67.6,805,3.6,29,7,15,10,397,69,3143,7.9,11.5,21,100
SEA,22.1,243,643,3957,6.2,229,118,36.4,36,55.6,1335,5.3,22.5,7.2,14.6,9,362,67.4,2622,7.2,10.7,18,92
PIT,22.6,249,701,3576,5.1,224,140,35.7,34,58.8,1120,4.2,28.2,9,18.9,8,396,62.4,2456,6.2,9.9,21,91
HOU,20.2,222,712,3670,5.2,202,161,39.8,29,69,1065,3.8,23.6,7.9,16.8,5,394,64.7,2605,6.6,10.2,19,90
TEN,20.3,223,675,3811,5.6,210,136,39.7,31,48.4,1281,4.4,20.3,7,15.1,8,358,66.2,2530,7.1,10.7,16,95
MIN,22.4,246,673,3462,5.1,211,123,27.6,37,43.2,1030,3.7,26.2,9.1,17.8,6,358,64,2432,6.8,10.6,14,85
