Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,11,55,175,3.2,13,15,8,69,3,0,0,12.2,134.4
2,Alvin Kamara,NO,RB,11,43,137,3.2,10,20,16,106,3,0,0,11.1,122.3
3,Melvin Gordon,LAC,RB,10,20,111,5.6,7,13,8,33,3,2,0,8.6,86.4
4,Kareem Hunt,KC,RB,11,27,69,2.6,7,9,6,54,3,0,0,7.1,78.3
5,Christian McCaffrey,CAR,RB,11,32,85,2.7,5,11,10,61,4,2,1,7.1,77.6
6,James White,NE,RB,11,16,29,1.8,3,17,11,80,6,0,0,6.9,75.9
7,Saquon Barkley,NYG,RB,11,33,82,2.5,5,13,9,58,3,0,0,6.6,73
8,James Conner,PIT,RB,11,30,86,2.9,7,7,6,36,1,1,0,6.4,70.2
9,Alex Collins,BAL,RB,10,21,94,4.5,7,4,2,11,1,1,1,6,59.5
10,Ezekiel Elliott,DAL,RB,11,28,92,3.3,5,13,8,40,1,1,0,5.2,57.2
11,David Johnson,ARI,RB,11,21,55,2.6,6,7,4,12,1,0,0,4.8,52.7
12,Joe Mixon,CIN,RB,9,19,47,2.5,5,6,5,36,1,0,0,5.5,49.3
13,Tevin Coleman,ATL,RB,11,15,36,2.4,1,9,8,51,4,0,0,4.2,46.7
14,Adrian Peterson,WAS,RB,11,26,45,1.7,5,2,2,15,1,1,1,3.9,43
15,Nick Chubb,CLE,RB,11,15,35,2.3,3,4,4,39,2,0,0,3.8,41.4
16,Aaron Jones,GB,RB,9,16,83,5.2,5,4,2,9,0,0,0,4.6,41.2
17,Javorius Allen,BAL,RB,11,11,12,1.1,3,6,6,36,2,0,0,3.7,40.8
18,Tarik Cohen,CHI,RB,11,9,42,4.7,1,9,6,49,3,0,0,3.6,39.1
19,Marlon Mack,IND,RB,7,20,69,3.4,4,2,2,11,0,0,0,5.4,38
20,Jordan Howard,CHI,RB,11,20,61,3,5,3,2,5,0,1,1,3.4,37.6
21,Matt Breida,SF,RB,11,21,56,2.7,2,4,4,37,2,0,0,3.4,37.3
22,TJ Yeldon,JAX,RB,11,11,41,3.7,1,7,4,41,3,0,0,3.3,36.2
23,Phillip Lindsay,DEN,RB,11,21,54,2.6,4,5,4,23,0,0,0,3.2,35.7
24,Leonard Fournette,JAX,RB,5,14,26,1.9,4,2,2,6,1,0,0,7,35.2
25,Kerryon Johnson,DET,RB,10,18,58,3.2,3,6,3,19,1,0,0,3.5,34.7
26,Carlos Hyde,JAX,RB,10,19,37,1.9,5,2,0,0,0,1,0,3.4,33.7
27,Ito Smith,ATL,RB,11,18,58,3.2,4,2,2,13,0,1,0,3,33.1
28,Chris Carson,SEA,RB,9,18,40,2.2,4,3,3,15,0,0,0,3.6,32.5
29,Peyton Barber,TB,RB,11,22,42,1.9,3,4,2,12,1,0,0,2.9,31.4
30,Mike Davis,SEA,RB,10,14,56,4,3,1,1,3,1,0,0,3.1,30.9
31,Nyheim Hines,IND,RB,11,18,52,2.9,1,5,4,32,2,0,0,2.8,30.4
32,Sony Michel,NE,RB,8,27,62,2.3,4,0,0,0,0,0,0,3.8,30.2
33,Duke Johnson,CLE,RB,11,3,1,0.3,0,6,4,38,3,0,0,2.7,29.9
34,Derrick Henry,TEN,RB,11,20,51,2.6,4,1,1,-6,0,0,0,2.7,29.5
35,Isaiah Crowell,NYJ,RB,11,16,43,2.7,4,0,0,0,0,0,0,2.6,28.3
36,Royce Freeman,DEN,RB,9,14,41,2.9,4,0,0,0,0,0,0,3.1,28.1
36,Mark Ingram,NO,RB,7,15,41,2.7,4,0,0,0,0,0,0,4,28.1
38,LeGarrette Blount,DET,RB,11,19,28,1.5,4,0,0,0,0,1,0,2.4,26.8
39,Latavius Murray,MIN,RB,11,13,29,2.2,3,2,2,10,0,0,0,2.4,25.9
40,Marshawn Lynch,OAK,RB,6,14,28,2,3,5,4,5,0,0,0,4.2,25.3
