Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Keenan Allen,LAC,WR,13,PIT,19,14,73.7,148,1,21,7.8,10.6,0,0,0,0,0,0,39.8,39.8
2,Antonio Brown,PIT,WR,13,LAC,13,10,76.9,154,1,46,11.8,15.4,0,0,0,0,0,0,34.4,34.4
3,Dante Pettis,SF,WR,13,SEA,7,5,71.4,129,2,75,18.4,25.8,1,-2,-2,0,0,0,32.7,32.7
4,Zay Jones,BUF,WR,13,MIA,9,4,44.4,67,2,25,7.4,16.8,0,0,0,0,0,0,24.7,24.7
5,Chris Godwin,TB,WR,13,CAR,6,5,83.3,101,1,48,16.8,20.2,0,0,0,0,0,0,24.1,24.1
6,Golden Tate,PHI,WR,13,WAS,7,7,100,85,1,32,12.1,12.1,0,0,0,0,1,0,23.5,23.5
7,Davante Adams,GB,WR,13,ARI,13,8,61.5,93,1,19,7.2,11.6,0,0,0,0,0,0,23.3,23.3
8,Jaron Brown,SEA,WR,13,SF,3,3,100,67,2,45,22.3,22.3,0,0,0,0,0,0,21.7,21.7
9,Jordy Nelson,OAK,WR,13,KC,11,10,90.9,97,0,24,8.8,9.7,0,0,0,0,0,0,19.7,19.7
10,Jarvis Landry,CLE,WR,13,HOU,9,6,66.7,103,0,28,11.4,17.2,0,0,0,0,0,0,19.3,19.3
11,Adam Humphries,TB,WR,13,CAR,9,7,77.8,61,1,13,6.8,8.7,0,0,0,0,1,0,19.1,19.1
12,Robert Woods,LAR,WR,13,DET,9,5,55.6,67,1,23,7.4,13.4,2,11,5.5,0,0,0,18.8,18.8
13,Courtland Sutton,DEN,WR,13,CIN,7,4,57.1,85,1,30,12.1,21.2,0,0,0,0,0,0,18.5,18.5
14,Odell Beckham Jr,NYG,WR,13,CHI,9,3,33.3,35,1,20,3.9,11.7,0,0,0,0,0,0,18.5,18.46
15,Taywan Taylor,TEN,WR,13,NYJ,5,3,60,104,0,55,20.8,34.7,0,0,0,0,0,0,16.4,16.4
16,Rashard Higgins,CLE,WR,13,HOU,4,4,100,62,1,21,15.5,15.5,0,0,0,0,0,0,16.2,16.2
17,DeAndre Hopkins,HOU,WR,13,CLE,12,7,58.3,91,0,29,7.6,13,0,0,0,0,0,0,16.1,16.1
18,Tyler Boyd,CIN,WR,13,DEN,8,6,75,97,0,23,12.1,16.2,0,0,0,0,0,0,15.7,15.7
18,T.Y. Hilton,IND,WR,13,JAX,13,8,61.5,77,0,16,5.9,9.6,0,0,0,0,0,0,15.7,15.7
20,Curtis Samuel,CAR,WR,13,TB,11,6,54.5,88,0,31,8,14.7,1,8,8,0,0,0,15.6,15.6
21,Josh Gordon,NE,WR,13,MIN,3,3,100,58,1,24,19.3,19.3,0,0,0,0,0,0,14.8,14.8
22,Amari Cooper,DAL,WR,13,NO,8,8,100,75,0,19,9.4,9.4,0,0,0,0,1,1,14.5,14.5
23,Corey Davis,TEN,WR,13,NYJ,7,3,42.9,42,1,22,6,14,1,12,12,0,0,0,14.4,14.4
24,Devante Parker,MIA,WR,13,BUF,7,4,57.1,43,1,18,6.1,10.8,0,0,0,0,0,0,14.3,14.3
25,Russell Shepard,NYG,WR,13,CHI,2,2,100,59,1,49,29.5,29.5,0,0,0,0,0,0,13.9,13.9
26,Adam Thielen,MIN,WR,13,NE,10,5,50,28,1,9,2.8,5.6,0,0,0,0,0,0,13.8,13.8
27,Kenny Stills,MIA,WR,13,BUF,6,4,66.7,37,1,13,6.2,9.2,0,0,0,0,1,0,13.7,13.7
28,Tyler Lockett,SEA,WR,13,SF,2,1,50,52,1,52,26,52,1,10,10,0,0,0,13.2,13.2
29,Allen Robinson,CHI,WR,13,NYG,9,5,55.6,79,0,30,8.8,15.8,0,0,0,0,0,0,12.9,12.9
30,Michael Gallup,DAL,WR,13,NO,7,5,71.4,76,0,40,10.9,15.2,0,0,0,0,0,0,12.6,12.6
31,Travis Benjamin,LAC,WR,13,PIT,2,2,100,44,1,46,22,22,1,1,1,0,0,0,12.5,12.5
32,Chris Conley,KC,WR,13,OAK,7,3,42.9,25,1,18,3.6,8.3,0,0,0,0,0,0,11.5,11.5
33,JuJu Smith-Schuster,PIT,WR,13,LAC,9,6,66.7,49,0,16,5.4,8.2,0,0,0,0,0,0,10.9,10.9
34,Christian Kirk,ARI,WR,13,GB,8,3,37.5,54,0,37,6.8,18,1,23,23,0,0,0,10.7,10.7
35,D.J. Moore,CAR,WR,13,TB,8,4,50,44,0,16,5.5,11,2,21,10.5,0,0,0,10.5,10.5
35,Bruce Ellington,DET,WR,13,LAR,10,7,70,35,0,10,3.5,5,0,0,0,0,0,0,10.5,10.5
37,Antonio Callaway,CLE,WR,13,HOU,6,3,50,84,0,71,14,28,0,0,0,0,1,1,10.4,10.4
38,Doug Baldwin,SEA,WR,13,SF,4,2,50,22,1,21,5.5,11,0,0,0,0,0,0,10.2,10.2
38,Brandin Cooks,LAR,WR,13,DET,6,4,66.7,62,0,26,10.3,15.5,0,0,0,0,0,0,10.2,10.2
40,Keith Kirkwood,NO,WR,13,DAL,3,1,33.3,30,1,30,10,30,0,0,0,0,0,0,10,10
